key	layout_name
#ui_tooltips_tables;0;db/ui_tooltips_tables/data__	
test_quit_game_tooltip	tooltip_text_and_icon
test_title_list_and_footer_tooltip	tooltip_title_list_and_footer
tooltip_battle_advanced_controls	tooltip_title_and_text
tooltip_battle_advice_history_buttons	tooltip_text_only
tooltip_battle_advisor	tooltip_title_and_text
tooltip_battle_advisor_link	tooltip_text_only
tooltip_battle_ambush_battles	tooltip_title_and_text
tooltip_battle_armies	tooltip_title_and_text
tooltip_battle_armour	tooltip_title_and_text
tooltip_battle_army_abilities	tooltip_title_and_text
tooltip_battle_army_abilities_link	tooltip_text_only
tooltip_battle_army_abilities_panel	tooltip_text_only
tooltip_battle_army_panel	tooltip_text_only
tooltip_battle_artillery	tooltip_title_and_text
tooltip_battle_balance_of_power	tooltip_text_only
tooltip_battle_battle_game	tooltip_title_and_text
tooltip_battle_battle_interface	tooltip_title_and_text
tooltip_battle_battlefield	tooltip_title_and_text
tooltip_battle_blood_for_the_blood_god	tooltip_title_and_text
tooltip_battle_blood_for_the_blood_god_link	tooltip_text_only
tooltip_battle_blood_for_the_blood_god_meter	tooltip_text_only
tooltip_battle_camera_controls	tooltip_title_and_text
tooltip_battle_capture_location_icons	tooltip_text_only
tooltip_battle_capture_locations	tooltip_title_and_text
tooltip_battle_capture_locations_link	tooltip_text_only
tooltip_battle_capture_points	tooltip_title_and_text
tooltip_battle_constructed_defences	tooltip_title_and_text
tooltip_battle_contents	tooltip_text_only
tooltip_battle_deployment	tooltip_title_and_text
tooltip_battle_dragon_transformation	tooltip_title_and_text
tooltip_battle_drop_equipment_button	tooltip_text_only
tooltip_battle_extra_powder	tooltip_title_and_text
tooltip_battle_eye_of_tzeentch	tooltip_title_and_text
tooltip_battle_eye_of_tzeentch_link	tooltip_text_only
tooltip_battle_eye_of_tzeentch_meter	tooltip_text_only
tooltip_battle_fire_at_will	tooltip_title_and_text
tooltip_battle_fire_at_will_button	tooltip_text_only
tooltip_battle_fire_at_will_link	tooltip_text_only
tooltip_battle_flanking	tooltip_title_and_text
tooltip_battle_flying_units	tooltip_title_and_text
tooltip_battle_formations	tooltip_title_and_text
tooltip_battle_formations_button	tooltip_text_only
tooltip_battle_formations_link	tooltip_text_only
tooltip_battle_fortifications	tooltip_title_and_text
tooltip_battle_game_guide	tooltip_title_and_text
tooltip_battle_game_guide_link	tooltip_text_only
tooltip_battle_gates	tooltip_title_and_text
tooltip_battle_group_button	tooltip_text_only
tooltip_battle_grouping	tooltip_title_and_text
tooltip_battle_grouping_link	tooltip_text_only
tooltip_battle_guard_button	tooltip_text_only
tooltip_battle_harmony	tooltip_title_and_text
tooltip_battle_index	tooltip_text_only
tooltip_battle_infantry	tooltip_title_and_text
tooltip_battle_leadership	tooltip_title_and_text
tooltip_battle_lore_panel	tooltip_text_only
tooltip_battle_magic_barriers	tooltip_title_and_text
tooltip_battle_major_siege_battles	tooltip_title_and_text
tooltip_battle_mastery_of_the_elemental_winds	tooltip_title_and_text
tooltip_battle_melee_combat	tooltip_title_and_text
tooltip_battle_melee_mode_button	tooltip_text_only
tooltip_battle_minor_settlement_battles	tooltip_title_and_text
tooltip_battle_missile_units	tooltip_title_and_text
tooltip_battle_monsters	tooltip_title_and_text
tooltip_battle_mounted_units	tooltip_title_and_text
tooltip_battle_murderous_prowess	tooltip_title_and_text
tooltip_battle_plague_lords_blessings	tooltip_title_and_text
tooltip_battle_plague_lords_blessings_link	tooltip_text_only
tooltip_battle_plague_lords_blessings_meter	tooltip_text_only
tooltip_battle_power_reserve_bar	tooltip_text_only
tooltip_battle_radar_map	tooltip_text_only
tooltip_battle_rallying	tooltip_title_and_text
tooltip_battle_rampaging	tooltip_title_and_text
tooltip_battle_realm_of_souls	tooltip_title_and_text
tooltip_battle_realm_of_souls_link	tooltip_text_only
tooltip_battle_reign_of_chaos	tooltip_title_and_text
tooltip_battle_reign_of_chaos_link	tooltip_text_only
tooltip_battle_reign_of_chaos_meter	tooltip_text_only
tooltip_battle_reinforcements	tooltip_title_and_text
tooltip_battle_sensuous_seductions	tooltip_title_and_text
tooltip_battle_sensuous_seductions_link	tooltip_text_only
tooltip_battle_sensuous_seductions_meter	tooltip_text_only
tooltip_battle_siege_battles	tooltip_title_and_text
tooltip_battle_siege_weapons	tooltip_title_and_text
tooltip_battle_skirmish_button	tooltip_text_only
tooltip_battle_skirmishing	tooltip_title_and_text
tooltip_battle_skirmishing_link	tooltip_text_only
tooltip_battle_spells	tooltip_title_and_text
tooltip_battle_spells_link	tooltip_text_only
tooltip_battle_storm_of_magic_battles	tooltip_title_and_text
tooltip_battle_supplies	tooltip_title_and_text
tooltip_battle_supplies_link	tooltip_text_only
tooltip_battle_survival_battles	tooltip_title_and_text
tooltip_battle_tactical_map	tooltip_title_and_text
tooltip_battle_tactical_map_link	tooltip_text_only
tooltip_battle_terrain	tooltip_title_and_text
tooltip_battle_the_general	tooltip_title_and_text
tooltip_battle_time_controls	tooltip_text_only
tooltip_battle_time_limit	tooltip_text_only
tooltip_battle_towers	tooltip_title_and_text
tooltip_battle_unit_abilities	tooltip_title_and_text
tooltip_battle_unit_abilities_link	tooltip_text_only
tooltip_battle_unit_cards	tooltip_title_and_text
tooltip_battle_unit_cards_link	tooltip_text_only
tooltip_battle_unit_details_button	tooltip_text_only
tooltip_battle_unit_details_panel	tooltip_title_and_text
tooltip_battle_unit_details_panel_link	tooltip_text_only
tooltip_battle_unit_movement	tooltip_title_and_text
tooltip_battle_unit_portrait_panel	tooltip_text_only
tooltip_battle_unit_selection	tooltip_title_and_text
tooltip_battle_unit_types	tooltip_title_and_text
tooltip_battle_units	tooltip_title_and_text
tooltip_battle_units_link	tooltip_text_only
tooltip_battle_victory_locations	tooltip_title_and_text
tooltip_battle_victory_points	tooltip_title_and_text
tooltip_battle_victory_tickets	tooltip_text_only
tooltip_battle_vigour	tooltip_title_and_text
tooltip_battle_visibility	tooltip_title_and_text
tooltip_battle_walls	tooltip_title_and_text
tooltip_battle_weapon_types	tooltip_title_and_text
tooltip_battle_winds_of_magic	tooltip_title_and_text
tooltip_battle_winds_of_magic_link	tooltip_text_only
tooltip_battle_winds_of_magic_panel	tooltip_text_only
tooltip_battle_wizards	tooltip_title_and_text
tooltip_campaign_advice_history_buttons	tooltip_text_only
tooltip_campaign_advisor	tooltip_title_text_and_image
tooltip_campaign_advisor_button	tooltip_text_only
tooltip_campaign_advisor_link	tooltip_text_only
tooltip_campaign_age_of_reckoning	tooltip_title_and_text
tooltip_campaign_allegiance	tooltip_title_and_text
tooltip_campaign_alliances	tooltip_title_and_text
tooltip_campaign_allied_recruitment_panel	tooltip_text_only
tooltip_campaign_amanar	tooltip_title_and_text
tooltip_campaign_amber	tooltip_title_and_text
tooltip_campaign_ambushes	tooltip_title_and_text
tooltip_campaign_ariel	tooltip_title_and_text
tooltip_campaign_armies	tooltip_title_text_and_image
tooltip_campaign_armies_at_sea	tooltip_title_and_text
tooltip_campaign_armies_at_sea_link	tooltip_text_only
tooltip_campaign_armies_link	tooltip_text_only
tooltip_campaign_army_movement	tooltip_title_and_text
tooltip_campaign_army_panel	tooltip_title_and_text
tooltip_campaign_army_panel_link	tooltip_text_only
tooltip_campaign_artefact_vault	tooltip_title_and_text
