bombardment_key	arrival_window	num_projectiles	projectile_type	radius_spread	start_time	launch_source	launch_vfx	launch_height	audio_type	launch_height_underground	randomise_launch	deterministic_launch_cadence
#projectile_bombardments_tables;7;db/projectile_bombardments_tables/data__												
wh2_dlc09_unit_abilities_death_from_above	0.7000	1	wh2_dlc09_unit_abilities_death_from_above	3.0000	0.1000	activaters_entities		1		1	true	false
wh2_dlc10_item_bound_assault_of_stone	3.0000	20	wh2_dlc10_item_bound_assault_of_stone	20.0000	2.0000	above_target	wh3_dlc20_searing_doom_spawn	150	wh_main_spell_metal_searing_doom	75	true	false
wh2_dlc10_item_bound_sceptre_of_stone	3.0000	40	wh2_dlc10_item_bound_assault_of_stone	20.0000	2.0000	above_target	wh3_dlc20_searing_doom_spawn	150	wh_main_spell_metal_searing_doom	75	true	false
wh2_dlc10_spell_bound_lesser_doombolt	0.5000	1	wh2_dlc10_spell_bound_lesser_doombolt	6.0000	4.0000	above_target	wh2_main_dark_doombolt_bomb_spawn	150	wh_main_spell_dark_magic_doombolt	75	true	false
wh2_dlc11_army_abilities_rod_of_the_storm	0.1000	1	wh2_dlc11_army_abilities_rod_of_the_storm	1.0000	3.0000	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150	wh_main_spell_heavens_urannons_thunderbolt	75	true	false
wh2_dlc11_army_abilities_wraith_storm	3.5000	5	wh2_dlc11_army_abilities_wraith_storm	35.0000	0.5000	above_target	wh2_dlc11_wraith_storm_spawn	100	wh2_dlc11_ability_wraith_storm	65	true	false
wh2_dlc12_army_abilities_warpstorm_doomrocket	0.1000	1	wh2_dlc12_army_abilities_warpstorm_doomrocket	20.0000	0.1000	above_target	wh2_dlc12_warpstorm_doomrocket_spawn	200	wh2_dlc12_ability_warpstorm_doomrocket	75	true	false
wh2_dlc12_army_abilities_warpstorm_doomrocket_upgrade	0.1000	1	wh2_dlc12_army_abilities_warpstorm_doomrocket_upgrade	20.0000	0.1000	above_target	wh2_dlc12_warpstorm_doomrocket_spawn	200	wh2_dlc12_ability_warpstorm_doomrocket	75	true	false
wh2_dlc12_lord_abilities_drop_sphere_of_tepok	0.7000	1	wh2_dlc12_lord_abilities_drop_sphere_of_tepok	3.0000	0.1000	activaters_entities		1		1	true	false
wh2_dlc12_lord_abilities_drop_sphere_of_tepok_upgraded	0.7000	1	wh2_dlc12_lord_abilities_drop_sphere_of_tepok	3.0000	0.1000	activaters_entities		1		1	true	false
wh2_dlc12_lord_warpstone_detonation	1.0000	2	wh2_dlc12_lord_warpstone_detonation	15.0000	3.0000	above_target		100		75	true	false
wh2_dlc12_unit_abilities_drop_rocks_character	0.7000	1	wh2_dlc12_unit_abilities_drop_rocks_character	3.0000	0.1000	activaters_entities		1		1	true	false
wh2_dlc12_unit_abilities_drop_rocks_of_chotec	0.7000	1	wh2_dlc12_unit_abilities_drop_rocks_of_chotec	3.0000	0.1000	activaters_entities		1		1	true	false
wh2_dlc12_unit_abilities_drop_rocks_of_sundering	0.7000	1	wh2_dlc12_unit_abilities_drop_rocks_of_sundering	3.0000	0.1000	activaters_entities		1		1	true	false
wh2_dlc12_unit_thunderous_one	1.0000	2	wh2_dlc12_unit_thunderous_one	15.0000	3.0000	above_target		100		75	true	false
wh2_dlc13_character_ability_ishas_rain	3.0000	80	wh2_dlc13_character_ability_ishas_rain	20.0000	2.0000	above_target	wh_main_heavens_comet_of_casandora_bomb_spawn	150	wh2_dlc13_ability_ishas_rain	75	true	false
wh2_dlc15_army_abilities_doom_diver_strike	3.0000	10	wh2_dlc15_army_abilities_doom_diver_strike	8.0000	2.0000	above_target	wh2_dlc15_ability_mistwalkers_barrage_spawn	200	wh2_dlc15_ability_doom_diver_strike	75	true	false
wh2_dlc15_army_abilities_doom_diver_strike_enhanced	3.0000	10	wh2_dlc15_army_abilities_doom_diver_strike_enhanced	8.0000	2.0000	above_target	wh2_dlc15_ability_mistwalkers_barrage_spawn	200	wh2_dlc15_ability_doom_diver_strike	75	true	false
wh2_dlc15_passive_ability_mistwalkers_barrage	2.0000	50	wh2_dlc15_mistwalkers_barrage_trail	10.0000	2.0000	off_map	wh2_dlc15_ability_mistwalkers_barrage_spawn	150	wh2_dlc15_ability_mist_walkers_barrage	75	true	false
wh2_dlc15_unit_abilities_arachneruption	2.0000	60	wh2_dlc15_unit_abilities_arachneruption	16.0000	0.1000	at_target		-3	wh2_dlc15_ability_arachneruption	-3	true	false
wh2_dlc15_unit_passive_giant_explodin_spores	1.0000	1	wh2_dlc15_unit_passive_giant_explodin_spores	1.0000	0.5000	activaters_entities		1		1	false	false
wh2_dlc15_unit_passive_rubble_and_ruin_bombardment	1.0000	20	wh2_dlc15_unit_passive_rubble_and_ruin_bombardment	10.0000	0.2000	above_target	wh_main_impact_vlarge_rock	4	wh2_dlc15_ability_rubble_and_ruin	4	true	false
wh2_dlc17_army_abilities_ancestral_rune_of_grimnir	1.0000	1	wh2_dlc17_army_abilities_ancestral_rune_of_grimnir	1.0000	4.0000	above_target		10		10	true	false
wh2_dlc17_army_abilities_shatterstone	0.1000	1	wh2_main_army_abilities_shatterstone	0.1000	0.1000	above_target		75		75	true	false
wh2_dlc17_army_abilities_xapatis_sanctum	3.0000	10	wh2_dlc17_army_abilities_xapatis_sanctum	3.0000	2.0000	above_target		100	wh2_dlc17_ability_xapatis_sanctum	75	true	false
wh2_dlc17_rune_abilities_master_rune_of_immolation	2.0000	15	wh2_dlc17_rune_abilities_master_rune_of_immolation	4.0000	0.1000	at_target		-3	wh2_dlc15_ability_arachneruption	-3	true	false
wh2_main_army_abilities_bloodwrack_cauldron	1.0000	1	wh2_main_army_abilities_bloodwrack_cauldron	8.0000	4.0000	above_target	wh2_main_abilities_bloodwrack_cauldron_bomb_spawn	200	wh2_main_ability_bloodwrack_cauldron	75	true	false
wh2_main_army_abilities_bolt_of_spite	1.5000	1	wh2_main_army_abilities_bolt_of_spite	8.0000	4.0000	above_target	wh2_main_abilities_bolt_of_spite_bomb_spawn	280	wh_main_spell_heavens_comet_of_casandora	75	true	false
wh2_main_army_abilities_brazen_cauldron	1.0000	1	wh2_main_army_abilities_brazen_cauldron	8.0000	4.0000	above_target	wh2_main_abilities_brazen_cauldron_bomb_spawn	200	wh2_main_ability_brazen_cauldron	75	true	false
wh2_main_army_abilities_heal_splosion	1.0000	1	wh2_main_army_abilities_vortic_enrichment	1.0000	1.0000	launch_and_explode		1		1	true	false
wh2_main_army_abilities_khaines_flail	0.1000	2	wh2_main_army_abilities_khaines_flail	1.0000	2.0000	above_target	wh2_main_abilities_khaines_flail_spawn	240	wh_main_spell_heavens_urannons_thunderbolt	75	true	false
wh2_main_army_abilities_khaines_lash	0.1000	1	wh2_main_army_abilities_khaines_lash	1.0000	2.0000	above_target	wh2_main_abilities_khaines_lash_spawn	240	wh_main_spell_heavens_urannons_thunderbolt	75	true	false
wh2_main_army_abilities_khaines_scourge	0.1000	3	wh2_main_army_abilities_khaines_scourge	1.0000	2.0000	above_target	wh2_main_abilities_khaines_scourge_spawn	240	wh_main_spell_heavens_urannons_thunderbolt	75	true	false
wh2_main_army_abilities_skaven_bomb	1.0000	1	wh2_main_army_abilities_skaven_bomb	1.0000	1.0000	launch_and_explode		1		1	true	false
wh2_main_army_abilities_sky_cauldron	1.0000	1	wh2_main_army_abilities_sky_cauldron	8.0000	4.0000	above_target	wh2_main_abilities_sky_cauldron_bomb_spawn	200	wh2_main_ability_sky_cauldron	75	true	false
wh2_main_army_abilities_soul_rain	3.0000	15	wh2_main_army_abilities_soul_rain	8.0000	2.0000	above_target	wh2_main_abilities_soul_rain_spawn	220	wh2_main_ability_soul_rain	75	true	false
wh2_main_army_abilities_soul_storm	3.0000	45	wh2_main_army_abilities_soul_storm	16.0000	2.0000	above_target	wh2_main_abilities_soul_storm_spawn	220	wh2_main_ability_soul_storm	75	true	false
wh2_main_army_abilities_soul_torrent	3.0000	30	wh2_main_army_abilities_soul_torrent	12.0000	2.0000	above_target	wh2_main_abilities_soul_torrent_spawn	220	wh2_main_ability_soul_torrent	75	true	false
wh2_main_army_abilities_vauls_hammer	0.1000	1	wh2_main_army_abilities_vauls_hammer	0.1000	0.1000	above_target		75		75	true	false
wh2_main_army_abilities_warpbomb	0.1000	1	wh2_main_army_abilities_warpbomb	0.1000	0.1000	launch_and_explode		1		1	false	false
wh2_main_bound_doombolt	0.5000	1	wh2_main_bound_doombolt	6.0000	4.0000	above_target	wh2_main_dark_doombolt_bomb_spawn	150	wh_main_spell_dark_magic_doombolt	75	true	false
wh2_main_bound_urannons_thunderbolt	0.1000	1	wh2_main_bound_urannons_thunderbolt	1.0000	3.0000	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150	wh_main_spell_heavens_urannons_thunderbolt	75	true	false
wh2_main_spell_dark_magic_doombolt	0.5000	1	wh2_main_spell_dark_magic_doombolt	6.0000	4.0000	above_target	wh2_main_dark_doombolt_bomb_spawn	150	wh_main_spell_dark_magic_doombolt	75	true	false
wh2_main_spell_dark_magic_doombolt_upgraded	0.5000	1	wh2_main_spell_dark_magic_doombolt_upgraded	6.0000	4.0000	above_target	wh2_main_dark_doombolt_bomb_spawn	150	wh_main_spell_dark_magic_doombolt	75	true	false
wh2_main_spell_plague_the_dreaded_thirteenth_spell	0.1000	1	wh2_main_spell_plague_the_dreaded_thirteenth_spell	0.1000	0.1000	launch_and_explode		1		1	false	false
wh2_main_spell_plague_vermintide	0.1000	1	wh2_main_spell_plague_vermintide	0.1000	0.1000	launch_and_explode		1		1	false	false
wh2_main_spell_ruin_warp_lightning	1.0000	5	wh2_main_spell_ruin_warp_lightning	8.0000	3.0000	above_target	wh2_main_ruin_warp_lightning_bomb_spawn	100	wh_main_spell_ruin_warp_lightning	75	true	false
wh2_main_spell_ruin_warp_lightning_upgraded	2.0000	10	wh2_main_spell_ruin_warp_lightning	8.0000	3.0000	above_target	wh2_main_ruin_warp_lightning_bomb_spawn	100	wh_main_spell_ruin_warp_lightning	75	true	false
