stage	effect_bundle	order	tooltip_type
#prophecy_of_sotek_stages_tables;1;db/prophecy_of_sotek_stages_tables/data__			
gunnery_school_stage_1	wh3_dlc25_gunnery_school_level_1_reward	1	gunnery_school
gunnery_school_stage_2	wh3_dlc25_gunnery_school_level_2_reward	2	gunnery_school
gunnery_school_stage_3	wh3_dlc25_gunnery_school_level_3_reward	3	gunnery_school
gunnery_school_stage_4	wh3_dlc25_gunnery_school_level_4_reward	4	gunnery_school
ikit_stage_1	wh2_dlc12_workshop_level_1_reward	1	itik
ikit_stage_2	wh2_dlc12_workshop_level_2_reward	2	itik
ikit_stage_3	wh2_dlc12_workshop_level_3_reward	3	itik
ikit_stage_4	wh2_dlc12_workshop_level_4_reward	4	itik
stage_1	wh2_dlc12_prophecy_of_sotek_stage_1	1	sotek
stage_2	wh2_dlc12_prophecy_of_sotek_stage_2	2	sotek
stage_3	wh2_dlc12_prophecy_of_sotek_stage_3	3	sotek
