mission_key	status_key	followup_dilemma_key
#cdir_events_mission_followup_dilemmas_tables;0;db/cdir_events_mission_followup_dilemmas_tables/data__		
wh2_dlc10_monster_hunt_10_stage_1	CANCELLED	wh2_dlc10_monster_hunt_10_stage_2
wh2_dlc10_monster_hunt_10_stage_1	SUCCESS	wh2_dlc10_monster_hunt_10_stage_2
wh2_dlc13_wulfhart_hertwig_van_hal_stage_4	CANCELLED	wh2_dlc13_wulfhart_hertwig_van_hal_stage_4_dilemma
wh2_dlc13_wulfhart_hertwig_van_hal_stage_4	SUCCESS	wh2_dlc13_wulfhart_hertwig_van_hal_stage_4_dilemma
wh2_dlc13_wulfhart_jorek_grimm_stage_5	SUCCESS	wh2_dlc13_wulfhart_jorek_grimm_stage_5_dilemma
wh2_dlc13_wulfhart_rodrik_languille_stage_2	CANCELLED	wh2_dlc13_wulfhart_rodrik_languille_stage_2_dilemma
wh2_dlc13_wulfhart_rodrik_languille_stage_2	FAILURE	wh2_dlc13_wulfhart_rodrik_languille_stage_2_dilemma
wh2_dlc13_wulfhart_rodrik_languille_stage_2	SUCCESS	wh2_dlc13_wulfhart_rodrik_languille_stage_2_dilemma
wh2_dlc13_wulfhart_rodrik_languille_stage_4	SUCCESS	wh2_dlc13_wulfhart_rodrik_languille_stage_4_dilemma
wh2_dlc15_imrik_caledor_confederation_mission	SUCCESS	wh2_dlc15_hef_imrik_confederation_caledor
wh2_dlc16_wef_confederation_mission_argwylon	CANCELLED	wh2_dlc16_wef_confederation_dilemma_argwylon
wh2_dlc16_wef_confederation_mission_argwylon	SUCCESS	wh2_dlc16_wef_confederation_dilemma_argwylon
wh2_dlc16_wef_confederation_mission_bowmen_of_oreon	CANCELLED	wh2_dlc16_wef_confederation_dilemma_bowmen_of_oreon
wh2_dlc16_wef_confederation_mission_bowmen_of_oreon	SUCCESS	wh2_dlc16_wef_confederation_dilemma_bowmen_of_oreon
wh2_dlc16_wef_confederation_mission_drycha	CANCELLED	wh2_dlc16_wef_confederation_dilemma_drycha
wh2_dlc16_wef_confederation_mission_drycha	SUCCESS	wh2_dlc16_wef_confederation_dilemma_drycha
wh2_dlc16_wef_confederation_mission_laurelorn	CANCELLED	wh2_dlc16_wef_confederation_dilemma_laurelorn
wh2_dlc16_wef_confederation_mission_laurelorn	SUCCESS	wh2_dlc16_wef_confederation_dilemma_laurelorn
wh2_dlc16_wef_confederation_mission_sisters	CANCELLED	wh2_dlc16_wef_confederation_dilemma_sisters
wh2_dlc16_wef_confederation_mission_sisters	SUCCESS	wh2_dlc16_wef_confederation_dilemma_sisters
