feature	force_type
#military_force_type_feature_junctions_tables;0;db/military_force_type_feature_junctions_tables/data__	
can_attack_garrisons_from_sea	ALBERIC
character_bound	ALBERIC
general_is_irreplaceable	ALBERIC
general_is_irreplaceable	ARMY_PILLAGING
placeholder_character	ARMY_PILLAGING
unable_to_contain_agents	ARMY_PILLAGING
unable_to_exchange_units	ARMY_PILLAGING
unable_to_recruit_units	ARMY_PILLAGING
upkeep_increase_exempt	ARMY_PILLAGING
character_bound	ARMY_UNIQUE_LOCKED_NO_UPKEEP
general_is_irreplaceable	ARMY_UNIQUE_LOCKED_NO_UPKEEP
unable_to_contain_agents	ARMY_UNIQUE_LOCKED_NO_UPKEEP
unable_to_exchange_units	ARMY_UNIQUE_LOCKED_NO_UPKEEP
unable_to_recruit_units	ARMY_UNIQUE_LOCKED_NO_UPKEEP
upkeep_exempt	ARMY_UNIQUE_LOCKED_NO_UPKEEP
upkeep_increase_exempt	ARMY_UNIQUE_LOCKED_NO_UPKEEP
character_bound	ARMY_UNIQUE_NO_UPKEEP
general_is_irreplaceable	ARMY_UNIQUE_NO_UPKEEP
upkeep_increase_exempt	ARMY_UNIQUE_NO_UPKEEP
can_be_loaned	ARMY
fixed_camp	CARAVAN
general_is_irreplaceable	CARAVAN
resets_camera_after_battle	CARAVAN
strategic_threat_irrelevant	CARAVAN
unable_to_contain_agents	CARAVAN
unable_to_exchange_units	CARAVAN
unable_to_keep_faction_alive	CARAVAN
unable_to_recruit_units	CARAVAN
upkeep_exempt	CARAVAN
upkeep_exempt_in_limbo	CARAVAN
upkeep_increase_exempt	CARAVAN
can_attack_garrisons_from_sea	CHARACTER_BOUND_HORDE
character_bound	CHARACTER_BOUND_HORDE
general_is_irreplaceable	CHARACTER_BOUND_HORDE
fixed_camp	CONVOY
general_is_irreplaceable	CONVOY
resets_camera_after_battle	CONVOY
strategic_threat_irrelevant	CONVOY
unable_to_contain_agents	CONVOY
unable_to_exchange_units	CONVOY
unable_to_keep_faction_alive	CONVOY
unable_to_recruit_units	CONVOY
upkeep_exempt	CONVOY
upkeep_exempt_in_limbo	CONVOY
upkeep_increase_exempt	CONVOY
general_is_irreplaceable	DISCIPLE_ARMY
placeholder_character	DISCIPLE_ARMY
unable_to_contain_agents	DISCIPLE_ARMY
unable_to_exchange_units	DISCIPLE_ARMY
unable_to_recruit_units	DISCIPLE_ARMY
upkeep_increase_exempt	DISCIPLE_ARMY
can_attack_garrisons_from_sea	DRAGONSHIP_HORDE_AISLINN
character_bound	DRAGONSHIP_HORDE_AISLINN
general_is_irreplaceable	DRAGONSHIP_HORDE_AISLINN
can_attack_garrisons_from_sea	DRAGONSHIP_HORDE
character_bound	DRAGONSHIP_HORDE
general_is_irreplaceable	DRAGONSHIP_HORDE
character_bound	HORDE_KHAZRAK
general_is_irreplaceable	HORDE_KHAZRAK
character_bound	HORDE_MALAGOR
general_is_irreplaceable	HORDE_MALAGOR
character_bound	HORDE_MORGHUR
general_is_irreplaceable	HORDE_MORGHUR
character_bound	HORDE_TAUROX
general_is_irreplaceable	HORDE_TAUROX
can_attack_garrisons_from_sea	LOKHIR
character_bound	LOKHIR
general_is_irreplaceable	LOKHIR
character_bound	MALAKAI_BOUND_HORDE
general_is_irreplaceable	MALAKAI_BOUND_HORDE
character_bound	NAKAI_BOUND_HORDE
general_is_irreplaceable	NAKAI_BOUND_HORDE
navy	NAVAL_HORDE
spawns_on_sea	NAVAL_HORDE
navy	NAVY
spawns_on_sea	NAVY
character_bound	OGRE_CAMP
fixed_camp	OGRE_CAMP
general_is_irreplaceable	OGRE_CAMP
moving_camp	OGRE_CAMP
unable_to_exchange_units	OGRE_CAMP
unable_to_keep_faction_alive_in_limbo	OGRE_CAMP
unable_to_move_in_settled_stance	OGRE_CAMP
upkeep_exempt	OGRE_CAMP
upkeep_increase_exempt	OGRE_CAMP
character_bound	OXYOTL
general_is_irreplaceable	OXYOTL
can_attack_garrisons_from_sea	SEAFANG
character_bound	SEAFANG
general_is_irreplaceable	SEAFANG
character_bound	SEA_LOCKED_HORDE
general_is_irreplaceable	SEA_LOCKED_HORDE
land_sea_transition_disbabled	SEA_LOCKED_HORDE
spawns_on_sea	SEA_LOCKED_HORDE
upkeep_increase_exempt	SEA_LOCKED_HORDE
end_turn_warnings_disabled	SUPPORT_ARMY
general_is_irreplaceable	SUPPORT_ARMY
placeholder_character	SUPPORT_ARMY
unable_to_exchange_units	SUPPORT_ARMY
unable_to_garrison	SUPPORT_ARMY
unable_to_leave_force	SUPPORT_ARMY
unable_to_recruit_units	SUPPORT_ARMY
upkeep_exempt	SUPPORT_ARMY
upkeep_increase_exempt	SUPPORT_ARMY
