component	parent
#cai_personality_deal_generation_component_overrides_tables;0;db/cai_personality_deal_generation_component_overrides_tables/data__	
wh3_deal_generation_beastmen	wh3_deal_generation_default
wh3_deal_generation_beastmen_minor	wh3_deal_generation_beastmen
wh3_deal_generation_bretonnia	wh3_deal_generation_default
wh3_deal_generation_bretonnia_minor	wh3_deal_generation_bretonnia
wh3_deal_generation_cathay	wh3_deal_generation_default
wh3_deal_generation_cathay_minor	wh3_deal_generation_cathay
wh3_deal_generation_chaos	wh3_deal_generation_default
wh3_deal_generation_chaos_dwarfs	wh3_deal_generation_default
wh3_deal_generation_chaos_dwarfs_minor	wh3_deal_generation_chaos_dwarfs
wh3_deal_generation_chaos_minor	wh3_deal_generation_chaos
wh3_deal_generation_dark_elves	wh3_deal_generation_default
wh3_deal_generation_dark_elves_minor	wh3_deal_generation_dark_elves
wh3_deal_generation_dwarfs	wh3_deal_generation_default
wh3_deal_generation_dwarfs_minor	wh3_deal_generation_dwarfs
wh3_deal_generation_empire	wh3_deal_generation_default
wh3_deal_generation_empire_minor	wh3_deal_generation_empire
wh3_deal_generation_greenskin	wh3_deal_generation_default
wh3_deal_generation_greenskin_minor	wh3_deal_generation_greenskin
wh3_deal_generation_highelf	wh3_deal_generation_default
wh3_deal_generation_highelf_minor	wh3_deal_generation_highelf
wh3_deal_generation_kislev	wh3_deal_generation_default
wh3_deal_generation_kislev_minor	wh3_deal_generation_kislev
wh3_deal_generation_lizardmen	wh3_deal_generation_default
wh3_deal_generation_lizardmen_minor	wh3_deal_generation_lizardmen
wh3_deal_generation_lizardmen_vassal	wh3_deal_generation_passive
wh3_deal_generation_minor	wh3_deal_generation_default
wh3_deal_generation_norsca	wh3_deal_generation_default
wh3_deal_generation_norsca_minor	wh3_deal_generation_norsca
wh3_deal_generation_ogre	wh3_deal_generation_default
wh3_deal_generation_ogre_minor	wh3_deal_generation_ogre
wh3_deal_generation_passive	wh3_deal_generation_minor
wh3_deal_generation_prologue	wh3_deal_generation_dummy
wh3_deal_generation_skaven	wh3_deal_generation_default
wh3_deal_generation_skaven_minor	wh3_deal_generation_skaven
wh3_deal_generation_tomb_kings	wh3_deal_generation_default
wh3_deal_generation_tomb_kings_minor	wh3_deal_generation_tomb_kings
wh3_deal_generation_vampire	wh3_deal_generation_default
wh3_deal_generation_vampire_coast	wh3_deal_generation_default
wh3_deal_generation_vampire_coast_minor	wh3_deal_generation_vampire_coast
wh3_deal_generation_vampire_minor	wh3_deal_generation_vampire
wh3_deal_generation_war_only	wh3_deal_generation_dummy
wh3_deal_generation_wood_elves	wh3_deal_generation_default
wh3_deal_generation_wood_elves_minor	wh3_deal_generation_wood_elves
