key	force_effects	region_effects	garrison_effects
#plague_effect_setups_tables;0;db/plague_effect_setups_tables/data__			
wh2_dlc14_feature_skaven_skrolk	wh2_dlc14_feature_skaven_skrolk_force	wh2_dlc14_feature_skaven_skrolk_settlement	wh2_dlc14_feature_skaven_skrolk_force
wh2_dlc17_plague_beastmen	wh2_dlc17_plague_beastmen_force	wh2_dlc17_plague_beastmen_settlement	wh2_dlc17_plague_beastmen_force
wh2_main_plague_skaven	wh2_main_plague_skaven_force	wh2_main_plague_skaven_settlement	wh2_main_plague_skaven_force
wh3_dlc25_nur_base_hidden	wh3_dlc25_nur_base_hidden_epidemius_force	wh3_dlc25_nur_base_hidden_epidemius_region	
wh3_dlc25_nur_battle_1	wh3_dlc25_nur_battle_1		wh3_dlc25_nur_battle_1
wh3_dlc25_nur_battle_2	wh3_dlc25_nur_battle_2		wh3_dlc25_nur_battle_2
wh3_dlc25_nur_battle_3	wh3_dlc25_nur_battle_3		wh3_dlc25_nur_battle_3
wh3_dlc25_nur_battle_4	wh3_dlc25_nur_battle_4		wh3_dlc25_nur_battle_4
wh3_dlc25_nur_battle_5	wh3_dlc25_nur_battle_5		wh3_dlc25_nur_battle_5
wh3_dlc25_nur_battle_6	wh3_dlc25_nur_battle_6		wh3_dlc25_nur_battle_6
wh3_dlc25_nur_battle_7	wh3_dlc25_nur_battle_7		wh3_dlc25_nur_battle_7
wh3_dlc25_nur_force_1	wh3_dlc25_nur_force_1		
wh3_dlc25_nur_force_2	wh3_dlc25_nur_force_2		wh3_dlc25_nur_force_2
wh3_dlc25_nur_force_3	wh3_dlc25_nur_force_3		wh3_dlc25_nur_force_3
wh3_dlc25_nur_force_4	wh3_dlc25_nur_force_4		
wh3_dlc25_nur_force_5	wh3_dlc25_nur_force_5	wh3_dlc25_nur_force_5_enemy_settlement	wh3_dlc25_nur_force_5
wh3_dlc25_nur_force_5_festus	wh3_dlc25_nur_force_5_festus	wh3_dlc25_nur_force_5_enemy_settlement	wh3_dlc25_nur_force_5_festus
wh3_dlc25_nur_force_6	wh3_dlc25_nur_force_6		
wh3_dlc25_nur_mutation_duration_0			
wh3_dlc25_nur_mutation_duration_1			
wh3_dlc25_nur_mutation_duration_2			
wh3_dlc25_nur_mutation_duration_3			
wh3_dlc25_nur_mutation_immunity_0			
wh3_dlc25_nur_mutation_immunity_1			
wh3_dlc25_nur_mutation_immunity_2			
wh3_dlc25_nur_mutation_immunity_3			
wh3_dlc25_nur_mutation_spread_0			
wh3_dlc25_nur_mutation_spread_1			
wh3_dlc25_nur_mutation_spread_2			
wh3_dlc25_nur_mutation_spread_3			
wh3_dlc25_nur_random_plague_1	wh3_dlc25_nur_random_plague_1_force	wh3_dlc25_nur_random_plague_1_settlement	wh3_dlc25_nur_random_plague_1_force
wh3_dlc25_nur_random_plague_2	wh3_dlc25_nur_random_plague_2_force	wh3_dlc25_nur_random_plague_2_settlement	wh3_dlc25_nur_random_plague_2_force
wh3_dlc25_nur_random_plague_3	wh3_dlc25_nur_random_plague_3_force	wh3_dlc25_nur_random_plague_3_settlement	wh3_dlc25_nur_random_plague_3_force
wh3_dlc25_nur_random_plague_4	wh3_dlc25_nur_random_plague_4_force	wh3_dlc25_nur_random_plague_4_settlement	wh3_dlc25_nur_random_plague_4_force
wh3_dlc25_nur_random_plague_5	wh3_dlc25_nur_random_plague_5_force	wh3_dlc25_nur_random_plague_5_settlement	wh3_dlc25_nur_random_plague_5_force
wh3_dlc25_nur_settlement_1		wh3_dlc25_nur_settlement_1	
wh3_dlc25_nur_settlement_2		wh3_dlc25_nur_settlement_2	
wh3_dlc25_nur_settlement_3		wh3_dlc25_nur_settlement_3	
wh3_dlc25_nur_settlement_3_festus		wh3_dlc25_nur_settlement_3_festus	
wh3_dlc25_nur_settlement_4		wh3_dlc25_nur_settlement_4	
wh3_dlc25_nur_settlement_5	wh3_dlc25_nur_settlement_5		wh3_dlc25_nur_settlement_5
wh3_main_crimson_plague_faction	wh3_main_crimson_plague_faction_force	wh3_main_crimson_plague_faction_settlement	wh3_main_crimson_plague_faction_force
wh3_main_crimson_plague_region	wh3_main_crimson_plague_region_force	wh3_main_crimson_plague_region_settlement	wh3_main_crimson_plague_region_force
wh3_main_crimson_plague_world	wh3_main_crimson_plague_world_force	wh3_main_crimson_plague_world_settlement	wh3_main_crimson_plague_world_force
wh3_main_nur_base_Ague	wh3_main_nur_base_Ague_force	wh3_main_nur_base_Ague_settlement	
wh3_main_nur_base_Ague_festus	wh3_main_nur_base_Ague_force_festus	wh3_main_nur_base_Ague_settlement_festus	
wh3_main_nur_base_Buboes	wh3_main_nur_base_Buboes_force	wh3_main_nur_base_Buboes_settlement	
wh3_main_nur_base_Buboes_festus	wh3_main_nur_base_Buboes_force_festus	wh3_main_nur_base_Buboes_settlement_festus	
wh3_main_nur_base_Pox	wh3_main_nur_base_Pox_force	wh3_main_nur_base_Pox_settlement	
wh3_main_nur_base_Pox_festus	wh3_main_nur_base_Pox_force_festus	wh3_main_nur_base_Pox_settlement_festus	
wh3_main_nur_base_Rot	wh3_main_nur_base_Rot_force	wh3_main_nur_base_Rot_settlement	
wh3_main_nur_base_Rot_festus	wh3_main_nur_base_Rot_force_festus	wh3_main_nur_base_Rot_settlement_festus	
