character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/data__			
cam_cth_cha_astromancer_0	wh3_main_cth_cha_astromancer_1	cam_hu1e_hr1_warhorse_mage_lord	0
cam_cth_cha_astromancer_0	wh3_main_cth_cha_astromancer_2	cam_hu1e_warcompass01_mage_hero	0
cam_hero_hu13_wh3_ogre_sword_and_harpoon	wh3_main_ogr_cha_hunter_1	cam_hero_hu13_wh3_hq3b_stonehorn_sword_and_harpoon	0
cam_hero_hu14_wh3_pink_horror_staff	wh3_main_tze_cha_iridescent_horror_metal_1	cam_lord_hu14_wh3_pink_horror_wm_disc01_staff_and_book	0
cam_hero_hu14_wh3_pink_horror_staff	wh3_main_tze_cha_iridescent_horror_metal_2	cam_lord_hu14_wh3_pink_horror_wm_burning_chariot01_staff_and_book	0
cam_hero_hu14_wh3_pink_horror_staff	wh3_main_tze_cha_iridescent_horror_tzeentch_1	cam_lord_hu14_wh3_pink_horror_wm_disc01_staff_and_book	0
cam_hero_hu14_wh3_pink_horror_staff	wh3_main_tze_cha_iridescent_horror_tzeentch_2	cam_lord_hu14_wh3_pink_horror_wm_burning_chariot01_staff_and_book	0
cam_hero_hu17_dlc16_halberd	wh2_dlc16_skv_cha_chieftain_1	cam_hero_hu17_dlc16_hu18_rat_ogre_drill_halberd	0
cam_hero_hu17_dlc16_ratcatcher	wh2_dlc16_skv_cha_packmaster_2	cam_hero_hu17_dlc16_rt1_brood_horror_ratcatcher	0
cam_hero_hu1_cst_gunnery_rifle	wh2_dlc11_cst_cha_gunnery_wight_1	cam_hero_hu1_cst_gunnery_cr1_promethean_wb_rifle	0
cam_hero_hu1_cultist_of_slaanesh_dual_swords	wh3_dlc20_chs_cha_cultist_msla_warshrine	cam_hero_hu1_dlc20_wsh1_warshrine_cultist_of_slaanesh_dual_sword	165
cam_hero_hu1_cultist_of_slaanesh_dual_swords	wh3_main_sla_cha_cultist_1	cam_hero_hu1_cultist_of_slaanesh_hr1_warhorse_dual_swords	0
cam_hero_hu1_cultist_of_tzeentch_staff_and_sword	wh3_dlc20_tze_cha_cultist_mtze_warshrine	cam_hero_hu1_dlc20_wsh1_warshrine_cultist_of_tzeentch_staff_sword	164
cam_hero_hu1_cultist_of_tzeentch_staff_and_sword	wh3_main_tze_cha_cultist_1	cam_hero_hu1_cultist_of_tzeentch_hr1_staff_and_sword	164
cam_hero_hu1_dlc23_ulrika_dual_swords_bow	wh3_dlc23_neu_cha_ulrika_warhorse	cam_hero_hu1_dlc23_hr1_ulrika_dual_swords_bow	0
cam_hero_hu1_frost_maiden_sword_and_magic	wh3_main_ksl_cha_frost_maiden_ice_1	cam_hu1_ice_witch_hr1_warhorse_sword_and_magic	0
cam_hero_hu1_frost_maiden_sword_and_magic	wh3_main_ksl_cha_frost_maiden_ice_2	cam_hu1_ice_witch_be1_warbear_sword_and_magic	0
cam_hero_hu1_frost_maiden_sword_and_magic	wh3_main_ksl_cha_frost_maiden_tempest_1	cam_hu1_ice_witch_hr1_warhorse_sword_and_magic	0
cam_hero_hu1_frost_maiden_sword_and_magic	wh3_main_ksl_cha_frost_maiden_tempest_2	cam_hu1_ice_witch_be1_warbear_sword_and_magic	0
cam_hero_hu1_tomb_sword_and_whip	wh2_dlc09_tmb_cha_necrotect_1	cam_hero_hu1_tomb_sword_and_whip_wm_chariot01	0
cam_hero_hu1b_cst_captain_cutlass_and_hook	wh2_dlc11_cst_cha_vampire_fleet_captain_1	cam_hero_hu1b_cst_captain_cr1_promethean_wb_cutlass_and_hook	0
cam_hero_hu1b_cst_captain_cutlass_and_hook	wh2_dlc11_cst_cha_vampire_fleet_captain_death_1	cam_hero_hu1b_cst_captain_cr1_promethean_wb_cutlass_and_hook	0
cam_hero_hu1b_cst_captain_cutlass_and_hook	wh2_dlc11_cst_cha_vampire_fleet_captain_deeps_1	cam_hero_hu1b_cst_captain_cr1_promethean_wb_cutlass_and_hook	0
cam_hero_hu1b_hef_spear_and_bow	wh2_dlc10_hef_cha_handmaiden_1	cam_hero_hu1b_hef_hr1_warhorse_spear_and_bow	0
cam_hero_hu1b_hef_spear_and_bow	wh2_dlc10_hef_cha_handmaiden_2	cam_hero_hu1b_hef_hr1_warhorse_spear_and_bow	0
cam_hero_hu1b_hef_spear_and_bow	wh2_twa02_wef_cha_glade_captain_1	cam_hero_hu1b_hef_hr1_warhorse_spear_and_bow	0
cam_hero_hu1b_hef_spear_and_bow	wh2_twa02_wef_cha_glade_captain_2	cam_hero_hu1b_dlc16_bi1_eagle_spear_bow	0
cam_hero_hu1b_hef_spear_and_bow	wh2_twa02_wef_cha_glade_captain_3	cam_hero_hu1b_dlc16_st1_great_stag_spear_bow	0
cam_hero_hu1d_def_spear_and_shield	wh2_dlc14_def_cha_master_1	cam_hero_hu1d_dlc14_hr1_warhorse_master_spear_shield	0
