initiative	ui_graph_node
#initiative_to_ui_graph_node_junctions_tables;0;db/initiative_to_ui_graph_node_junctions_tables/data__	
wh3_dlc29_black_pyramid_archers_1	wh3_dlc29_r0-c3-cell0-4
wh3_dlc29_black_pyramid_archers_2	wh3_dlc29_r0-c3-cell1-3
wh3_dlc29_black_pyramid_archers_3	wh3_dlc29_r0-c3-cell2-3
wh3_dlc29_black_pyramid_archers_4	wh3_dlc29_r0-c3-cell1-4
wh3_dlc29_black_pyramid_archers_5	wh3_dlc29_r0-c3-cell2-4
wh3_dlc29_black_pyramid_archers_6	wh3_dlc29_r0-c3-cell3-4
wh3_dlc29_black_pyramid_archers_7	wh3_dlc29_r0-c4-cell1-0
wh3_dlc29_black_pyramid_archers_8	wh3_dlc29_r0-c4-cell2-0
wh3_dlc29_black_pyramid_arkhan_1	wh3_dlc29_r6-c3-cell3-0
wh3_dlc29_black_pyramid_arkhan_2	wh3_dlc29_r6-c2-cell2-4
wh3_dlc29_black_pyramid_arkhan_3	wh3_dlc29_r6-c2-cell1-4
wh3_dlc29_black_pyramid_beasts_1	wh3_dlc29_r1-c6-cell0-0
wh3_dlc29_black_pyramid_beasts_2	wh3_dlc29_r2-c7-cell4-0
wh3_dlc29_black_pyramid_beasts_3	wh3_dlc29_r2-c7-cell3-1
wh3_dlc29_black_pyramid_beasts_4	wh3_dlc29_r1-c6-cell0-4
wh3_dlc29_black_pyramid_beasts_5	wh3_dlc29_r2-c7-cell4-4
wh3_dlc29_black_pyramid_beasts_6	wh3_dlc29_r2-c7-cell3-3
wh3_dlc29_black_pyramid_beasts_7	wh3_dlc29_r2-c7-cell3-2
wh3_dlc29_black_pyramid_books_lore_of_death_1	wh3_dlc29_r5-c3-cell1-2
wh3_dlc29_black_pyramid_books_lore_of_death_2	wh3_dlc29_r5-c3-cell1-1
wh3_dlc29_black_pyramid_books_lore_of_death_3	wh3_dlc29_r5-c3-cell0-2
wh3_dlc29_black_pyramid_books_lore_of_death_4	wh3_dlc29_r6-c2-cell4-0
wh3_dlc29_black_pyramid_books_lore_of_light_1	wh3_dlc29_r4-c8-cell3-3
wh3_dlc29_black_pyramid_books_lore_of_light_2	wh3_dlc29_r4-c8-cell3-2
wh3_dlc29_black_pyramid_books_lore_of_light_3	wh3_dlc29_r4-c8-cell4-3
wh3_dlc29_black_pyramid_books_lore_of_light_4	wh3_dlc29_r3-c9-cell0-1
wh3_dlc29_black_pyramid_books_lore_of_nehekhara_1	wh3_dlc29_r5-c5-cell1-2
wh3_dlc29_black_pyramid_books_lore_of_nehekhara_2	wh3_dlc29_r5-c5-cell0-2
wh3_dlc29_black_pyramid_books_lore_of_nehekhara_3	wh3_dlc29_r5-c5-cell1-3
wh3_dlc29_black_pyramid_books_lore_of_nehekhara_4	wh3_dlc29_r6-c4-cell4-4
wh3_dlc29_black_pyramid_books_lore_of_vampires_1	wh3_dlc29_r4-c2-cell3-1
wh3_dlc29_black_pyramid_books_lore_of_vampires_2	wh3_dlc29_r4-c2-cell4-1
wh3_dlc29_black_pyramid_books_lore_of_vampires_3	wh3_dlc29_r4-c2-cell3-2
wh3_dlc29_black_pyramid_books_lore_of_vampires_4	wh3_dlc29_r3-c3-cell0-3
wh3_dlc29_black_pyramid_chariots_1	wh3_dlc29_r2-c6-cell3-2
wh3_dlc29_black_pyramid_chariots_2	wh3_dlc29_r2-c6-cell2-3
wh3_dlc29_black_pyramid_chariots_3	wh3_dlc29_r2-c6-cell1-3
wh3_dlc29_black_pyramid_chariots_4	wh3_dlc29_r2-c6-cell0-4
wh3_dlc29_black_pyramid_chariots_5	wh3_dlc29_r3-c5-cell4-4
wh3_dlc29_black_pyramid_construct_monsters_1	wh3_dlc29_r6-c1-cell3-2
wh3_dlc29_black_pyramid_construct_monsters_2	wh3_dlc29_r6-c1-cell3-1
wh3_dlc29_black_pyramid_construct_monsters_3	wh3_dlc29_r6-c1-cell3-0
wh3_dlc29_black_pyramid_construct_monsters_4	wh3_dlc29_r6-c1-cell4-0
wh3_dlc29_black_pyramid_construct_monsters_5	wh3_dlc29_r6-c1-cell2-2
wh3_dlc29_black_pyramid_construct_monsters_6	wh3_dlc29_r6-c1-cell1-2
wh3_dlc29_black_pyramid_construct_monsters_7	wh3_dlc29_r6-c1-cell1-3
wh3_dlc29_black_pyramid_construct_monsters_8	wh3_dlc29_r6-c1-cell2-1
wh3_dlc29_black_pyramid_construct_monsters_9	wh3_dlc29_r6-c1-cell1-0
wh3_dlc29_black_pyramid_construct_monstrous_1	wh3_dlc29_r3-c4-cell3-4
wh3_dlc29_black_pyramid_construct_monstrous_2	wh3_dlc29_r3-c4-cell4-4
wh3_dlc29_black_pyramid_construct_monstrous_3	wh3_dlc29_r2-c5-cell0-4
wh3_dlc29_black_pyramid_construct_monstrous_4	wh3_dlc29_r2-c5-cell0-3
wh3_dlc29_black_pyramid_construct_monstrous_5	wh3_dlc29_r2-c6-cell0-0
wh3_dlc29_black_pyramid_construct_monstrous_6	wh3_dlc29_r3-c4-cell3-3
wh3_dlc29_black_pyramid_construct_monstrous_7	wh3_dlc29_r3-c4-cell4-2
wh3_dlc29_black_pyramid_construct_monstrous_8	wh3_dlc29_r3-c5-cell3-0
wh3_dlc29_black_pyramid_construct_monstrous_9	wh3_dlc29_r3-c5-cell4-1
wh3_dlc29_black_pyramid_cst_II_1	wh3_dlc29_r7-c2-cell1-2
wh3_dlc29_black_pyramid_cst_II_2	wh3_dlc29_r7-c2-cell2-1
wh3_dlc29_black_pyramid_cst_II_3	wh3_dlc29_r7-c2-cell2-3
wh3_dlc29_black_pyramid_cst_II_4	wh3_dlc29_r7-c2-cell2-2
wh3_dlc29_black_pyramid_cst_II_5	wh3_dlc29_r7-c2-cell4-2
wh3_dlc29_black_pyramid_cst_I_1	wh3_dlc29_r1-c3-cell2-4
wh3_dlc29_black_pyramid_cst_I_2	wh3_dlc29_r1-c4-cell1-0
wh3_dlc29_black_pyramid_cst_I_3	wh3_dlc29_r1-c4-cell2-3
wh3_dlc29_black_pyramid_cst_I_4	wh3_dlc29_r1-c4-cell1-2
wh3_dlc29_black_pyramid_cst_I_5	wh3_dlc29_r1-c4-cell0-1
wh3_dlc29_black_pyramid_dead_rise_chance_1	wh3_dlc29_r0-c2-cell0-4
