key	lower_bound	upper_bound	operation_set_group	pooled_resource_set	activate_when_skipping_threshold
#pooled_resource_threshold_operation_sets_tables;1;db/pooled_resource_threshold_operation_sets_tables/data__					
bretonnia_chivalry_1	0	1999	bretonnia_chivalry_1	brt_chivalry	false
bretonnia_chivalry_2	2000	3999	bretonnia_chivalry_2	brt_chivalry	false
bretonnia_chivalry_3	4000	5999	bretonnia_chivalry_3	brt_chivalry	false
bretonnia_chivalry_4	6000	7999	bretonnia_chivalry_4	brt_chivalry	false
bretonnia_chivalry_5	8000	10000	bretonnia_chivalry_5	brt_chivalry	false
wh3_dlc20_operation_set_champions_progress_1	10000	50000	wh3_dlc20_operation_set_champions_progress_1	wh3_dlc20_champions_progress	false
wh3_dlc20_operation_set_champions_progress_2	30000	50000	wh3_dlc20_operation_set_champions_progress_2	wh3_dlc20_champions_progress	false
wh3_dlc20_operation_set_champions_progress_3	50000	50000	wh3_dlc20_operation_set_champions_progress_3	wh3_dlc20_champions_progress	false
wh3_dlc26_operation_set_kho_skull_throne_progress_1	5000	40000	wh3_dlc26_operation_set_kho_skull_throne_progress_1	wh3_dlc26_kho_skull_throne_progress	false
wh3_dlc26_operation_set_kho_skull_throne_progress_2	15000	40000	wh3_dlc26_operation_set_kho_skull_throne_progress_2	wh3_dlc26_kho_skull_throne_progress	false
wh3_dlc26_operation_set_kho_skull_throne_progress_3	40000	40000	wh3_dlc26_operation_set_kho_skull_throne_progress_3	wh3_dlc26_kho_skull_throne_progress	false
wh3_main_operation_set_ksl_ice_court_support	100	100	wh3_main_operation_set_ksl_ice_court_support	wh3_main_operation_set_ksl_ice_court_support	false
wh3_main_operation_set_ksl_orthodoxy_support	100	100	wh3_main_operation_set_ksl_orthodoxy_support	wh3_main_operation_set_ksl_orthodoxy_support	false
wh3_main_threshold_dae_khorne_1120	880	4400	wh3_main_operation_set_dae_khorne_1120	wh3_main_dae_khorne_points	false
wh3_main_threshold_dae_khorne_1260	990	4400	wh3_main_operation_set_dae_khorne_1260	wh3_main_dae_khorne_points	false
wh3_main_threshold_dae_khorne_140	110	4400	wh3_main_operation_set_dae_khorne_140	wh3_main_dae_khorne_points	false
wh3_main_threshold_dae_khorne_1400	1100	4400	wh3_main_operation_set_dae_khorne_1400	wh3_main_dae_khorne_points	false
wh3_main_threshold_dae_khorne_1540	1210	4400	wh3_main_operation_set_dae_khorne_1540	wh3_main_dae_khorne_points	false
wh3_main_threshold_dae_khorne_1680	1320	4400	wh3_main_operation_set_dae_khorne_1680	wh3_main_dae_khorne_points	false
wh3_main_threshold_dae_khorne_1820	1430	4400	wh3_main_operation_set_dae_khorne_1820	wh3_main_dae_khorne_points	false
wh3_main_threshold_dae_khorne_1960	1540	4400	wh3_main_operation_set_dae_khorne_1960	wh3_main_dae_khorne_points	false
wh3_main_threshold_dae_khorne_2100	1650	4400	wh3_main_operation_set_dae_khorne_2100	wh3_main_dae_khorne_points	false
