personality	pooled_resource	income_allocation_policy	budget_policy
#cai_personalities_pooled_resource_to_allocations_junctions_tables;0;db/cai_personalities_pooled_resource_to_allocations_junctions_tables/data__			
wh3_chaos_dwarf_astragoth	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_chaos_dwarf_astragoth	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_chaos_dwarf_drazhoath	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_chaos_dwarf_drazhoath	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_chaos_dwarf_minor	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_chaos_dwarf_minor	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_chaos_dwarf_zhatan	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_chaos_dwarf_zhatan	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_combi_chaos_dwarf_astragoth	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_combi_chaos_dwarf_astragoth	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_combi_chaos_dwarf_drazhoath	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_combi_chaos_dwarf_drazhoath	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_combi_chaos_dwarf_minor	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_combi_chaos_dwarf_minor	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_combi_chaos_dwarf_zhatan	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_combi_chaos_dwarf_zhatan	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_combi_conclave_of_sorcerers	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_combi_conclave_of_sorcerers	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_combi_nurgle_epidemius	wh3_main_nur_infections	wh3_default	wh3_budget_policy_nurgle_infections
wh3_combi_nurgle_kugath	wh3_main_nur_infections	wh3_default	wh3_budget_policy_nurgle_infections
wh3_combi_nurgle_tamurkhan	wh3_main_nur_infections	wh3_default	wh3_budget_policy_nurgle_infections
wh3_conclave_of_sorcerers	wh3_dlc23_chd_armaments	wh3_default	wh3_budget_policy_armaments
wh3_conclave_of_sorcerers	wh3_dlc23_chd_raw_materials	wh3_pooled_resource_raw_materials	wh3_budget_policy_raw_materials
wh3_nurgle_kugath	wh3_main_nur_infections	wh3_default	wh3_budget_policy_nurgle_infections
wh3_nurgle_main	wh3_main_nur_infections	wh3_default	wh3_budget_policy_nurgle_infections
wh3_nurgle_tamurkhan	wh3_main_nur_infections	wh3_default	wh3_budget_policy_nurgle_infections
