ancillary_category	faction	allowed_per_character
#ancillaries_categories_faction_junctions_tables;1;db/ancillaries_categories_faction_junctions_tables/data__		
arcane_item		1
arcane_item	wh2_dlc15_dwf_clan_helhein	3
arcane_item	wh2_dlc17_dwf_thorek_ironbrow	3
arcane_item	wh2_main_dwf_greybeards_prospectors	3
arcane_item	wh2_main_dwf_karak_zorn	3
arcane_item	wh2_main_dwf_spine_of_sotek_dwarfs	3
arcane_item	wh3_dlc20_kho_blood_keepers	0
arcane_item	wh3_dlc25_dwf_malakai	3
arcane_item	wh3_dlc26_kho_arbaal	0
arcane_item	wh3_dlc26_kho_skulltaker	0
arcane_item	wh3_main_dwf_karak_azorn	3
arcane_item	wh3_main_dwf_the_ancestral_throng	3
arcane_item	wh3_main_kho_bloody_sword	0
arcane_item	wh3_main_kho_brazen_throne	0
arcane_item	wh3_main_kho_crimson_skull	0
arcane_item	wh3_main_kho_exiles_of_khorne	0
arcane_item	wh3_main_kho_karneths_sons	0
arcane_item	wh3_main_kho_khorne	0
arcane_item	wh3_main_kho_khorne_qb1	0
arcane_item	wh3_main_kho_khorne_qb2	0
arcane_item	wh3_main_kho_khorne_rebels	0
arcane_item	wh_main_dwf_barak_varr	3
arcane_item	wh_main_dwf_dwarf_rebels	3
arcane_item	wh_main_dwf_dwarfs	3
arcane_item	wh_main_dwf_dwarfs_qb1	3
arcane_item	wh_main_dwf_dwarfs_qb2	3
arcane_item	wh_main_dwf_dwarfs_qb3	3
arcane_item	wh_main_dwf_dwarfs_qb4	3
arcane_item	wh_main_dwf_dwarfs_seperatists_qb1	3
arcane_item	wh_main_dwf_dwarfs_seperatists_qb2	3
arcane_item	wh_main_dwf_dwarfs_seperatists_qb3	3
arcane_item	wh_main_dwf_dwarfs_seperatists_qb4	3
arcane_item	wh_main_dwf_karak_azul	3
arcane_item	wh_main_dwf_karak_hirn	3
arcane_item	wh_main_dwf_karak_izor	3
arcane_item	wh_main_dwf_karak_kadrin	3
arcane_item	wh_main_dwf_karak_norn	3
arcane_item	wh_main_dwf_karak_ziflin	3
arcane_item	wh_main_dwf_kraka_drak	3
arcane_item	wh_main_dwf_zhufbar	3
armour		1
enchanted_item		1
form		0
form	wh3_dlc24_tze_the_deceivers	1
general		6
general	wh2_dlc15_dwf_clan_helhein	8
general	wh2_dlc17_dwf_thorek_ironbrow	8
general	wh2_main_dwf_greybeards_prospectors	8
general	wh2_main_dwf_karak_zorn	8
general	wh2_main_dwf_spine_of_sotek_dwarfs	8
general	wh3_dlc25_dwf_malakai	8
general	wh3_main_dwf_karak_azorn	8
general	wh3_main_dwf_the_ancestral_throng	8
general	wh_main_dwf_barak_varr	8
general	wh_main_dwf_dwarf_rebels	8
general	wh_main_dwf_dwarfs	8
general	wh_main_dwf_dwarfs_qb1	8
general	wh_main_dwf_dwarfs_qb2	8
general	wh_main_dwf_dwarfs_qb3	8
general	wh_main_dwf_dwarfs_qb4	8
general	wh_main_dwf_dwarfs_seperatists_qb1	8
general	wh_main_dwf_dwarfs_seperatists_qb2	8
general	wh_main_dwf_dwarfs_seperatists_qb3	8
general	wh_main_dwf_dwarfs_seperatists_qb4	8
general	wh_main_dwf_karak_azul	8
general	wh_main_dwf_karak_hirn	8
general	wh_main_dwf_karak_izor	8
general	wh_main_dwf_karak_kadrin	8
general	wh_main_dwf_karak_norn	8
general	wh_main_dwf_karak_ziflin	8
general	wh_main_dwf_kraka_drak	8
general	wh_main_dwf_zhufbar	8
mount		1
talisman		1
weapon		1
