key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/data__		
:wh3_dlc25_effect_ability_enable_dig_in_for_engineers	wh3_dlc23_unit_passive_dig_in	dwf_master_engineer
ancient_treemen_wrath_of_the_wood	wh2_dlc16_lore_passive_wrath_of_the_wood	wh2_dlc16_wef_ancient_treemen
arcane_conduit_chd_lammasu	wh_main_character_abilities_arcane_conduit	wh3_dlc23_chd_lammasu
awe_inspiring_sight_dwf_spirit_of_grungni	wh3_dlc25_unit_passive_awe_inspiring_sight	dwf_spirit_of_grungni_summon
ballistics_callibration_chd_missile_inf	wh_main_hero_abilities_ballistics_calibration	wh3_dlc23_chd_category_chaos_dwarf_missile_infantry
blazing_body_chd_warmachines	wh3_dlc23_unit_passive_blazing_body	wh3_dlc23_chd_category_warmachines
bloodgreed_chd_centaur_taurus	wh_dlc03_unit_passive_bloodgreed	wh3_dlc23_chd_category_bull_centaurs
bloodgreed_chd_kdaai	wh_dlc03_unit_passive_bloodgreed	wh3_dlc23_chd_category_kdaai
bloodgreed_chd_skullcracker	wh_dlc03_unit_passive_bloodgreed	wh3_dlc23_chd_skullcracker
bloodgreed_khorne_units	wh_dlc03_unit_passive_bloodgreed	wh3_dlc20_chs_khorne_marked_units
burning_bright_chd_kdaai	wh3_dlc23_unit_passive_burning_bright	wh3_dlc23_chd_category_kdaai
burning_bright_upgraded_chd_kdaai	wh3_dlc23_unit_passive_burning_bright_upgraded	wh3_dlc23_chd_category_kdaai
daemonic_rebirth_kdaai_fireborn	wh3_dlc23_unit_passive_daemonic_rebirth	wh3_dlc23_chd_kdaai_fireborn
daring_deathblow_doomseekers	wh_dlc08_lord_passive_daring_deathblow	dwf_doomseekers
deathblow_chd_infernal_guard	wh_main_unit_passive_deathblow	wh3_dlc23_chd_infernal_guard_infernal_ironsword
deathblow_doomseekers	wh_main_unit_passive_deathblow	dwf_doomseekers
deathblow_slayers	wh_main_unit_passive_deathblow	dwf_slayers
determined_deathblow_doomseekers	wh_dlc08_lord_passive_determined_deathblow	dwf_doomseekers
determined_deathblow_slayers	wh_dlc08_lord_passive_determined_deathblow	dwf_slayers
dig_in_chd_missile_inf	wh3_dlc23_unit_passive_dig_in	wh3_dlc23_chd_category_chaos_dwarf_missile_infantry
dig_in_dwf_flame_cannons	wh3_dlc23_unit_passive_dig_in	dwf_flame_cannon
dig_in_dwf_irondrakes	wh3_dlc23_unit_passive_dig_in	dwf_irondrakes
dig_in_dwf_organ_guns	wh3_dlc23_unit_passive_dig_in	dwf_organ_guns
dlc08_nor_marauders_champions_guardian	wh2_dlc09_unit_passive_guardian	dlc08_nor_marauders_champions
emergency_repairs_dwf_gyros	wh3_dlc25_unit_passive_emergency_repairs	dwf_gyros
emergency_repairs_dwf_thunderbarge	wh3_dlc25_unit_passive_emergency_repairs	dwf_thunderbarge
emp_black_rose_knights_iron_resolve	wh3_dlc25_unit_passive_iron_resolve	emp_black_rose_knights
emp_gelt_golden_globe	wh3_main_cataclysm_metal_gehennas_golden_globe	emp_gelt
emp_steam_tank_more_power	wh3_dlc23_unit_abilities_more_power	emp_steam_tank
emp_steam_tank_repair	wh3_dlc25_unit_passive_emergency_repairs	emp_steam_tank
enrage_chd_flying_beasts	wh_pro04_unit_abilities_enrage	wh3_dlc23_chd_category_flying_beasts
entrenchment_chd_missile_inf	wh_main_unit_abilities_entrenchment	wh3_dlc23_chd_category_chaos_dwarf_missile_infantry
extra_powder_chd_missile_inf	wh2_dlc11_unit_passive_extra_powder	wh3_dlc23_chd_category_chaos_dwarf_missile_infantry
extra_powder_chd_warmachines_arty	wh2_dlc11_unit_passive_extra_powder	wh3_dlc23_chd_category_warmachines
extra_reload_chd_missile_inf	wh3_dlc23_unit_passive_extra_reload	wh3_dlc23_chd_category_chaos_dwarf_missile_infantry
extra_reload_chd_warmachines_arty	wh3_dlc23_unit_passive_extra_reload	wh3_dlc23_chd_category_warmachines
fire_bomb_gyrobomber	wh3_dlc25_unit_abilities_gyrobomber_fire_bomb	dwf_gyrobombers_no_ror
flaming_breath_chd_bale_taurus	wh3_dlc23_unit_abilities_flaming_breath	wh3_dlc23_chd_bale_taurus
flaming_breath_chd_great_taurus	wh3_dlc23_unit_abilities_flaming_breath	wh3_dlc23_chd_great_taurus
forgefire_chd_kdaai	wh_main_hero_passive_forgefire	wh3_dlc23_chd_category_kdaai
forgefire_chd_warmachines	wh_main_hero_passive_forgefire	wh3_dlc23_chd_category_warmachines
frenzy_chd_centaurs_taurus	wh_main_unit_passive_frenzy	wh3_dlc23_chd_category_bull_centaurs
frenzy_chd_flying_monsters	wh_main_unit_passive_frenzy	wh3_dlc23_chd_category_flying_beasts
frenzy_chd_hobgoblins	wh_main_unit_passive_frenzy	wh3_dlc23_chd_hobgoblin_units
frenzy_chd_lammasu	wh_main_unit_passive_frenzy	wh3_dlc23_chd_lammasu
frenzy_chd_melee_inf	wh_main_unit_passive_frenzy	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
frenzy_clanrats_stormvermin	wh_main_unit_passive_frenzy	skv_stormvermin_clanrats
frenzy_dwf_hammerers	wh_main_unit_passive_frenzy	dwf_hammerers_rank_7
frenzy_dwf_longbeards	wh_main_unit_passive_frenzy	dwf_longbeards
frenzy_dwf_slayers	wh_main_unit_passive_frenzy	dwf_slayers
gaze_of_fate_tzeentch_characters	wh3_main_lord_abilities_gaze_of_fate	tzeentch_characters
glittering_scales_chd_melee_inf	wh_main_weapon_passive_glittering_scales	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
greater_arcane_conduit_chd_lammasu	wh2_main_character_passive_grand_arcane_conduit	wh3_dlc23_chd_lammasu_rank7
guardian_greatswords	wh2_dlc09_unit_passive_guardian	emp_greatswords
guardian_reiksguard	wh2_dlc09_unit_passive_guardian	emp_reiksguard
gun_cav_restock	wh3_dlc25_abilities_restock_gunnery_school	wh3_dlc25_gunnery_cavalry
gyrobomber_bomb_gyrobomber	wh_main_unit_abilities_gyrobomber_bomb	dwf_gyrobombers_no_ror
hellbound_chd_warmachines_arty	wh3_dlc23_unit_passive_hellbound	wh3_dlc23_chd_category_warmachines
hungering_blades_chd_centaur	wh3_twa06_unit_passive_hungering_blades	wh3_dlc23_chd_category_bull_centaurs
hungering_blades_chd_kdaai_destroyer	wh3_twa06_unit_passive_hungering_blades	wh3_dlc23_chd_kdaai_destroyer
hungering_blades_chd_melee_inf	wh3_twa06_unit_passive_hungering_blades	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
hungering_blades_chd_warmachines_arty	wh3_twa06_unit_passive_hungering_blades	wh3_dlc23_chd_category_warmachines
murderous_charge_chd_bull_centaur	wh3_dlc20_unit_passive_murderous_charge	wh3_dlc23_chd_category_bull_centaurs
murderous_charge_chd_flying_beasts	wh3_dlc20_unit_passive_murderous_charge	wh3_dlc23_chd_category_flying_beasts
murderous_charge_chd_kdaai	wh3_dlc20_unit_passive_murderous_charge	wh3_dlc23_chd_category_kdaai
murderous_charge_chd_warmachines	wh3_dlc20_unit_passive_murderous_charge	wh3_dlc23_chd_category_warmachines
portalglyph_undivided_characters	wh3_main_item_abilities_the_portalglyph	undivided_characters
primal_fury_upgraded	wh2_dlc17_unit_passive_primal_fury_upgraded	bst_primal_fury_units
rage_chd_melee_inf	wh_dlc08_unit_passive_rage	wh3_dlc23_chd_category_chaos_dwarf_melee_infantry
regeneration_nurgle_units	wh_main_unit_passive_regeneration	wh3_dlc20_chs_nurgle_marked_units
shield_wall_dwf_warriors_longbeards	wh3_dlc25_unit_formation_shieldwall	dwf_shield_warriors_longbeards
shield_wall_upgraded_dwf_ironbreaker	wh3_dlc25_unit_formation_shieldwall_upgraded	dwf_ironbreaker
shield_wall_upgraded_dwf_ironbreaker_rank_7	wh3_dlc25_unit_formation_shieldwall_upgraded	dwf_ironbreaker_rank_7
shield_wall_upgraded_dwf_ironbreaker_ror_rank_7	wh3_dlc25_unit_formation_shieldwall_upgraded	dwf_ironbreaker_ror_rank_7
skyhammer_bomb	wh_dlc06_unit_abilities_skyhammer_bomb	dwf_skyhammer_gyrobomber_only
skyhammer_fire_bomb	wh_dlc06_unit_abilities_skyhammer_fire_bomb	dwf_skyhammer_gyrobomber_only
sonic_boom_slaanesh_characters	wh3_main_daemon_head_abilities_sonic_boom	slaanesh_characters
spirit_of_grungni_summon_unbinding	wh3_dlc25_unit_passive_unbinding_spirit_of_grungni	dwf_spirit_of_grungni_summon
spirit_of_grungni_summon_unbinding_upgraded	wh3_dlc25_unit_passive_unbinding_spirit_of_grungni_upgraded	dwf_spirit_of_grungni_summon
spirit_of_grungni_summon_unbinding_upgraded_2	wh3_dlc25_unit_passive_unbinding_spirit_of_grungni_upgraded_2	dwf_spirit_of_grungni_summon
strength_from_flesh_chd_bull_centaurs	wh2_dlc17_unit_passive_strength_from_flesh	wh3_dlc23_chd_category_bull_centaurs
strength_from_flesh_chd_flying_beasts	wh2_dlc17_unit_passive_strength_from_flesh	wh3_dlc23_chd_category_flying_beasts
thorek_mounted_greater_locus_of_power	wh2_dlc17_lord_passive_greater_locus_of_power	thorek_mounted
thorek_mounted_locus_of_power	wh_dlc06_lord_passive_locus_of_power	thorek_mounted
thunderburner_dwf_spirit_of_grungni	wh3_dlc25_unit_abilities_thunderburner	dwf_spirit_of_grungni_summon
thunderburner_upgraded_dwf_spirit_of_grungni	wh3_dlc25_unit_abilities_thunderburner_upgraded	dwf_spirit_of_grungni_summon
treekin_resplendence_of_luminescents	wh2_dlc16_character_passive_resplendence_of_luminescents	wh_dlc05_wef_mon_treekin
treemen_annoyance_of_netlings	wh2_dlc16_character_passive_annoyance_of_netlings	wef_dlc05_treemen
treemen_murder_of_spites	wh2_dlc16_character_passive_murder_of_spites	wh2_dlc16_wef_mon_malicious_treeman_0
trophy_heads_khorne_characters	wh3_main_daemon_wings_abilities_trophy_heads	khorne_characters
virulent_contagion_upgraded_nurgle_characters	wh3_main_lord_abilities_virulent_contagion_upgraded	nurgle_characters
wayfarer_helblasters	wh2_dlc17_unit_passive_wayfarer	wh3_dlc25_helblasters
wh2_dlc09_effect_ability_deathblow_for_skeleton_units	wh_main_unit_passive_deathblow	wh2_dlc09_tmb_all_skeleton
wh2_dlc09_effect_ability_frenzy_to_ushabti_units	wh_main_unit_passive_frenzy	wh2_dlc09_tmb_ushabti
wh2_dlc09_effect_ability_hawkish_precision_to_archer_units	wh_dlc05_hero_passive_hawkish_precision	wh2_dlc09_tmb_all_archer_units
wh2_dlc10_effect_ability_hawkish_precision_to_archer_units	wh_dlc05_hero_passive_hawkish_precision	wh2_dlc10_hef_all_ranged
wh2_dlc11_cst_cha_vampire_fleet_captain_garrison_1	wh_main_spell_vampires_invocation_of_nehek	wh2_dlc11_cst_cha_vampire_fleet_captain_0
wh2_dlc11_cst_cha_vampire_fleet_captain_garrison_2	wh_main_spell_vampires_vanhels_danse_macabre	wh2_dlc11_cst_cha_vampire_fleet_captain_0
wh2_dlc11_effect_ability_the_ravenous_dead_for_zombie_units	wh2_dlc11_unit_passive_the_ravenous_dead	vmp_zombies
wh2_dlc12_lord_passive_warpstone_detonation	wh2_dlc12_lord_passive_warpstone_detonation	wh2_dlc12_skv_cha_doomflayer
wh2_dlc12_lzd_tiktaqto_enable_terradon_drop_rocks_0	wh2_dlc12_unit_abilities_drop_rocks_of_sundering	lzd_terradon_riders_0
wh2_dlc12_lzd_tiktaqto_enable_terradon_drop_rocks_0_ror_uses_mod	wh2_dlc12_unit_abilities_drop_rocks_of_sundering	wh2_dlc12_lzd_cav_terradon_riders_ror_0
wh2_dlc12_lzd_tiktaqto_enable_terradon_drop_rocks_1	wh2_dlc12_unit_abilities_drop_rocks_of_chotec	lzd_terradon_riders_1
wh2_dlc12_passive_enable_skaven_doomflayer_blade_swirl	wh2_dlc12_unit_passive_blade_swirl	wh2_dlc12_skv_doomflayers
wh2_dlc12_skaven_ratling_passive_ability_endless_drum	wh2_dlc12_unit_passive_endless_drum	wh2_dlc12_skv_ratling
wh2_dlc12_skv_ikit_claw_storm_daemon	wh2_dlc12_weapon_abilities_storm_daemon	wh2_dlc12_skv_ikit_claw
wh2_dlc12_skv_jezzail_hawkish_precision	wh_dlc05_hero_passive_hawkish_precision	wh2_dlc12_skv_jezzail
wh2_dlc12_skv_passive_enable_doomflayer_character_overload	wh2_dlc12_lord_passive_overload	wh2_dlc12_skv_cha_doomflayer
wh2_dlc13_ability_enable_frenzy_kroxigors	wh_main_unit_passive_frenzy	lzd_kroxigor
wh2_dlc13_ability_enable_refuse_to_die_saurus	wh2_dlc12_unit_abilities_refuse_to_die	lzd_saurus
wh2_dlc13_final_battle_character_abilities_rodrik_ward_save_reduction	wh2_dlc13_final_battle_character_abilities_rodrik_ward_save_reduction	mp_cap_hero_rodrik
wh2_dlc13_hunter_final_battle_effect_jorek_dummy	wh2_dlc13_final_battle_character_abilities_jorek_ammo_replenishment	mp_cap_hero_jorek
wh2_dlc14_def_malus_tzarkan	wh2_dlc14_lord_abilities_tzarkan	wh2_dlc14_def_malus_darkblade_foot
wh2_dlc14_def_malus_tzarkan_spite	wh2_dlc14_lord_abilities_tzarkan_spite	wh2_dlc14_def_malus_darkblade_spite
wh2_dlc14_enable_ability_gutterrunners	wh2_main_unit_abilities_concealment_bombs	skv_gutterrunners
wh2_dlc14_enable_ability_nightrunners	wh2_main_unit_abilities_concealment_bombs	skv_nightrunners
wh2_dlc14_lord_abilities_tzarkan	wh2_dlc14_lord_abilities_tzarkan	wh2_dlc14_def_cha_malus
wh2_dlc14_lord_abilities_tzarkan_spite	wh2_dlc14_lord_abilities_tzarkan_spite	wh2_dlc14_def_cha_malus
wh2_dlc14_skv_snikch_tzarkan	wh2_dlc14_lord_abilities_tzarkan_snikch	wh2_dlc14_skv_snikch
wh2_dlc14_skv_warp_grinder_regeneration	wh_main_unit_passive_regeneration	wh2_dlc14_skv_warp_grinder
wh2_dlc14_skv_warp_grinder_witness_me	wh2_dlc12_unit_passive_witness_me	wh2_dlc14_skv_warp_grinder
wh2_dlc15_ability_enable_frenzy_all_boyz_and_big_uns	wh_main_unit_passive_frenzy	wh2_dlc15_grn_all_boyz_and_big_uns
wh2_dlc15_berserk_non_savage_orc_infantry	wh_dlc08_unit_passive_berserk	wh2_dlc11_grn_all_orc_infantry
wh2_dlc15_berserk_savage_orc_infantry	wh_dlc08_unit_passive_berserk	grn_dlc06_savage_orc_infantry
wh2_dlc15_effect_ability_disable_hef_passives_1	wh2_main_unit_passive_martial_mastery	wh2_dlc15_hef_martial_passives
wh2_dlc15_effect_ability_disable_hef_passives_2	wh2_main_unit_passive_martial_prowess	wh2_dlc15_hef_martial_passives
wh2_dlc15_effect_ability_enable_grim_discipline	wh2_dlc15_unit_passive_grim_discipline	wh2_dlc15_hef_martial_passives
wh2_dlc15_effect_ability_enable_mimic_berserk	wh2_dlc15_unit_passive_mimic_berserk	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_blessing_of_the_lady	wh2_dlc15_unit_passive_mimic_the_blessing_of_the_lady	wh2_dlc15_mistwalkers
wh2_dlc15_effect_ability_enable_mimic_bloodgreed	wh2_dlc15_unit_passive_mimic_bloodgreed	wh2_dlc15_mistwalkers
