key	near_outside	far_inside	uncapped	far_outside	near_inside	max_distance
#audio_vfx_limitations_tables;0;db/audio_vfx_limitations_tables/data__						
bat1000m	2	8	false	4	4	1000
bat2000m	2	8	false	4	4	2000
bat3000m	2	8	false	4	4	3000
bat4000m	2	8	false	4	4	4000
bat500m	2	8	false	4	4	500
bat750m	2	8	false	4	4	750
bat_skybox_lightning	1	2	false	1	2	15000
cam100m	2	8	true	4	4	100
cam200m	2	8	true	4	4	200
cam25m	2	8	true	4	4	25
cam50m	2	8	true	4	4	50
default	0	0	true	0	0	400
fire	2	2	false	1	4	125
fire_big	2	2	false	1	4	250
large	4	14	false	6	6	400
magic	5	20	false	10	10	800
magic_tiny	3	3	false	2	5	25
medium	2	8	false	4	4	250
small	2	8	false	4	4	120
thunder	0	0	true	0	0	4000
