currency_type	item_type	modifier_type
#battle_currency_modifiers_to_unit_abilities_tables;0;db/battle_currency_modifiers_to_unit_abilities_tables/data__		
supplies_currency	wh3_supplies_replenishment_ability_recharge_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_replenishment_ammunition_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_replenishment_encourage_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_replenishment_fatigue_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_replenishment_full_restore_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_replenishment_regen_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_replenishment_regen_magical_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_replenishment_winds_of_magic_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_armour_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_armour_02	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_armour_03	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_missiles_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_missiles_02	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_missiles_03	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_shields_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_shields_02	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_shields_03	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_weapons_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_weapons_02	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_weapons_03	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_weapons_imbue_01	Survival_Gates_unlocked
supplies_currency	wh3_supplies_upgrade_weapons_imbue_02	Survival_Gates_unlocked
