minister_key	rank	order	cost	minimum_term_length	maximum_term_length	maximum_concurrent_ministers	required_loyalty	display_end_turn_notifications_for_post
#ministerial_positions_tables;1;db/ministerial_positions_tables/data__								
faction_leader	0	0	0	0	0	1	0	true
wh2_dlc11_minister_cst_fleet_beast_master	5	1	0	0	9999	1	5	true
wh2_dlc11_minister_cst_fleet_enforcement_admiral	10	1	0	0	9999	1	5	true
wh2_dlc11_minister_cst_fleet_engineer	5	1	0	0	9999	1	5	true
wh2_dlc11_minister_cst_fleet_gunnery_master	5	1	0	0	9999	1	5	true
wh2_dlc11_minister_cst_fleet_sailing_admiral	5	1	0	0	9999	1	5	true
wh2_dlc11_minister_cst_fleet_secretary	8	1	0	0	9999	1	5	true
wh2_dlc11_minister_cst_fleet_treasurer	5	1	0	0	9999	1	5	true
wh2_dlc11_minister_cst_fleet_warrant_admiral	5	1	0	0	9999	1	5	true
wh2_dlc16_minister_wef_drycha_speaker_embittered	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_drycha_speaker_forgotten	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_drycha_speaker_lost	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_drycha_speaker_wild	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_sisters_consort_to_the_queen	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_sisters_darkweaver	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_sisters_highweaver	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_sisters_isha	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_sisters_kurnous	1	1	0	0	9999	1	0	true
wh2_dlc16_minister_wef_sisters_loec	1	1	0	0	9999	1	0	true
wh2_main_minister_emp_averland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_hochland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_middenland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_nordland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_ostermark	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_ostland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_reikland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_solland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_stirland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_sylvania	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_talabecland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_wasteland	1	1	0	0	9999	1	0	false
wh2_main_minister_emp_wissenland	1	1	0	0	9999	1	0	false
wh_dlc05_minister_wef_elf_elder_speaker	3	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_elf_herald_of_the_hunt	1	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_elf_protector_of_the_oak	3	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_elf_starlight_craftsman	1	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_elf_the_tricksters_masque	1	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_elf_warden_of_the_wildwood	1	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_tree_ancient_of_delliandra	1	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_tree_ancient_of_druthandor	1	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_tree_ancient_of_talrennic	1	1	0	0	9999	1	0	true
wh_dlc05_minister_wef_tree_ancient_of_threllock	1	1	0	0	9999	1	0	true
wh_main_minister_chs_1_aspirant	1	1	0	4	8	4	0	true
wh_main_minister_chs_2_marked_one	2	2	0	4	8	3	0	true
wh_main_minister_chs_3_champion	3	3	0	4	8	2	0	true
wh_main_minister_chs_4_chosen	4	4	0	4	8	1	0	true
wh_main_minister_chs_5_exalted	5	5	0	4	8	1	0	true
wh_main_minister_dwf_1_lode_warden	1	1	0	4	8	4	0	true
wh_main_minister_dwf_2_reckoner	2	2	0	4	8	3	0	true
wh_main_minister_dwf_3_ironmaster	3	3	0	4	8	2	0	true
wh_main_minister_dwf_4_brewmaster	4	4	0	4	8	1	0	true
wh_main_minister_dwf_5_clan_lord	5	5	0	4	8	1	0	true
wh_main_minister_grn_1_lout	1	1	0	4	8	4	0	true
wh_main_minister_grn_2_bully	2	2	0	4	8	3	0	true
wh_main_minister_grn_3_thug	3	3	0	4	8	2	0	true
wh_main_minister_grn_4_brute	4	4	0	4	8	1	0	true
wh_main_minister_grn_5_chieftain_king	5	5	0	4	8	1	0	true
wh_main_minister_vmp_1_grave_warden	1	1	0	4	8	4	0	true
wh_main_minister_vmp_2_initiate	2	2	0	4	8	3	0	true
wh_main_minister_vmp_3_acolyte	3	3	0	4	8	2	0	true
wh_main_minister_vmp_4_awakened	4	4	0	4	8	1	0	true
wh_main_minister_vmp_5_red_ascendant	5	5	0	4	8	1	0	true
