context_key	priority	task_generator_group_profile_key
#cai_personalities_tms_task_generator_profiles_overrides_junctions_tables;0;db/cai_personalities_tms_task_generator_profiles_overrides_junctions_tables/data__		
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_bretonnia
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_bretonnia_alberic
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_bretonnia_fayenchantress
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_bretonnia_louen
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_bretonnia_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_bretonnia_repanse
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_cathay
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_cathay_miao_ying
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_cathay_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_cathay_zhao_ming
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_dwarf
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_dwarf_astragoth
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_dwarf_drazhoath
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_dwarf_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_dwarf_zhatan
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_archaon
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_azazel
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_belakor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_festus
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_kholek
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_sigvald
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_valkia
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_chaos_settled_vilitch
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_conclave_of_sorcerers
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_daemonprince
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_daemonprince_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_darkelf
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_darkelf_hellebron
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_darkelf_lokhir
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_darkelf_malekith
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_darkelf_malus
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_darkelf_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_darkelf_morathi
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_darkelf_rakarth
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_default
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_dwarf
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_dwarf_belegar
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_dwarf_grombrindal
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_dwarf_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_dwarf_thorek
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_dwarf_thorgrim
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_dwarf_ungrim
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_empire
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_empire_franz
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_empire_gelt
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_empire_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_empire_volkmar
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_empire_wulfhart
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_greenskin
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_greenskin_azhag
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_greenskin_grimgor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_greenskin_grom
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_greenskin_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_greenskin_skarsnik
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_greenskin_wurrzag
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_highelf
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_highelf_alarielle
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_highelf_alithanar
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_highelf_eltharion
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_highelf_imrik
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_highelf_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_highelf_teclis
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_highelf_tyrion
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_khorne
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_khorne_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_khorne_skarbrand
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_kislev
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_kislev_boris
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_kislev_katarin
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_kislev_kostaltyn
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_kislev_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_lizardmen
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_lizardmen_gorrok
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_lizardmen_kroqgar
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_lizardmen_mazdamundi
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_lizardmen_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_lizardmen_oxyotl
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_lizardmen_tehenhauin
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_lizardmen_tiktaqto
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_norsca
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_norsca_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_norsca_throgg
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_norsca_vassal
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_norsca_wulfrik
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_nurgle
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_nurgle_kugath
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_nurgle_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_ogre
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_ogre_greasus
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_ogre_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_ogre_skrag
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_passive
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_sentinels
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_skaven
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_skaven_ikit
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_skaven_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_skaven_queek
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_skaven_skrolk
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_skaven_snikch
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_skaven_throt
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_skaven_tretch
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_slaanesh
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_slaanesh_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_slaanesh_nkari
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_teb
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tombking
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tombking_arkhan
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tombking_khalida
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tombking_khatep
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tombking_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tombking_settra
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tzeentch
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tzeentch_kairos
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_tzeentch_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampire
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampire_ghorst
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampire_kemmler
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampire_mannfred
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampire_minor
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampire_vlad
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampirecoast
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampirecoast_aranessa
cai_faction_status_context_type_standard_regionless	2	wh3_combi_tms_generator_profiles_vampirecoast_cylostra
