product	requirement_set
#ownership_content_pack_required_products_tables;0;db/ownership_content_pack_required_products_tables/data__	
TW_WH1_BEASTMEN	core_base_beastmen_req
TW_WH2_DLC17_SILENCE	core_base_beastmen_req_silence
TW_WH1_BRETONNIA_FREE	core_base_bretonnia_req
TW_WH2_DLC14_REPANSE_FREE	core_base_bretonnia_req_repanse
TW_WH2_BASE_GAME	core_base_dark_elves_req
TW_WH2_DLC10_QUEEN_CRONE	core_base_dark_elves_req_queen
TW_WH2_DLC14_SHADOW	core_base_dark_elves_req_shadow
TW_WH1_BASE_GAME	core_base_dwarfs_req
TW_WH1_LORDS_AND_UNITS_2	core_base_dwarfs_req_king
TW_WH3_THRONES_OF_DECAY_DWF	core_base_dwarfs_req_tod
TW_WH1_BASE_GAME	core_base_empire_req
TW_WH1_LORDS_AND_UNITS_1	core_base_empire_req_grim
TW_WH2_DLC13_HUNTER	core_base_empire_req_hunter
TW_WH3_THRONES_OF_DECAY_EMP	core_base_empire_req_tod
TW_WH1_BASE_GAME	core_base_greenskins_req
TW_WH1_LORDS_AND_UNITS_2	core_base_greenskins_req_king
TW_WH3_OMENS_OF_DESTRUCTION_GRN	core_base_greenskins_req_omens
TW_WH2_DLC15_WARDEN	core_base_greenskins_req_warden
TW_WH2_BASE_GAME	core_base_high_elves_req
TW_WH2_DLC10_QUEEN_CRONE	core_base_high_elves_req_queen
TW_WH2_DLC15_WARDEN	core_base_high_elves_req_warden
TW_WH2_BASE_GAME	core_base_lizardmen_req
TW_WH2_DLC13_HUNTER	core_base_lizardmen_req_hunter
TW_WH2_DLC12_PROPHET	core_base_lizardmen_req_prophet
TW_WH2_DLC17_SILENCE	core_base_lizardmen_req_silence
TW_WH1_NORSCA	core_base_norsca_req
TW_WH3_OGRE_KINGDOMS	core_base_ogre_kingdoms_req_ogres
TW_WH3_OMENS_OF_DESTRUCTION_OGR	core_base_ogre_kingdoms_req_omens
TW_WH2_BASE_GAME	core_base_skaven_req
TW_WH2_DLC12_PROPHET	core_base_skaven_req_prophet
TW_WH2_DLC14_SHADOW	core_base_skaven_req_shadow
TW_WH2_DLC16_TWILIGHT	core_base_skaven_req_twilight
TW_WH1_BASE_GAME	core_base_vampire_counts_req
TW_WH1_LORDS_AND_UNITS_1	core_base_vampire_counts_req_grim
TW_WH1_WOOD_ELVES	core_base_wood_elves_req
TW_WH2_DLC16_TWILIGHT	core_base_wood_elves_req_twilight
TW_WH1_BASE_GAME	wh1_base_game_req
TW_WH1_BEASTMEN	wh1_beastmen_req
TW_WH1_BRETONNIA_FREE	wh1_bretonnia_free_req
TW_WH1_CHAOS	wh1_chaos_req
TW_WH1_GREY_WIZARD_FREE	wh1_grey_wizard_free_hunter_req
TW_WH2_DLC13_HUNTER	wh1_grey_wizard_free_hunter_req
TW_WH1_GREY_WIZARD_FREE	wh1_grey_wizard_free_lords1_req
TW_WH1_LORDS_AND_UNITS_1	wh1_grey_wizard_free_lords1_req
TW_WH1_BASE_GAME	wh1_grey_wizard_free_req
TW_WH1_GROMBRINDAL	wh1_grombrindal_lords2_req
TW_WH1_LORDS_AND_UNITS_2	wh1_grombrindal_lords2_req
TW_WH1_BASE_GAME	wh1_grombrindal_req
TW_WH1_GROMBRINDAL	wh1_grombrindal_req
TW_WH1_GROMBRINDAL	wh1_grombrindal_tod_dwf_req
