name	global_water_rtpc	is_default	global_plains_rtpc	global_forest_rtpc	global_urban_rtpc	global_lava_rtpc	is_vo_hot	is_vo_cold
#audio_battle_environments_tables;3;db/audio_battle_environments_tables/data__								
beastmen	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
bretonnia	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
bretonnia_cold	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
cathay	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
cave	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
chaos	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dark_elves_beach	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dark_elves_cold	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	true
dark_elves_desert	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		true	false
dark_elves_hills	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dark_elves_marsh	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dark_elves_qb_altar_of_darkness	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dark_elves_volcanic	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dark_elves_volcanic_forest	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dark_elves_volcanic_lava_river	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc10_dark_elves_qb_shrine_of_khaine	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc10_dark_elves_qb_the_moonbow	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc10_high_elves_qb_shadow_realm	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc10_high_elves_qb_star_of_avelorn	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc11_coast_desert_island	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc11_coast_final_battle	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc11_coast_galleons_graveyard	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc11_coast_rocky_island	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc11_coast_snowy_island	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc12_lizardmen_qb_lord_kroak_mountain	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc12_lizardmen_qb_mask_of_heavens	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc12_lizardmen_qb_plaque_of_sotek	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
dlc12_prophet_grassy_island	Generic_Water_Percentage	false		Generic_Forest_Percentage	Generic_Urban_Percentage		false	false
