region	region_group	order
#regions_to_region_groups_junctions_tables;0;db/regions_to_region_groups_junctions_tables/data__		
wh3_main_chaos_region_bloodwind_keep	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_bridge_of_heaven	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_city_of_the_shugengan	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_dragon_gate	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_dragons_crossroad	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_fortress_of_eyes	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_foundry_of_bones	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_iron_storm	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_jade_wind_mountain	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_kunlan	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_mines_of_nan_yang	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_ming_zhu	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_nan_gau	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_nan_li	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_nonchang	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_po_mei	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_qiang	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_red_fortress	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_shang_wu	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_shang_yang	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_shi_long	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_shrine_of_the_alchemist	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_snake_gate	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_tai_tzu	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_temple_of_elemental_winds	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_terracotta_graveyard	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_the_volary	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_tower_of_ashshair	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_turtle_gate	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_village_of_the_moon	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_village_of_the_tigermen	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_wei_jin	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_weng_chang	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_xing_po	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_zhanshi	cai_chaos_region_hint_area_cathay	0
wh3_main_chaos_region_black_rock	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_blood_haven	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_blood_mountain	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_bridge_of_brass	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_chasm_of_torment	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_chimera_plateau	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_city_of_splinters	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_cliff_of_beasts	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_dharko_wharf	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_dragons_death	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_floating_mountain	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_fort_dolganyeir	cai_chaos_region_hint_area_chaos_wastes	0
wh3_main_chaos_region_fortress_of_the_damned	cai_chaos_region_hint_area_chaos_wastes	0
