loading_quote	faction_set
#loading_screen_quotes_to_faction_sets_tables;0;db/loading_screen_quotes_to_faction_sets_tables/data__	
wh2_dlc10_hp_campaign_blood_voyage	wh2_main_def_har_ganeth
wh2_dlc10_hp_campaign_death_night	wh2_main_def_har_ganeth
wh2_dlc10_hp_campaign_defender_of_ulthuan	wh2_main_hef_avelorn
wh2_dlc12_hp_campaign_skaven_forbidden_workshop	wh2_main_skv_clan_skryre
wh2_dlc13_hp_campaign_empire_emperors_mandate	wh2_dlc13_emp_the_huntmarshals_expedition
wh2_dlc13_hp_campaign_empire_hostility	wh2_dlc13_emp_the_huntmarshals_expedition
wh2_dlc13_hp_campaign_empire_imperial_authority	wh_main_emp_empire
wh2_dlc13_hp_campaign_empire_summon_elector_counts	wh_main_emp_empire
wh2_dlc13_hp_campaign_empire_wulfharts_hunters	wh2_dlc13_emp_the_huntmarshals_expedition
wh2_dlc14_hp_campaign_bretonnian_desert_thirst	wh2_dlc14_brt_chevaliers_de_lyonesse
wh2_dlc14_hp_campaign_shadowy_dealings	wh2_main_skv_clan_eshin
wh2_dlc15_hp_campaign_greenskins_groms_cauldron	wh2_dlc15_grn_broken_axe
wh2_dlc15_hp_campaign_high_elves_athel_tamarha	wh2_main_hef_yvresse
wh2_dlc15_hp_campaign_high_elves_dragon_taming	wh2_dlc15_hef_imrik
wh2_dlc16_hp_campaign_skaven_flesh_lab	wh2_main_skv_clan_moulder
wh2_dlc16_hp_campaign_wood_elves_elf_glamouring	wh2_dlc16_wef_drycha
wh2_dlc16_hp_campaign_wood_elves_forest_spirits_animals	wh2_dlc16_wef_drycha
wh2_dlc16_hp_campaign_wood_elves_forge_of_daith	wh2_dlc16_wef_sisters_of_twilight
wh2_dlc17_hp_campaign_rampage	wh2_dlc17_bst_taurox
wh2_dlc17_hp_campaign_thorek_artefacts	wh2_dlc17_dwf_thorek_ironbrow
wh2_main_hp_campaign_settlement_climates	all_except_climate_ignorers
wh3_dlc24_hp_campaign_empowering_the_compass	wh3_dlc24_cth_the_celestial_court
wh3_dlc24_hp_campaign_hexes	wh3_dlc24_ksl_daughters_of_the_forest
wh3_dlc24_hp_campaign_matters_of_state	wh3_dlc24_cth_the_celestial_court
wh3_dlc24_hp_campaign_schemes	wh3_dlc24_tze_the_deceivers
wh3_dlc24_hp_campaign_trickster_cults	wh3_dlc24_tze_the_deceivers
wh3_dlc24_hp_campaign_witchs_hut	wh3_dlc24_ksl_daughters_of_the_forest
wh3_dlc25_hp_campaign_chieftains	faction_set_tamurkhan
wh3_dlc25_hp_campaign_colleges_of_magic	wh2_dlc13_emp_golden_order
wh3_dlc25_hp_campaign_electoral_machinations	wh_main_emp_empire
wh3_dlc25_hp_campaign_gardens_of_morr	wh_main_emp_wissenland
wh3_dlc25_hp_campaign_imperial_gunnery_school	wh_main_emp_wissenland
wh3_dlc25_hp_campaign_malakais_adventures	wh3_dlc25_dwf_malakai
wh3_dlc25_hp_campaign_tally	wh3_dlc25_nur_epidemius
wh3_dlc26_hp_campaign_cloak_of_skulls	wh3_dlc26_kho_skulltaker
wh3_dlc26_hp_campaign_da_plan	wh3_dlc26_grn_gorbad_ironclaw
wh3_dlc26_hp_campaign_mercenary_contracts	wh3_dlc26_ogr_golgfag
wh3_dlc26_hp_campaign_path_of_the_butcher	wh3_main_ogr_disciples_of_the_maw
wh3_dlc26_hp_campaign_tyrants_demands	wh3_main_ogr_goldtooth
wh3_dlc26_hp_campaign_wrath_of_khorne	wh3_dlc26_kho_arbaal
wh3_main_hp_campaign_atamans	kislev_excluding_mother_ostankya
wh3_main_hp_campaign_devotion	kislev_excluding_mother_ostankya
wh3_main_hp_campaign_great_bastion	kislev_excluding_mother_ostankya
wh3_main_hp_campaign_motherland	kislev_excluding_mother_ostankya
