variable_key	variable_group_key	value
#cai_task_management_system_task_generator_variable_group_junctions_tables;2;db/cai_task_management_system_task_generator_variable_group_junctions_tables/data__		
TASK_GENERATION_TASK_BEHAVIOUR_FOR_REGION_TARGET_WITH_SETTLEMENT_AGENTS_SHOULD_QUERY_SETTLEMENT_ACTION_AVAILABILITY	agent_deploy_to_region	false
TASK_GENERATION_POINT_OF_INTEREST_INTERACTION_TYPE	gds_poi_interaction_rift_close	WH3_RIFT_NETWORK_CLOSE
TASK_GENERATION_POINT_OF_INTEREST_INTERACTION_TYPE	gds_poi_interaction_rift_realm	WH3_RIFT_NETWORK_TELEPORT_CHAOS_REALM
TASK_GENERATION_POINT_OF_INTEREST_INTERACTION_TYPE	gds_poi_interaction_rift_teleport	WH3_RIFT_NETWORK_TELEPORT_GENERAL
TASK_GENERATION_TIME_HORIZON_IN_ROUNDS_TO_CONSIDER	time_horizon_4	4
TASK_GENERATION_TIME_HORIZON_IN_ROUNDS_TO_CONSIDER	time_horizon_6	6
ACT_IF_NO_ACTVITY_WITHIN_ROUNDS	timed_priority_boost_instant	0
PRIORITY_SCALING_MAX_PRIORITY_AFTER_ROUNDS_ACTIVATION	timed_priority_boost_instant	0
ACT_IF_NO_ACTVITY_WITHIN_ROUNDS	timed_priority_boost_quick	3
PRIORITY_SCALING_MAX_PRIORITY_AFTER_ROUNDS_ACTIVATION	timed_priority_boost_quick	5
