bonus_value_id	effect	subtype
#effect_bonus_value_agent_subtype_junctions_tables;0;db/effect_bonus_value_agent_subtype_junctions_tables/data__		
availability	wh2_dlc09_effect_agent_enable_recruitment_champion_tmb_hidden	wh2_dlc09_tmb_tomb_prince
availability	wh2_dlc09_effect_agent_enable_recruitment_engineer_tmb_hidden	wh2_dlc09_tmb_necrotect
availability	wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb_hidden	wh2_dlc09_tmb_liche_priest_death
availability	wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb_hidden	wh2_dlc09_tmb_liche_priest_light
availability	wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb_hidden	wh2_dlc09_tmb_liche_priest_nehekhara
availability	wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb	wh2_dlc09_tmb_liche_priest_death
availability	wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb	wh2_dlc09_tmb_liche_priest_light
availability	wh2_dlc09_effect_agent_enable_recruitment_wizard_tmb	wh2_dlc09_tmb_liche_priest_nehekhara
availability	wh2_dlc09_effect_secret_agent_enable_recruitment_wizard_tmb_book	wh2_dlc09_tmb_liche_priest_shadow
availability	wh2_dlc10_effect_agent_enable_recruitment_hef_handmaiden	wh2_dlc10_hef_handmaiden
availability	wh2_dlc11_effect_agent_enable_recruitment_champion_cst	wh2_dlc11_cst_mourngul
availability	wh2_dlc11_effect_agent_enable_recruitment_dignitary_cst	wh2_dlc11_cst_fleet_captain_death
availability	wh2_dlc11_effect_agent_enable_recruitment_dignitary_cst	wh2_dlc11_cst_fleet_captain_deep
availability	wh2_dlc11_effect_agent_enable_recruitment_dignitary_cst	wh2_dlc11_cst_fleet_captain_vampires
availability	wh2_dlc11_effect_agent_enable_recruitment_engineer_cst	wh2_dlc11_cst_gunnery_wight
loyalty_initial_mod	wh2_dlc12_effect_skv_recruit_rank_master_engineer	wh2_dlc12_skv_warlock_master
recruitment_level	wh2_dlc13_faction_trait_nakai_recruit_rank	wh2_dlc13_lzd_kroxigor_ancient
recruitment_level	wh2_dlc13_faction_trait_nakai_recruit_rank	wh2_dlc13_lzd_kroxigor_ancient_horde
recruitment_level	wh2_dlc13_faction_trait_wulfhart_recruit	wh2_dlc13_emp_cha_huntsmarshal
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_beasts
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_beasts_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_death
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_death_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_fire
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_fire_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_heavens
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_heavens_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_high
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_high_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_life
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_life_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_metal
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_metal_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_shadows
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_dlc13_lzd_slann_mage_priest_shadows_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_main_lzd_slann_mage_priest
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann_hidden	wh2_main_lzd_slann_mage_priest_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_beasts
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_beasts_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_death
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_death_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_fire
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_fire_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_heavens
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_heavens_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_high
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_high_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_life
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_life_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_metal
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_metal_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_shadows
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_dlc13_lzd_slann_mage_priest_shadows_horde
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_main_lzd_slann_mage_priest
recruitment_level	wh2_dlc13_lzd_recruit_rank_slann	wh2_main_lzd_slann_mage_priest_horde
availability	wh2_dlc14_effect_agent_enable_recruitment_def_master	wh2_dlc14_def_master
availability	wh2_dlc15_effect_agent_enable_recruitment_runesmith_greenskins_river_troll_hag	wh2_dlc15_grn_river_troll_hag
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages	wh2_dlc15_hef_archmage_beasts
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages	wh2_dlc15_hef_archmage_death
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages	wh2_dlc15_hef_archmage_fire
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages	wh2_dlc15_hef_archmage_heavens
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages	wh2_dlc15_hef_archmage_high
recruitment_level	wh2_dlc15_effect_recruitment_xp_hef_loremaster_mages_archmages	wh2_dlc15_hef_archmage_life
