key	default_category_and_group_value
#cai_construction_system_templates_tables;0;db/cai_construction_system_templates_tables/data__	
cai_construction_system_template_anarchistic_balanced	0.0000
cai_construction_system_template_anarchistic_military	0.0000
cai_construction_system_template_basic_balanced	0.0000
cai_construction_system_template_basic_economic	0.0000
cai_construction_system_template_basic_military	0.0000
cai_construction_system_template_coc_balanced	0.0000
cai_construction_system_template_economist_balanced	0.0000
cai_construction_system_template_economist_economic	0.0000
cai_construction_system_template_economist_military	0.0000
cai_construction_system_template_militaristic_balanced	0.0000
cai_construction_system_template_militaristic_economic	0.0000
cai_construction_system_template_militaristic_military	0.0000
