template_key	unit_group_key	ratio
#cdir_military_generator_template_ratios_tables;0;db/cdir_military_generator_template_ratios_tables/data__		
WH_Azazel_Land_2	wh3_default_land_aura	5
WH_Azazel_Land_2	wh3_default_land_melee_cavalry	10
WH_Azazel_Land_2	wh3_default_land_melee_cavalry_main	15
WH_Azazel_Land_2	wh3_default_land_melee_infantry	10
WH_Azazel_Land_2	wh3_default_land_melee_infantry_main_flanking	5
WH_Azazel_Land_2	wh3_default_land_melee_infantry_main_frontline	10
WH_Azazel_Land_2	wh3_default_land_melee_infantry_main_frontline_swords_high_quality	15
WH_Azazel_Land_2	wh3_default_land_monsters_flanking_strong	5
WH_Azazel_Land_2	wh3_default_land_monsters_heavy	15
WH_Azazel_Land_2	wh3_default_land_ranged_cavalry	10
WH_Azazel_Land_3	wh3_default_land_aura	5
WH_Azazel_Land_3	wh3_default_land_melee_cavalry	5
WH_Azazel_Land_3	wh3_default_land_melee_cavalry_main	15
WH_Azazel_Land_3	wh3_default_land_melee_infantry	10
WH_Azazel_Land_3	wh3_default_land_melee_infantry_main_flanking	5
WH_Azazel_Land_3	wh3_default_land_melee_infantry_main_frontline	10
WH_Azazel_Land_3	wh3_default_land_melee_infantry_main_frontline_swords_high_quality	10
WH_Azazel_Land_3	wh3_default_land_monsters_flanking_strong	10
WH_Azazel_Land_3	wh3_default_land_monsters_heavy	15
WH_Azazel_Land_3	wh3_default_land_ranged_cavalry	15
WH_Azazel_Land_4	wh3_default_land_aura	5
WH_Azazel_Land_4	wh3_default_land_melee_cavalry	5
WH_Azazel_Land_4	wh3_default_land_melee_cavalry_main	15
WH_Azazel_Land_4	wh3_default_land_melee_cavalry_main_chariots	5
WH_Azazel_Land_4	wh3_default_land_melee_infantry	15
WH_Azazel_Land_4	wh3_default_land_melee_infantry_main_flanking	5
WH_Azazel_Land_4	wh3_default_land_melee_infantry_main_frontline	10
WH_Azazel_Land_4	wh3_default_land_melee_infantry_main_frontline_swords_high_quality	10
WH_Azazel_Land_4	wh3_default_land_monsters	10
WH_Azazel_Land_4	wh3_default_land_monsters_flanking_strong	10
WH_Azazel_Land_4	wh3_default_land_monsters_heavy	15
WH_Azazel_Land	wh3_default_land_aura	5
WH_Azazel_Land	wh3_default_land_melee_cavalry	15
WH_Azazel_Land	wh3_default_land_melee_cavalry_main	15
WH_Azazel_Land	wh3_default_land_melee_infantry	10
WH_Azazel_Land	wh3_default_land_melee_infantry_main_flanking	5
WH_Azazel_Land	wh3_default_land_melee_infantry_main_frontline	25
WH_Azazel_Land	wh3_default_land_monsters_flanking_strong	10
WH_Azazel_Land	wh3_default_land_monsters_heavy	10
WH_Azazel_Land	wh3_default_land_ranged_cavalry	10
WH_Beastmen_land_2	wh3_default_land_artillery_long_range	5
WH_Beastmen_land_2	wh3_default_land_characters	10
WH_Beastmen_land_2	wh3_default_land_melee_cavalry_main_chariots	10
WH_Beastmen_land_2	wh3_default_land_melee_cavalry_main_mounted	10
WH_Beastmen_land_2	wh3_default_land_melee_infantry_main_frontline	15
WH_Beastmen_land_2	wh3_default_land_melee_infantry_main_frontline_swords_high_quality	30
WH_Beastmen_land_2	wh3_default_land_monsters	5
WH_Beastmen_land_2	wh3_default_land_monsters_flanking_strong	10
WH_Beastmen_land_2	wh3_default_land_monsters_heavy	10
WH_Beastmen_land_2	wh3_default_land_ranged_infantry_main	5
WH_Beastmen_land	wh3_default_land_artillery_long_range	10
WH_Beastmen_land	wh3_default_land_characters	10
WH_Beastmen_land	wh3_default_land_melee_cavalry_main_chariots	10
WH_Beastmen_land	wh3_default_land_melee_cavalry_main_mounted	10
WH_Beastmen_land	wh3_default_land_melee_infantry_main_frontline	15
WH_Beastmen_land	wh3_default_land_melee_infantry_main_frontline_swords_high_quality	30
WH_Beastmen_land	wh3_default_land_monsters	5
WH_Beastmen_land	wh3_default_land_monsters_flanking_strong	10
WH_Beastmen_land	wh3_default_land_monsters_heavy	5
WH_Beastmen_land	wh3_default_land_ranged_infantry_main	5
WH_Bretonnia_land_2	wh3_default_land_artillery_long_range	5
WH_Bretonnia_land_2	wh3_default_land_characters	10
WH_Bretonnia_land_2	wh3_default_land_flying_heavy	5
WH_Bretonnia_land_2	wh3_default_land_melee_cavalry_main_mounted	10
WH_Bretonnia_land_2	wh3_default_land_melee_cavalry_main_mounted_heavy	20
WH_Bretonnia_land_2	wh3_default_land_melee_cavalry_main_mounted_medium	20
WH_Bretonnia_land_2	wh3_default_land_melee_infantry_main_frontline	10
WH_Bretonnia_land_2	wh3_default_land_melee_infantry_main_frontline_swords_high_quality	10
