main_unit	ownership_content_pack
#main_unit_ownership_content_pack_junctions_tables;0;db/main_unit_ownership_content_pack_junctions_tables/data__	
wh2_dlc09_skv_cha_tretch_craventail	wh2_tretch_free
wh2_dlc09_tmb_art_casket_of_souls_0	wh2_tomb_kings
wh2_dlc09_tmb_art_screaming_skull_catapult_0	wh2_tomb_kings
wh2_dlc09_tmb_cav_hexwraiths	wh2_tomb_kings
wh2_dlc09_tmb_cav_necropolis_knights_0	wh2_tomb_kings
wh2_dlc09_tmb_cav_necropolis_knights_1	wh2_tomb_kings
wh2_dlc09_tmb_cav_necropolis_knights_ror	wh2_tomb_kings
wh2_dlc09_tmb_cav_nehekhara_horsemen_0	wh2_tomb_kings
wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	wh2_tomb_kings
wh2_dlc09_tmb_cav_skeleton_horsemen_0	wh2_tomb_kings
wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_arkhan_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_arkhan_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_arkhan_2	wh2_tomb_kings
wh2_dlc09_tmb_cha_khalida_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_khalida_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_khalida_2	wh2_tomb_kings
wh2_dlc09_tmb_cha_khatep_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_khatep_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_khatep_2	wh2_tomb_kings
wh2_dlc09_tmb_cha_khatep_3	wh2_tomb_kings
wh2_dlc09_tmb_cha_liche_priest_death_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_liche_priest_death_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_liche_priest_light_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_liche_priest_light_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_liche_priest_shadow_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_liche_priest_shadow_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_necrotect_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_necrotect_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_settra_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_settra_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_settra_2	wh2_tomb_kings
wh2_dlc09_tmb_cha_settra_3	wh2_tomb_kings
wh2_dlc09_tmb_cha_tomb_king_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_tomb_king_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_tomb_king_2	wh2_tomb_kings
wh2_dlc09_tmb_cha_tomb_king_3	wh2_tomb_kings
wh2_dlc09_tmb_cha_tomb_prince_0	wh2_tomb_kings
wh2_dlc09_tmb_cha_tomb_prince_1	wh2_tomb_kings
wh2_dlc09_tmb_cha_tomb_prince_2	wh2_tomb_kings
wh2_dlc09_tmb_inf_crypt_ghouls	wh2_tomb_kings
wh2_dlc09_tmb_inf_nehekhara_warriors_0	wh2_tomb_kings
wh2_dlc09_tmb_inf_nehekhara_warriors_ror	wh2_tomb_kings
wh2_dlc09_tmb_inf_skeleton_archers_0	wh2_tomb_kings
wh2_dlc09_tmb_inf_skeleton_archers_ror	wh2_tomb_kings
wh2_dlc09_tmb_inf_skeleton_spearmen_0	wh2_tomb_kings
wh2_dlc09_tmb_inf_skeleton_spearmen_ror	wh2_tomb_kings
wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned	wh2_tomb_kings
wh2_dlc09_tmb_inf_skeleton_warriors_0	wh2_tomb_kings
wh2_dlc09_tmb_inf_tomb_guard_0	wh2_tomb_kings
wh2_dlc09_tmb_inf_tomb_guard_1	wh2_tomb_kings
wh2_dlc09_tmb_inf_tomb_guard_ror	wh2_tomb_kings
wh2_dlc09_tmb_mon_carrion_0	wh2_tomb_kings
wh2_dlc09_tmb_mon_carrion_ror	wh2_tomb_kings
wh2_dlc09_tmb_mon_dire_wolves	wh2_tomb_kings
wh2_dlc09_tmb_mon_fell_bats	wh2_tomb_kings
wh2_dlc09_tmb_mon_heirotitan_0	wh2_tomb_kings
wh2_dlc09_tmb_mon_necrosphinx_0	wh2_tomb_kings
wh2_dlc09_tmb_mon_necrosphinx_ror	wh2_tomb_kings
wh2_dlc09_tmb_mon_sepulchral_stalkers_0	wh2_tomb_kings
wh2_dlc09_tmb_mon_sepulchral_stalkers_ror	wh2_tomb_kings
wh2_dlc09_tmb_mon_tomb_scorpion_0	wh2_tomb_kings
wh2_dlc09_tmb_mon_ushabti_0_summoned	wh2_tomb_kings
wh2_dlc09_tmb_mon_ushabti_0	wh2_tomb_kings
wh2_dlc09_tmb_mon_ushabti_1	wh2_tomb_kings
wh2_dlc09_tmb_mon_ushabti_ror	wh2_tomb_kings
wh2_dlc09_tmb_veh_khemrian_warsphinx_0	wh2_tomb_kings
wh2_dlc09_tmb_veh_skeleton_archer_chariot_0	wh2_tomb_kings
wh2_dlc09_tmb_veh_skeleton_chariot_0	wh2_tomb_kings
wh2_dlc10_def_cav_doomfire_warlocks_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cav_raven_heralds_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cav_slaanesh_harvesters_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_crone_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_crone_1	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_crone_4	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_crone_5	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_sorceress_beasts_0	core_base_dark_elves
wh2_dlc10_def_cha_sorceress_beasts_1	core_base_dark_elves
wh2_dlc10_def_cha_sorceress_beasts_2	core_base_dark_elves
wh2_dlc10_def_cha_sorceress_beasts_3	core_base_dark_elves
wh2_dlc10_def_cha_sorceress_death_0	core_base_dark_elves
wh2_dlc10_def_cha_sorceress_death_1	core_base_dark_elves
wh2_dlc10_def_cha_sorceress_death_2	core_base_dark_elves
wh2_dlc10_def_cha_sorceress_death_3	core_base_dark_elves
wh2_dlc10_def_cha_supreme_sorceress_beasts_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_beasts_1	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_beasts_2	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_beasts_3	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_beasts_4	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_beasts_5	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_dark_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_dark_1	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_dark_2	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_dark_3	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_dark_4	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_dark_5	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_death_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_death_1	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_death_2	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_death_3	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_death_4	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_death_5	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_fire_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_fire_1	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_fire_2	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_fire_3	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_fire_4	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_fire_5	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_shadow_0	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_shadow_1	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_shadow_2	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_shadow_3	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_shadow_4	wh2_dlc10_queen_crone
wh2_dlc10_def_cha_supreme_sorceress_shadow_5	wh2_dlc10_queen_crone
wh2_dlc10_def_inf_blades_of_the_blood_queen_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_def_inf_sisters_of_slaughter	wh2_dlc10_queen_crone
wh2_dlc10_def_inf_sisters_of_the_singing_doom_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_def_inf_the_bolt_fiends_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_def_inf_the_hellebronai_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_def_mon_chill_of_sontar_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_def_mon_feral_manticore_0	core_base_dark_elves
wh2_dlc10_def_mon_kharibdyss_0	wh2_dlc10_queen_crone
wh2_dlc10_def_mon_war_hydra_boss	wh1_norsca
wh2_dlc10_dwf_cha_thane_ghost_summoned_0	wh2_dlc10_queen_crone
wh2_dlc10_dwf_inf_giant_slayers	core_base_dwarfs
wh2_dlc10_hef_cav_the_fireborn_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_cha_alarielle_the_radiant_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_cha_alarielle_the_radiant_1	wh2_dlc10_queen_crone
wh2_dlc10_hef_cha_alarielle_the_radiant_2	wh2_dlc10_queen_crone
wh2_dlc10_hef_cha_alarielle_the_radiant_3	wh2_dlc10_queen_crone
wh2_dlc10_hef_cha_alith_anar_0	wh2_dlc10_alith_anar_free
wh2_dlc10_hef_cha_alith_anar_summoned_0	wh2_dlc10_alith_anar_free
wh2_dlc10_hef_cha_alith_anar_summoned_1	wh2_dlc10_alith_anar_free
wh2_dlc10_hef_cha_handmaiden_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_cha_handmaiden_1	wh2_dlc10_queen_crone
wh2_dlc10_hef_cha_handmaiden_2	wh2_dlc10_queen_crone
wh2_dlc10_hef_cha_mage_heavens_0	core_base_high_elves
wh2_dlc10_hef_cha_mage_heavens_1	core_base_high_elves
wh2_dlc10_hef_cha_mage_heavens_2	core_base_high_elves
wh2_dlc10_hef_cha_mage_shadows_0	core_base_high_elves
wh2_dlc10_hef_cha_mage_shadows_1	core_base_high_elves
wh2_dlc10_hef_cha_mage_shadows_2	core_base_high_elves
wh2_dlc10_hef_cha_shadow_walker	wh2_dlc10_alith_anar_free
wh2_dlc10_hef_inf_dryads_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_inf_everqueens_court_guards_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_inf_keepers_of_the_flame_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_inf_shadow_walkers_0	wh2_dlc10_alith_anar_free
wh2_dlc10_hef_inf_shadow_warriors_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_inf_sisters_of_avelorn_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_inf_the_grey_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_inf_the_scions_of_mathlann_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_inf_the_silverpelts_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_inf_the_storm_riders_ror_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_mon_treekin_0	wh2_dlc10_queen_crone
wh2_dlc10_hef_mon_treeman_0	wh2_dlc10_queen_crone
wh2_dlc10_lzd_mon_carnosaur_boss	wh1_norsca
wh2_dlc10_nor_mon_phoenix_flamespyre_boss	core_base_norsca
wh2_dlc10_skv_mon_hell_pit_abomination_boss	wh1_norsca
wh2_dlc11_cst_art_carronade	wh2_dlc11_vampire_coast
wh2_dlc11_cst_art_mortar	wh2_dlc11_vampire_coast
wh2_dlc11_cst_art_queen_bess	wh2_dlc11_vampire_coast
wh2_dlc11_cst_cav_deck_droppers_0	wh2_dlc11_vampire_coast
wh2_dlc11_cst_cav_deck_droppers_1	wh2_dlc11_vampire_coast
wh2_dlc11_cst_cav_deck_droppers_2	wh2_dlc11_vampire_coast
wh2_dlc11_cst_cav_deck_droppers_ror_0	wh2_dlc11_vampire_coast
wh2_dlc11_cst_cav_knights_errant_0	wh2_dlc11_vampire_coast
wh2_dlc11_cst_cav_knights_errant_1	wh2_dlc11_vampire_coast
