effect	bonus_value_id	resource
#effect_bonus_value_resource_junction_tables;0;db/effect_bonus_value_resource_junction_tables/data__		
wh2_main_effect_region_resource_gold_idols_production	production	res_gold_idols
wh3_dlc29_effect_region_disable_resource_dyes	disable	res_dyes
wh3_dlc29_effect_region_disable_resource_elven_trinkets	disable	res_trinkets
wh3_dlc29_effect_region_disable_resource_exotic_animals	disable	res_animals
wh3_dlc29_effect_region_disable_resource_furs	disable	res_rom_furs
wh3_dlc29_effect_region_disable_resource_gems	disable	res_gems
wh3_dlc29_effect_region_disable_resource_gold	disable	res_gold
wh3_dlc29_effect_region_disable_resource_iron	disable	res_rom_iron
wh3_dlc29_effect_region_disable_resource_marble	disable	res_rom_marble
wh3_dlc29_effect_region_disable_resource_medical_plants	disable	res_medicine
wh3_dlc29_effect_region_disable_resource_obsidian	disable	res_obsidian
wh3_dlc29_effect_region_disable_resource_pastures	disable	res_rom_oil
wh3_dlc29_effect_region_disable_resource_pottery	disable	res_rom_textiles
wh3_dlc29_effect_region_disable_resource_salt	disable	res_rom_lead
wh3_dlc29_effect_region_disable_resource_spices	disable	res_spices
wh3_dlc29_effect_region_disable_resource_timber	disable	res_rom_timber
wh3_dlc29_effect_region_disable_resource_wine	disable	res_rom_wine
wh3_main_effect_region_resource_ivory_production	production	res_ivory
wh_main_effect_region_resource_animals_production	production	res_animals
wh_main_effect_region_resource_beer_production	production	res_rom_glass
wh_main_effect_region_resource_dyes_production	production	res_dyes
wh_main_effect_region_resource_furs_production	production	res_rom_furs
wh_main_effect_region_resource_gem_production	production	res_gems
wh_main_effect_region_resource_iron_production	production	res_rom_iron
wh_main_effect_region_resource_marble_production	production	res_rom_marble
wh_main_effect_region_resource_medicine_production	production	res_medicine
wh_main_effect_region_resource_obsidian_production	production	res_obsidian
wh_main_effect_region_resource_pottery_production	production	res_rom_textiles
wh_main_effect_region_resource_salt_production	production	res_rom_lead
wh_main_effect_region_resource_spices_production	production	res_spices
wh_main_effect_region_resource_timber_production	production	res_rom_timber
wh_main_effect_region_resource_trinkets_production	production	res_trinkets
wh_main_effect_region_resource_wine_production	production	res_rom_wine
