campaign_type	faction	campaign_name
#frontend_faction_campaign_type_junctions_tables;1;db/frontend_faction_campaign_type_junctions_tables/data__		
MP_NORMAL_NO_ROC	wh3_dlc20_chs_azazel	wh3_main_chaos
MP_NORMAL	wh3_dlc20_chs_azazel	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc20_chs_azazel	wh3_main_chaos
SP_NORMAL	wh3_dlc20_chs_azazel	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc20_chs_festus	wh3_main_chaos
MP_NORMAL	wh3_dlc20_chs_festus	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc20_chs_festus	wh3_main_chaos
SP_NORMAL	wh3_dlc20_chs_festus	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc20_chs_valkia	wh3_main_chaos
MP_NORMAL	wh3_dlc20_chs_valkia	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc20_chs_valkia	wh3_main_chaos
SP_NORMAL	wh3_dlc20_chs_valkia	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc20_chs_vilitch	wh3_main_chaos
MP_NORMAL	wh3_dlc20_chs_vilitch	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc20_chs_vilitch	wh3_main_chaos
SP_NORMAL	wh3_dlc20_chs_vilitch	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc23_chd_astragoth	wh3_main_chaos
MP_NORMAL	wh3_dlc23_chd_astragoth	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc23_chd_astragoth	wh3_main_chaos
SP_NORMAL	wh3_dlc23_chd_astragoth	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc23_chd_legion_of_azgorh	wh3_main_chaos
MP_NORMAL	wh3_dlc23_chd_legion_of_azgorh	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc23_chd_legion_of_azgorh	wh3_main_chaos
SP_NORMAL	wh3_dlc23_chd_legion_of_azgorh	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc23_chd_zhatan	wh3_main_chaos
MP_NORMAL	wh3_dlc23_chd_zhatan	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc23_chd_zhatan	wh3_main_chaos
SP_NORMAL	wh3_dlc23_chd_zhatan	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc24_cth_the_celestial_court	wh3_main_chaos
MP_NORMAL	wh3_dlc24_cth_the_celestial_court	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc24_cth_the_celestial_court	wh3_main_chaos
SP_NORMAL	wh3_dlc24_cth_the_celestial_court	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc24_ksl_daughters_of_the_forest	wh3_main_chaos
MP_NORMAL	wh3_dlc24_ksl_daughters_of_the_forest	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc24_ksl_daughters_of_the_forest	wh3_main_chaos
SP_NORMAL	wh3_dlc24_ksl_daughters_of_the_forest	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc24_tze_the_deceivers	wh3_main_chaos
MP_NORMAL	wh3_dlc24_tze_the_deceivers	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc24_tze_the_deceivers	wh3_main_chaos
SP_NORMAL	wh3_dlc24_tze_the_deceivers	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc25_dwf_malakai	wh3_main_chaos
MP_NORMAL	wh3_dlc25_dwf_malakai	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc25_dwf_malakai	wh3_main_chaos
SP_NORMAL	wh3_dlc25_dwf_malakai	wh3_main_combi
MP_NORMAL	wh3_dlc25_nur_epidemius	wh3_main_combi
SP_NORMAL	wh3_dlc25_nur_epidemius	wh3_main_combi
MP_NORMAL_NO_ROC	wh3_dlc25_nur_tamurkhan	wh3_main_chaos
MP_NORMAL	wh3_dlc25_nur_tamurkhan	wh3_main_combi
SP_NORMAL_NO_ROC	wh3_dlc25_nur_tamurkhan	wh3_main_chaos
SP_NORMAL	wh3_dlc25_nur_tamurkhan	wh3_main_combi
MP_NORMAL_NO_ROC	wh_main_emp_wissenland	wh3_main_chaos
MP_NORMAL	wh_main_emp_wissenland	wh3_main_combi
SP_NORMAL_NO_ROC	wh_main_emp_wissenland	wh3_main_chaos
SP_NORMAL	wh_main_emp_wissenland	wh3_main_combi
