id	subculture
#culture_packs_tables;0;db/culture_packs_tables/data__	
wh2_dlc09_tmb_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings
wh2_dlc11_cst_vampire_coast	wh2_dlc11_sc_cst_vampire_coast
wh2_main_def_dark_elves	wh2_main_sc_def_dark_elves
wh2_main_hef_high_elves	wh2_main_sc_hef_high_elves
wh2_main_lzd_lizardmen	wh2_main_sc_lzd_lizardmen
wh2_main_rogue_black_spider_tribe	wh2_main_rogue
wh2_main_rogue_vashnaar	wh2_main_rogue_chaos
wh2_main_skv_skaven	wh2_main_sc_skv_skaven
wh3_main_cth_cathay	wh3_main_sc_cth_cathay
wh3_main_kho_khorne	wh3_main_sc_kho_khorne
wh3_main_ksl_kislev	wh3_main_sc_ksl_kislev
wh3_main_nur_nurgle	wh3_main_sc_nur_nurgle
wh3_main_ogr_ogre_kingdoms	wh3_main_sc_ogr_ogre_kingdoms
wh3_main_pro_ksl_kislev	wh3_main_pro_sc_ksl_kislev
wh3_main_sla_slaanesh	wh3_main_sc_sla_slaanesh
wh3_main_tze_tzeentch	wh3_main_sc_tze_tzeentch
wh_dlc03_bst_beastmen	wh_dlc03_sc_bst_beastmen
wh_dlc05_wef_wood_elves	wh_dlc05_sc_wef_wood_elves
wh_main_brt_bretonnia	wh_main_sc_brt_bretonnia
wh_main_chs_chaos	wh_dlc08_sc_nor_norsca
wh_main_chs_chaos	wh_main_sc_chs_chaos
wh_main_dwf_dwarfs	wh_main_sc_dwf_dwarfs
wh_main_emp_empire	wh_main_sc_emp_empire
wh_main_emp_empire	wh_main_sc_teb_teb
wh_main_grn_greenskins	wh_main_sc_grn_greenskins
wh_main_grn_greenskins	wh_main_sc_grn_savage_orcs
wh_main_vmp_vampire_counts	wh_main_sc_vmp_vampire_counts
