armory_item_set	effect	effect_scope	value
#armory_item_set_to_effects_tables;0;db/armory_item_set_to_effects_tables/data__			
wh3_main_dae_daemon_prince_generic_set_2	wh3_main_effect_ability_enable_mortal_blow_upgraded	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_generic_set_2	wh3_main_effect_corruption_chaos_events	character_to_province_any	5.0000
wh3_main_dae_daemon_prince_generic_set_2	wh_main_effect_character_stat_leadership_aura_size	character_to_character_own	50.0000
wh3_main_dae_daemon_prince_generic_set_2	wh_main_effect_force_stat_armour	general_to_force_own	20.0000
wh3_main_dae_daemon_prince_generic_set_2	wh_main_effect_force_stat_physical_resistance	general_to_force_own	15.0000
wh3_main_dae_daemon_prince_generic_set_3	wh2_main_effect_character_stat_enable_flaming_attacks	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_generic_set_3	wh3_main_effect_ability_enable_mortal_blow_upgraded	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_generic_set_3	wh3_main_effect_corruption_chaos_events	character_to_province_any	5.0000
wh3_main_dae_daemon_prince_generic_set_3	wh_main_effect_force_stat_fire_resistance	general_to_force_own	15.0000
wh3_main_dae_daemon_prince_generic_set_3	wh_main_effect_force_stat_weapon_strength	general_to_force_own	10.0000
wh3_main_dae_daemon_prince_generic_set_4	wh3_main_effect_dae_all_points_percentage_multiplier_mod	general_to_force_own	8.0000
wh3_main_dae_daemon_prince_generic_set_4	wh_main_effect_force_all_campaign_experience_base_all	general_to_force_own	2.0000
wh3_main_dae_daemon_prince_generic_set_4	wh_main_effect_force_stat_melee_attack	general_to_force_own	4.0000
wh3_main_dae_daemon_prince_generic_set_5	wh3_main_effect_corruption_chaos_events	character_to_province_any	3.0000
wh3_main_dae_daemon_prince_generic_set_5	wh3_main_effect_dae_all_points_percentage_multiplier_mod	general_to_force_own	7.0000
wh3_main_dae_daemon_prince_generic_set_5	wh_main_effect_character_stat_weapon_strength_ap_damage_mult	character_to_character_own	10.0000
wh3_main_dae_daemon_prince_khorne_set_1	wh3_main_effect_ability_enable_for_the_slaughter_upgraded	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_khorne_set_1	wh3_main_effect_force_stat_armour_bloodletters	general_to_force_own	15.0000
wh3_main_dae_daemon_prince_khorne_set_1	wh3_main_effect_force_stat_magic_resistance_kho_chaos_warrior_bloodletters	general_to_force_own	20.0000
wh3_main_dae_daemon_prince_khorne_set_1	wh3_main_effect_recruitment_cost_kho_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_khorne_set_1	wh3_main_effect_upkeep_kho_all	general_to_force_own	-60.0000
wh3_main_dae_daemon_prince_khorne_set_2	wh3_main_effect_ability_enable_deathbringer_upgraded	character_to_character_own	1.0000
wh3_main_dae_daemon_prince_khorne_set_2	wh3_main_effect_attribute_enable_perfect_vigour_kho_crushers	general_to_force_own	1.0000
wh3_main_dae_daemon_prince_khorne_set_2	wh3_main_effect_force_stat_charge_bonus_pct_kho_gorebeast_crushers	general_to_force_own	20.0000
wh3_main_dae_daemon_prince_khorne_set_2	wh3_main_effect_recruitment_cost_kho_all	general_to_force_own	-25.0000
wh3_main_dae_daemon_prince_khorne_set_2	wh3_main_effect_upkeep_kho_all	general_to_force_own	-60.0000
wh3_main_dae_daemon_prince_khorne_set_3	wh3_main_effect_corruption_khorne_daemonic_progression	character_to_province_any	3.0000
wh3_main_dae_daemon_prince_khorne_set_3	wh3_main_effect_force_recruit_rank_kho_all	general_to_force_own	2.0000
wh3_main_dae_daemon_prince_khorne_set_3	wh3_main_effect_force_stat_armour_bloodletters	general_to_force_own	10.0000
wh3_main_dae_daemon_prince_khorne_set_4	wh3_main_effect_dae_khorne_points_percentage_multiplier_mod	general_to_force_own	10.0000
