key	grouping_size	required_intensity	sample_range
#audio_campaign_environment_tree_sounds_tables;0;db/audio_campaign_environment_tree_sounds_tables/data__			
Tree_Sound_Beastmen	25.0000	50.0000	50.0000
Tree_Sound_Bretonnia	25.0000	50.0000	50.0000
Tree_Sound_Cathay	25.0000	50.0000	50.0000
Tree_Sound_Chaos	25.0000	50.0000	50.0000
Tree_Sound_Daemon_Prince	25.0000	50.0000	50.0000
Tree_Sound_Dark_Elves	25.0000	50.0000	50.0000
Tree_Sound_Dwarfs	25.0000	50.0000	50.0000
Tree_Sound_Empire	25.0000	50.0000	50.0000
Tree_Sound_Greenskins	25.0000	50.0000	50.0000
Tree_Sound_High_Elves	25.0000	50.0000	50.0000
Tree_Sound_Khorne	25.0000	50.0000	50.0000
Tree_Sound_Kislev	25.0000	50.0000	50.0000
Tree_Sound_Kislev_Prologue	25.0000	100.0000	50.0000
Tree_Sound_Lizardmen	25.0000	50.0000	50.0000
Tree_Sound_Norsca	25.0000	50.0000	50.0000
Tree_Sound_Nurgle	25.0000	50.0000	50.0000
Tree_Sound_Ogres	25.0000	50.0000	50.0000
Tree_Sound_Skaven	25.0000	50.0000	50.0000
Tree_Sound_Slaanesh	25.0000	50.0000	50.0000
Tree_Sound_TEST	25.0000	50.0000	50.0000
Tree_Sound_Tomb_Kings	25.0000	50.0000	50.0000
Tree_Sound_Tree_Large_Base	25.0000	75.0000	50.0000
Tree_Sound_Tree_Large_Blossom_Base	25.0000	75.0000	50.0000
Tree_Sound_Tree_Large_Dead	25.0000	75.0000	30.0000
Tree_Sound_Tree_Large_Evil	25.0000	75.0000	50.0000
Tree_Sound_Tree_Large_Jungle	25.0000	75.0000	50.0000
Tree_Sound_Tree_Large_Mountain_Base	25.0000	75.0000	50.0000
Tree_Sound_Tree_Large_Palm	25.0000	75.0000	50.0000
Tree_Sound_Tree_Large_Snow	25.0000	75.0000	50.0000
Tree_Sound_Tree_Small_Base	25.0000	75.0000	50.0000
Tree_Sound_Tree_Small_Jungle	25.0000	75.0000	50.0000
Tree_Sound_Tree_Small_Palm	25.0000	75.0000	50.0000
Tree_Sound_Tzeentch	25.0000	50.0000	50.0000
Tree_Sound_Vampire	25.0000	50.0000	50.0000
Tree_Sound_Wood_Elves	25.0000	50.0000	50.0000
