base	culture	override
#campaign_settlement_display_building_culture_overrides_tables;0;db/campaign_settlement_display_building_culture_overrides_tables/data__		
1149244811	wh3_main_kho_khorne	1481370061
1149244811	wh3_main_nur_nurgle	1708732338
1149244811	wh3_main_sla_slaanesh	245698636
1149244811	wh3_main_tze_tzeentch	506985262
1191494245	wh3_main_kho_khorne	1982218117
1191494245	wh3_main_nur_nurgle	598118769
1191494245	wh3_main_sla_slaanesh	1759639403
1191494245	wh3_main_tze_tzeentch	1331471190
14	wh_main_grn_greenskins	277
1654548573	wh3_main_kho_khorne	1745201338
1654548573	wh3_main_nur_nurgle	14554160
1654548573	wh3_main_sla_slaanesh	582194241
1654548573	wh3_main_tze_tzeentch	10645472
16	wh_main_grn_greenskins	285
1794885906	wh3_main_kho_khorne	752578713
1794885906	wh3_main_nur_nurgle	1665181083
1794885906	wh3_main_sla_slaanesh	932530588
1794885906	wh3_main_tze_tzeentch	1143701158
2026983009	wh3_main_kho_khorne	1797652449
2026983009	wh3_main_nur_nurgle	1032590429
2026983009	wh3_main_sla_slaanesh	1497880337
2026983009	wh3_main_tze_tzeentch	915553079
2071588915	wh3_main_kho_khorne	1324294280
2071588915	wh3_main_nur_nurgle	1185998465
2071588915	wh3_main_sla_slaanesh	1100073688
2071588915	wh3_main_tze_tzeentch	535895236
23	wh_main_grn_greenskins	290
25	wh_main_grn_greenskins	296
271	wh_main_dwf_dwarfs	4
277	wh_main_dwf_dwarfs	14
285	wh_main_dwf_dwarfs	16
290	wh_main_dwf_dwarfs	23
296	wh_main_dwf_dwarfs	25
4	wh_main_grn_greenskins	271
659796223	wh3_main_kho_khorne	1842685464
659796223	wh3_main_nur_nurgle	583298292
659796223	wh3_main_sla_slaanesh	949749958
659796223	wh3_main_tze_tzeentch	1654540156
945879683	wh3_main_kho_khorne	314518868
945879683	wh3_main_nur_nurgle	1519583120
945879683	wh3_main_sla_slaanesh	1876667294
945879683	wh3_main_tze_tzeentch	1096407400
