key	sort_order	effect_state
#unit_abilities_additional_ui_effects_tables;3;db/unit_abilities_additional_ui_effects_tables/data__		
wh2_dlc09_all_increases_with_friends_in_range	105	positive
wh2_dlc09_all_summon_ushabti	103	positive
wh2_dlc09_all_unlocks_at_realm_of_souls	101	positive
wh2_dlc09_miscast_full_hide	101	positive
wh2_dlc09_spell_upgraded_bonus_vs_large	1	magic
wh2_dlc10_all_summon_alith_anar_mirror	103	positive
wh2_dlc10_all_summon_ancestor_ghost	103	positive
wh2_dlc10_all_summon_half_damage	104	positive
wh2_dlc10_all_summon_no_damage	104	negative
wh2_dlc10_generic_absorb_morale	105	positive
wh2_dlc11_all_replenish_ammo	105	positive
wh2_dlc11_all_replenish_ammo_high	106	positive
wh2_dlc11_all_summon_deckhands_mob	105	positive
wh2_dlc11_all_summon_gunnery_mob	105	magic
wh2_dlc11_all_summon_zombie_deckhands_mob	103	positive
wh2_dlc11_reduce_morale	105	positive
wh2_dlc11_slow_effect_dummy	600	negative
wh2_dlc11_summon_damned_knight_errant	103	positive
wh2_dlc11_summon_damned_questing_knight	103	positive
wh2_dlc11_summon_knights_of_the_realm	103	positive
wh2_dlc11_summon_rotting_prometheans	103	positive
wh2_dlc11_summon_varghulf	103	positive
wh2_dlc11_suppress_rampage	1	positive
wh2_dlc12_ability_thunderous_one	1	positive
wh2_dlc12_ability_warpstone_detonation	1	positive
wh2_dlc12_reduced_speed_contact_effect	110	positive
wh2_dlc12_refuse_to_die	101	positive
wh2_dlc12_spell_damage_moderate	101	positive
wh2_dlc12_spell_friendly_fire_aoe	102	positive
wh2_dlc13_all_summon_razordon_hunting_pack	103	positive
wh2_dlc13_army_vortices_6	106	positive
wh2_dlc13_invulnerability	101	positive
wh2_dlc13_oil_flask	101	positive
wh2_dlc13_reduce_speed_contact_effect	110	positive
wh2_dlc13_scaling_damage	1	double_positive
wh2_dlc14_abilities_tzarkan	106	positive
wh2_dlc14_all_summon_eshin_triads_ror_mirror	103	positive
wh2_dlc14_all_summon_stormvermin_sword	103	positive
wh2_dlc14_damage_tzarkan	104	negative
wh2_dlc14_direct_damage_self_low	201	negative
wh2_dlc14_health_tzarkan	105	positive
wh2_dlc14_miscast_eshin_triads_ror_unspottable	101	positive
wh2_dlc14_spell_no_damage	101	negative
wh2_dlc14_transform_tzarkan	103	positive
wh2_dlc15_all_increased_knockback	0	positive
