ancillary	agent
#ancillary_to_included_agents_tables;0;db/ancillary_to_included_agents_tables/data__	
wh2_dlc09_anc_follower_tmb_herald_of_djaf	general
wh2_dlc09_anc_follower_tmb_herald_of_khemri	general
wh2_dlc09_anc_follower_tmb_herald_of_mahrak	general
wh2_dlc09_anc_follower_tmb_herald_of_raestra	general
wh2_dlc09_anc_follower_tmb_herald_of_scorpion	general
wh2_dlc09_anc_follower_tmb_herald_of_sphinx	general
wh2_dlc09_anc_follower_tmb_herald_of_zandri	general
wh2_dlc09_anc_magic_standard_banner_of_the_hidden_dead	general
wh2_dlc09_anc_magic_standard_standard_of_the_undying_legion	general
wh2_dlc10_anc_magic_standard_banner_of_avelorn	general
wh2_dlc10_anc_mount_def_sorceress_beasts_cold_one	wizard
wh2_dlc10_anc_mount_def_sorceress_beasts_dark_pegasus	wizard
wh2_dlc10_anc_mount_def_sorceress_beasts_dark_steed	wizard
wh2_dlc10_anc_mount_def_sorceress_death_cold_one	wizard
wh2_dlc10_anc_mount_def_sorceress_death_dark_pegasus	wizard
wh2_dlc10_anc_mount_def_sorceress_death_dark_steed	wizard
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_black_dragon	general
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_cold_one	general
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_dark_pegasus	general
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_dark_steed	general
wh2_dlc10_anc_mount_def_supreme_sorceress_beasts_manticore	general
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_black_dragon	general
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_cold_one	general
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_dark_pegasus	general
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_dark_steed	general
wh2_dlc10_anc_mount_def_supreme_sorceress_dark_manticore	general
wh2_dlc10_anc_mount_def_supreme_sorceress_death_black_dragon	general
wh2_dlc10_anc_mount_def_supreme_sorceress_death_cold_one	general
wh2_dlc10_anc_mount_def_supreme_sorceress_death_dark_pegasus	general
wh2_dlc10_anc_mount_def_supreme_sorceress_death_dark_steed	general
wh2_dlc10_anc_mount_def_supreme_sorceress_death_manticore	general
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_black_dragon	general
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_cold_one	general
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_dark_pegasus	general
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_dark_steed	general
wh2_dlc10_anc_mount_def_supreme_sorceress_fire_manticore	general
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_black_dragon	general
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_cold_one	general
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_dark_pegasus	general
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_dark_steed	general
wh2_dlc10_anc_mount_def_supreme_sorceress_shadow_manticore	general
wh2_dlc10_anc_mount_hef_handmaiden_barded_ithilmar_steed	dignitary
wh2_dlc10_anc_mount_hef_handmaiden_elven_steed	dignitary
wh2_dlc10_anc_mount_hef_mage_heavens_elven_steed	wizard
wh2_dlc10_anc_mount_hef_mage_heavens_ithilmar_chariot	wizard
wh2_dlc10_anc_mount_hef_mage_shadows_elven_steed	wizard
wh2_dlc10_anc_mount_hef_mage_shadows_ithilmar_chariot	wizard
wh2_dlc11_anc_follower_captain_drekla	general
wh2_dlc11_anc_follower_cst_carpenter	general
wh2_dlc11_anc_follower_cst_first_mate	general
wh2_dlc11_anc_follower_cst_master_gunner	general
wh2_dlc11_anc_follower_cst_powder_monkey	general
wh2_dlc11_anc_follower_cst_quartermaster	general
wh2_dlc11_anc_follower_cst_sea_artist	general
wh2_dlc11_anc_follower_cst_siren	general
