key	group_sound	max_distance	start_event	stop_event	use_reverb	switch	looping_group_sound	unit_application_event	unit_removal_event	unit_phase_change_sound_cooldown
#audio_ability_phases_tables;2;db/audio_ability_phases_tables/data__										
wh2_ability_neuroparasites	wh2_ability_neuroparasites	500.0000			true		true			0.0000
wh2_ability_unholy_clamour		300.0000	Battle_IND_Magic_Ability_Unholy_Clamour		true		false			0.0000
wh2_dlc09_ability_curse_of_djaf	wh2_dlc09_ability_curse_of_djaf_group	300.0000			true		true			0.0000
wh2_dlc09_ability_liber_mortis		300.0000			true		false			0.0000
wh2_dlc09_ability_sand_veil_one_shot		300.0000	IND_Magic_Sand_Veil_One_Shot		true		false			0.0000
wh2_dlc09_ability_tmb_negative	wh2_dlc09_ability_tmb_negative_group	300.0000			true		true			0.0000
wh2_dlc09_ability_tmb_negative_banner		300.0000	IND_Magic_Generic_Tomb_Kings_Debuff_Loop_Start	IND_Magic_Generic_Tomb_Kings_Debuff_Loop_Stop	true		false			0.0000
wh2_dlc09_ability_tmb_positive	wh2_dlc09_ability_tmb_positive_group	300.0000			true		true			0.0000
wh2_dlc09_ability_tmb_positive_banner		300.0000	IND_Magic_Generic_Tomb_Kings_Buff_Loop_Start	IND_Magic_Generic_Tomb_Kings_Buff_Loop_Stop	true		false			0.0000
wh2_dlc10_ability_abyssal_howl	wh2_dlc10_abyssal_howl	500.0000			true		false			0.0000
wh2_dlc10_ability_fear_of_aramar	wh2_dlc10_ability_fear_of_aramar_group	300.0000			true		true			0.0000
wh2_dlc10_ability_mislead_caster		500.0000	Battle_IND_Ability_Mislead_Caster_Start	Battle_IND_Ability_Mislead_Caster_Stop	true		false			0.0000
wh2_dlc10_lord_abilities_horn_of_the_ancestors		500.0000	Battle_IND_Ability_Horn_Of_The_Ancestors_Start		true		false			0.0000
wh2_dlc10_lord_passive_blood_frenzy_1		500.0000	Battle_IND_Ability_Blood_Frenzy_Start_Loop_01	Battle_IND_Ability_Blood_Frenzy_Stop_Loop_01	true		false			0.0000
wh2_dlc10_lord_passive_blood_frenzy_2		500.0000	Battle_IND_Ability_Blood_Frenzy_Start_Loop_02	Battle_IND_Ability_Blood_Frenzy_Stop_Loop_02	true		false			0.0000
wh2_dlc10_lord_passive_blood_frenzy_3		500.0000	Battle_IND_Ability_Blood_Frenzy_Start_Loop_03	Battle_IND_Ability_Blood_Frenzy_Stop_Loop_03	true		false			0.0000
