key	military_force_type	growth_percentage	growth_flat	recruitment_source	duration_in_rounds	initial_unit_count	max_unit_count_percentage	max_unit_count_flat	ignore_force_size_restriction	use_action_points	icon	commander_agent_subtype
#transported_military_forces_tables;3;db/transported_military_forces_tables/data__												
grn_faction_boost	SUPPORT_ARMY	0.1000	1.0000	allied_recruitment	20	5	1	0	false	false	ui\skins\default\waaagh_army_marker.png	
kho_hounds	SUPPORT_ARMY	0.0000	0.0000	allied_recruitment	10	5	0	5	false	false	ui\skins\default\waaagh_army_marker.png	
wh3_dlc27_ritual_nor_throgg_units_level_1_force	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	10	3	0	7	false	true	ui\skins\default\dlc27_nor_troll_expansion\marker_trolls_army.png	
wh3_dlc27_ritual_nor_throgg_units_level_2_force	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	10	6	0	10	false	true	ui\skins\default\dlc27_nor_troll_expansion\marker_trolls_army.png	
wh3_dlc27_ritual_nor_throgg_units_level_3_force	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	10	9	0	13	false	true	ui\skins\default\dlc27_nor_troll_expansion\marker_trolls_army.png	
wh3_dlc27_ritual_nor_throgg_units_level_4_force	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	10	12	0	16	false	true	ui\skins\default\dlc27_nor_troll_expansion\marker_trolls_army.png	
wh3_dlc27_ritual_nor_throgg_units_level_5_force	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	10	16	0	20	false	true	ui\skins\default\dlc27_nor_troll_expansion\marker_trolls_army.png	
wh3_dlc27_ritual_nor_throgg_units_level_6_force	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	10	16	0	20	false	true	ui\skins\default\dlc27_nor_troll_expansion\marker_trolls_army.png	
wh3_dlc27_sayl_manipulations_self_force	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	5	10	0	10	false	true	ui\skins\default\dlc27_nor_sayl_manipulations\icon_hud_manipulations_army_tab.png	
wh3_dlc29_middenland_army_pool_teutogen_only	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	1	4	0	4	false	true	ui\skins\default\dlc27_nor_sayl_manipulations\icon_hud_manipulations_army_tab.png	
wh3_dlc29_middenland_army_pool_teutogen_units_improved	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	1	8	0	8	false	true	ui\skins\default\dlc27_nor_sayl_manipulations\icon_hud_manipulations_army_tab.png	
wh3_dlc29_nag_pyramid_transported_force_1	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	2	0	0	20	false	true	ui\skins\default\dlc27_nor_sayl_manipulations\icon_hud_manipulations_army_tab.png	wh3_dlc29_vmp_master_necromancer_undeath_transported_army
wh3_dlc29_nag_pyramid_transported_force_2	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	3	0	0	20	false	true	ui\skins\default\dlc27_nor_sayl_manipulations\icon_hud_manipulations_army_tab.png	wh3_dlc29_vmp_master_necromancer_undeath_transported_army
wh3_dlc29_nag_pyramid_transported_force_3	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	4	0	0	20	false	true	ui\skins\default\dlc27_nor_sayl_manipulations\icon_hud_manipulations_army_tab.png	wh3_dlc29_vmp_master_necromancer_undeath_transported_army
wh3_dlc29_nag_pyramid_transported_force_4	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	5	0	0	20	false	true	ui\skins\default\dlc27_nor_sayl_manipulations\icon_hud_manipulations_army_tab.png	wh3_dlc29_vmp_master_necromancer_undeath_transported_army
wh3_dlc29_ritual_woc_glottkin_level_1	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	2	4	0	4	false	true		
wh3_dlc29_ritual_woc_glottkin_level_2	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	3	6	0	6	false	true		
wh3_dlc29_ritual_woc_glottkin_level_3	SUPPORT_ARMY	0.0000	1.0000	allied_recruitment	3	6	0	6	false	true		
