child_key	parent_key	child_link_position	parent_link_position	parent_link_position_offset	child_link_position_offset	mid_link_offset
#unit_upgrade_group_ui_links_tables;2;db/unit_upgrade_group_ui_links_tables/data__						
wh3_dlc20_chs_spawn_und	wh3_dlc20_chs_aspiring_champions	1	4	0.0000	0.0000	0.0000
wh3_dlc20_chs_gorebeast_chariot_kho	wh3_dlc20_chs_chariot_kho	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_gorebeast_chariot_und	wh3_dlc20_chs_chariot_und	3	1	0.0000	0.0000	0.0000
wh3_dlc27_sla_champions_of_slaanesh	wh3_dlc20_chs_chosen_sla	3	1	0.0000	0.0000	50.0000
wh3_dlc20_chs_aspiring_champions	wh3_dlc20_chs_chosen_und	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_spawn_kho	wh3_dlc20_chs_forsaken_kho	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_spawn_nur	wh3_dlc20_chs_forsaken_nur	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_spawn_sla	wh3_dlc20_chs_forsaken_sla	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_spawn_tze	wh3_dlc20_chs_forsaken_tze	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_spawn_und	wh3_dlc20_chs_forsaken_und	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_knights_sla	wh3_dlc20_chs_hellstriders	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_skullcrushers	wh3_dlc20_chs_knights_kho	3	1	0.0000	0.0000	0.0000
wh3_dlc25_nur_cav_rot_knights	wh3_dlc20_chs_knights_nur	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_doom_knights	wh3_dlc20_chs_knights_tze	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_knights_und	wh3_dlc20_chs_marauder_horsemasters	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_chariot_kho	wh3_dlc20_chs_marauder_horsemen_kho	3	2	0.0000	0.0000	0.0000
wh3_dlc20_chs_knights_kho	wh3_dlc20_chs_marauder_horsemen_kho	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_chariot_nur	wh3_dlc20_chs_marauder_horsemen_nur	3	2	0.0000	0.0000	0.0000
wh3_dlc20_chs_knights_nur	wh3_dlc20_chs_marauder_horsemen_nur	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_chariot_sla	wh3_dlc20_chs_marauder_horsemen_sla	3	2	0.0000	0.0000	0.0000
wh3_dlc20_chs_hellstriders	wh3_dlc20_chs_marauder_horsemen_sla	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_chariot_tze	wh3_dlc20_chs_marauder_horsemen_tze	3	2	0.0000	0.0000	0.0000
wh3_dlc20_chs_knights_tze	wh3_dlc20_chs_marauder_horsemen_tze	3	1	0.0000	0.0000	0.0000
wh3_dlc20_chs_chariot_und	wh3_dlc20_chs_marauder_horsemen_und	3	2	0.0000	0.0000	0.0000
wh3_dlc20_chs_marauder_horsemasters	wh3_dlc20_chs_marauder_horsemen_und	3	1	0.0000	0.0000	0.0000
