key	sort_order	campaign_map
#battle_set_piece_frontend_groups_tables;1;db/battle_set_piece_frontend_groups_tables/data__		
wh2_dlc09_skv_tretch	32	119056105
wh2_dlc09_tmb_arkhan	43	119056105
wh2_dlc09_tmb_khalida	41	119056105
wh2_dlc09_tmb_khatep	42	119056105
wh2_dlc09_tmb_settra	40	119056105
wh2_dlc10_def_hellebron	21	119056105
wh2_dlc10_hef_alarielle	2	119056105
wh2_dlc10_hef_alith_anar	3	119056105
wh2_dlc11_cst_aranessa_saltspite	52	119056105
wh2_dlc11_cst_cylostra	53	119056105
wh2_dlc11_cst_noctilus	51	119056105
wh2_dlc11_def_lokhir	22	119056105
wh2_dlc11_luthor_harkon	50	119056105
wh2_dlc12_lzd_tehenhauin	12	119056105
wh2_dlc12_lzd_tiktaqto	13	119056105
wh2_dlc12_skv_ikit_claw	33	119056105
wh2_dlc13_emp_wulfhart	63	119056105
wh2_dlc13_lzd_gorrok	15	119056105
wh2_dlc13_lzd_nakai	14	119056105
wh2_dlc14_brt_repanse	133	119056105
wh2_dlc14_def_malus	23	119056105
wh2_dlc14_skv_snikch	34	119056105
wh2_dlc15_grn_grom	84	119056105
wh2_dlc15_hef_imrik	5	119056105
wh2_dlc16_wef_drycha	123	119056105
wh2_dlc17_bst_taurox	113	119056105
wh2_dlc17_dwf_thorek	74	119056105
wh2_dlc17_lzd_oxyotl	16	119056105
wh2_main_def_malekith	19	119056105
wh2_main_def_morathi	20	119056105
wh2_main_hef_teclis	1	119056105
wh2_main_hef_tyrion	0	119056105
wh2_main_lzd_kroq_gar	11	119056105
wh2_main_lzd_lord_mazdamundi	10	119056105
wh2_main_skv_lord_skrolk	31	119056105
wh2_main_skv_queek_headtaker	30	119056105
wh2_twa03_def_rakarth	24	119056105
wh3_dlc20_chs_azazel	140	328425926
wh3_dlc20_chs_festus	141	328425926
wh3_dlc20_chs_valkia	142	328425926
wh3_dlc20_chs_vilitch	143	328425926
wh3_dlc23_chd_astragoth	144	328425926
wh3_dlc23_chd_drazhoath	145	328425926
wh3_dlc23_chd_zhatan	146	328425926
wh3_dlc24_cth_cha_yuan_bo	147	328425926
wh3_dlc24_ksl_cha_mother_ostankya	148	328425926
wh3_dlc24_ksl_ostankya	147	328425926
wh3_dlc24_tze_cha_changeling	149	328425926
wh3_main_kho_skarbrand	140	328425926
wh3_main_ksl_katarin	137	328425926
wh3_main_ksl_kostaltyn	139	328425926
wh3_main_nur_kugath	141	328425926
wh3_main_ogr_greasus	135	328425926
wh3_main_ogr_skrag	136	328425926
wh3_main_sla_nkari	143	328425926
wh3_main_tze_kairos	142	328425926
wh3_prologue_yuri_barkov	1	1024396413
wh3_tut_scenario	128	328425926
wh_dlc01_chs_archaon	100	119056105
wh_dlc01_chs_kholek	102	119056105
wh_dlc01_chs_sigvald	101	119056105
wh_dlc03_bst_khazrak	110	119056105
wh_dlc03_bst_malagor	111	119056105
wh_dlc04_emp_volkmar	62	119056105
wh_dlc04_vmp_helman	92	119056105
wh_dlc04_vmp_vlad	93	119056105
wh_dlc05_bst_morghur	112	119056105
wh_dlc05_wef_durthu	121	119056105
wh_dlc05_wef_orion	120	119056105
wh_dlc06_dwf_belegar	72	119056105
wh_dlc06_grn_skarsnik	82	119056105
wh_dlc06_grn_wurrzag	83	119056105
wh_dlc07_brt_alberic	132	119056105
wh_dlc07_brt_fay_enchantress	131	119056105
wh_dlc07_brt_king_louen_leoncoeur	130	119056105
wh_dlc08_nor_throgg	134	119056105
wh_dlc08_nor_wulfrik	133	119056105
wh_dlc15_hef_eltharion	4	119056105
wh_dlc16_skv_throt	35	119056105
wh_dlc16_wef_sisters	122	119056105
wh_main_dwf_thorgrim	70	119056105
wh_main_dwf_ungrim	73	119056105
wh_main_emp_balthasar	61	119056105
wh_main_emp_karl	60	119056105
wh_main_grn_azhag	81	119056105
wh_main_grn_grimgor	80	119056105
wh_main_vmp_heinrich	91	119056105
wh_main_vmp_mannfred	90	119056105
wh_pro01_dwf_grombrindal	71	119056105
wh_pro02_vmp_isabella	94	119056105
