key	ui_image
#campaign_decisions_tables;1;db/campaign_decisions_tables/data__	
wh3_main_campaign_decision_ataman_blood_money	placehoder.png
wh3_main_campaign_decision_ataman_innovate_or_die	placehoder.png
wh3_main_campaign_decision_ataman_judgement	placehoder.png
wh3_main_campaign_decision_ataman_kislev_still_needs_you	placehoder.png
wh3_main_campaign_decision_ataman_kislevian_coin	placehoder.png
wh3_main_campaign_decision_ataman_labour_shortage	placehoder.png
wh3_main_campaign_decision_ataman_loyalties_proven	placehoder.png
wh3_main_campaign_decision_ataman_loyalties_revealed	placehoder.png
wh3_main_campaign_decision_ataman_seeking_refuge	placehoder.png
wh3_main_campaign_decision_ataman_the_black_glove	placehoder.png
wh3_main_campaign_decision_ataman_the_hunt	placehoder.png
wh3_main_campaign_decision_ataman_time_of_dazh	placehoder.png
wh3_main_campaign_decision_ataman_within_or_without	placehoder.png
