chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/data__			
wh3_dlc20_settlement_woc_chaos_altar	wh3_dlc20_primary_core_generic_major_variant_woc_dark_fortress		true
wh3_dlc20_settlement_woc_dark_fortress	wh3_dlc20_primary_core_generic_major_variant_woc_dark_fortress		false
wh3_dlc20_woc_chaos_altar_special_gate_towers	wh3_dlc20_secondary_addon_garrison_fort_emp		false
wh3_dlc20_woc_chaos_altar_special_gate_towers	wh3_dlc20_secondary_addon_garrison_high_elf_gates		false
wh3_dlc20_foreign_slot_discovery_woc	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_chaos_monsters	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_growth	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_income	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_knights	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_large_monsters	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_marauder	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_shrine	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_towers	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_vassals	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_dark_fortress_warriors	wh3_dlc20_secondary_addon_woc_dark_fortress		false
wh3_dlc20_woc_chaos_altar_corruption	wh3_dlc20_secondary_remove_altar_improvements_special_gates		false
wh3_dlc20_woc_chaos_altar_garrison	wh3_dlc20_secondary_remove_altar_improvements_special_gates		false
wh3_dlc20_woc_chaos_altar_recruit	wh3_dlc20_secondary_remove_altar_improvements_special_gates		false
wh3_dlc20_woc_chaos_altar_replenishment	wh3_dlc20_secondary_remove_altar_improvements_special_gates		false
wh3_dlc20_woc_chaos_altar_garrison	wh3_dlc20_secondary_remove_garrison_bastion		false
wh3_dlc20_woc_chaos_altar_corruption	wh3_dlc20_secondary_remove_woc_chaos_altar		false
wh3_dlc20_woc_chaos_altar_garrison	wh3_dlc20_secondary_remove_woc_chaos_altar		false
wh3_dlc20_woc_chaos_altar_recruit	wh3_dlc20_secondary_remove_woc_chaos_altar		false
wh3_dlc20_woc_chaos_altar_replenishment	wh3_dlc20_secondary_remove_woc_chaos_altar		false
wh3_dlc23_special_fortress_of_dawn_dawns_harbour	wh3_dlc23_port_core_special_fortress_of_dawn		false
wh3_dlc23_special_fortress_of_dawn_dawns_harbour_chd	wh3_dlc23_port_core_special_fortress_of_dawn		false
wh3_dlc23_special_fortress_of_dawn_dawns_harbour_def	wh3_dlc23_port_core_special_fortress_of_dawn		false
wh3_dlc23_special_fortress_of_dawn_dawns_harbour_hef	wh3_dlc23_port_core_special_fortress_of_dawn		false
wh3_main_dae_port	wh3_dlc23_port_core_special_fortress_of_dawn		false
wh_main_NORSCA_port	wh3_dlc23_port_core_special_fortress_of_dawn		false
wh3_dlc23_special_anurells_tomb_chd	wh3_dlc23_secondary_addon_landmark_anurells_tomb		false
wh3_dlc23_special_anurells_tomb_hef	wh3_dlc23_secondary_addon_landmark_anurells_tomb		false
wh3_dlc23_special_black_fortress_infernal_barracks_chd	wh3_dlc23_secondary_addon_landmark_black_fortress		false
wh3_dlc23_special_drazhoath_great_drill_of_hashut	wh3_dlc23_secondary_addon_landmark_black_fortress		false
wh3_dlc23_special_daemons_stump_bloodthirster_prison_chd	wh3_dlc23_secondary_addon_landmark_daemons_stump		false
wh3_dlc23_special_daemons_stump_bloodthirster_prison_kho	wh3_dlc23_secondary_addon_landmark_daemons_stump		false
wh3_dlc23_special_flayed_rock_flayed_tower_chd	wh3_dlc23_secondary_addon_landmark_flayed_rock		false
wh3_dlc23_special_flayed_rock_flayed_tower_vmp	wh3_dlc23_secondary_addon_landmark_flayed_rock		false
wh3_dlc23_special_zhatan_great_drill_of_hashut	wh3_dlc23_secondary_addon_landmark_gates_of_zharr		false
wh3_dlc23_special_iron_storm_warmachine_graveyard_chd	wh3_dlc23_secondary_addon_landmark_iron_storm		false
wh3_dlc23_special_sentinels_trade_station_chd	wh3_dlc23_secondary_addon_landmark_the_sentinels		false
wh3_dlc23_special_sentinels_trade_station_ogr	wh3_dlc23_secondary_addon_landmark_the_sentinels		false
wh3_dlc23_special_the_volary_tomb_of_khengai_khan_chd	wh3_dlc23_secondary_addon_landmark_the_volary_combi		false
wh3_dlc23_special_the_volary_tomb_of_khengai_khan_grn	wh3_dlc23_secondary_addon_landmark_the_volary_combi		false
wh3_dlc23_special_zhatan_great_drill_of_hashut	wh3_dlc23_secondary_addon_landmark_the_volary_combi		false
wh3_dlc23_special_the_volary_tomb_of_khengai_khan_chd	wh3_dlc23_secondary_addon_landmark_the_volary		false
wh3_dlc23_special_the_volary_tomb_of_khengai_khan_grn	wh3_dlc23_secondary_addon_landmark_the_volary		false
wh3_dlc23_special_tower_of_gorgoth_volcanic_deposits_chd	wh3_dlc23_secondary_addon_landmark_tower_of_gorgoth		false
wh3_dlc23_special_astragoth_great_drill_of_hashut	wh3_dlc23_secondary_addon_landmark_uzkulak		false
wh3_dlc23_special_uzkulak_ancient_inner_city_chd	wh3_dlc23_secondary_addon_landmark_uzkulak		false
wh3_dlc23_special_great_temple_of_hashut_chd	wh3_dlc23_secondary_addon_landmark_zharr_naggrund		false
wh3_dlc23_special_great_temple_of_hashut_other	wh3_dlc23_secondary_addon_landmark_zharr_naggrund		false
wh3_dlc24_special_fu_chow_port	wh3_dlc24_port_core_special_fu_chow		false
wh3_main_dae_port	wh3_dlc24_port_core_special_fu_chow		false
wh_dlc03_BEASTMEN_port	wh3_dlc24_port_core_special_fu_chow		false
wh_main_CHAOS_port	wh3_dlc24_port_core_special_fu_chow		false
wh_main_NORSCA_port	wh3_dlc24_port_core_special_fu_chow		false
wh3_dlc24_special_ostankyas_hut	wh3_dlc24_secondary_addon_landmark_bleak_hold_fortress		false
wh3_dlc24_special_njevskis_citadel	wh3_dlc24_secondary_addon_landmark_castle_alexandronov		false
wh3_dlc24_special_ostankyas_hut	wh3_dlc24_secondary_addon_landmark_dolganyeir		false
wh3_dlc24_special_the_widows_tree	wh3_dlc24_secondary_addon_landmark_plesk		false
wh3_dlc24_special_the_palace_of_scrolls	wh3_dlc24_secondary_addon_landmark_shang_wu		false
wh3_dlc24_tze_the_changeling_caster	wh3_dlc24_tze_cult_changeling		false
wh3_dlc24_tze_the_changeling_diplomacy_parasitic	wh3_dlc24_tze_cult_changeling		false
wh3_dlc24_tze_the_changeling_diplomacy_symbiotic	wh3_dlc24_tze_cult_changeling		false
wh3_dlc24_tze_the_changeling_expansion_parasitic	wh3_dlc24_tze_cult_changeling		false
wh3_dlc24_tze_the_changeling_expansion_symbiotic	wh3_dlc24_tze_cult_changeling		false
