key	base_plague	component_set
#cai_plague_recipes_tables;0;db/cai_plague_recipes_tables/data__		
wh3_dlc25_plague_0	wh3_dlc25_nur_base_hidden	ai_set_dlc25_plague_0
wh3_dlc25_plague_1	wh3_dlc25_nur_base_hidden	ai_set_dlc25_plague_1
wh3_dlc25_plague_2	wh3_dlc25_nur_base_hidden	ai_set_dlc25_plague_2
wh3_dlc25_plague_2_festus_only	wh3_dlc25_nur_base_hidden	ai_set_dlc25_plague_2_festus_only
wh3_dlc25_plague_3	wh3_dlc25_nur_base_hidden	ai_set_dlc25_plague_3
wh3_dlc25_plague_base	wh3_dlc25_nur_base_hidden	
wh3_plague_festus_recipe_ague_1	wh3_main_nur_base_Ague	ai_set_festus_ague_1
wh3_plague_festus_recipe_ague_2	wh3_main_nur_base_Ague	ai_set_festus_ague_2
wh3_plague_festus_recipe_ague_3	wh3_main_nur_base_Ague	ai_set_festus_ague_3
wh3_plague_festus_recipe_ague_4	wh3_main_nur_base_Ague	ai_set_festus_ague_4
wh3_plague_festus_recipe_ague_5	wh3_main_nur_base_Ague	ai_set_festus_ague_5
wh3_plague_festus_recipe_base_ague	wh3_main_nur_base_Ague	
wh3_plague_festus_recipe_base_buboes	wh3_main_nur_base_Buboes	
wh3_plague_festus_recipe_base_pox	wh3_main_nur_base_Pox	
wh3_plague_festus_recipe_base_rot	wh3_main_nur_base_Rot	
wh3_plague_festus_recipe_base_shakes	wh3_main_nur_base_Shakes	
wh3_plague_festus_recipe_buboes_1	wh3_main_nur_base_Buboes	ai_set_festus_buboes_1
wh3_plague_festus_recipe_buboes_2	wh3_main_nur_base_Buboes	ai_set_festus_buboes_2
wh3_plague_festus_recipe_buboes_3	wh3_main_nur_base_Buboes	ai_set_festus_buboes_3
wh3_plague_festus_recipe_buboes_4	wh3_main_nur_base_Buboes	ai_set_festus_buboes_4
wh3_plague_festus_recipe_buboes_5	wh3_main_nur_base_Buboes	ai_set_festus_buboes_5
wh3_plague_festus_recipe_pox_1	wh3_main_nur_base_Pox	ai_set_festus_pox_1
wh3_plague_festus_recipe_pox_2	wh3_main_nur_base_Pox	ai_set_festus_pox_2
wh3_plague_festus_recipe_pox_3	wh3_main_nur_base_Pox	ai_set_festus_pox_3
wh3_plague_festus_recipe_pox_4	wh3_main_nur_base_Pox	ai_set_festus_pox_4
wh3_plague_festus_recipe_pox_5	wh3_main_nur_base_Pox	ai_set_festus_pox_5
wh3_plague_festus_recipe_rot_1	wh3_main_nur_base_Rot	ai_set_festus_rot_1
wh3_plague_festus_recipe_rot_2	wh3_main_nur_base_Rot	ai_set_festus_rot_2
wh3_plague_festus_recipe_rot_3	wh3_main_nur_base_Rot	ai_set_festus_rot_3
wh3_plague_festus_recipe_rot_4	wh3_main_nur_base_Rot	ai_set_festus_rot_4
wh3_plague_festus_recipe_rot_5	wh3_main_nur_base_Rot	ai_set_festus_rot_5
wh3_plague_festus_recipe_shakes_1	wh3_main_nur_base_Shakes	ai_set_festus_shakes_1
wh3_plague_festus_recipe_shakes_2	wh3_main_nur_base_Shakes	ai_set_festus_shakes_2
wh3_plague_festus_recipe_shakes_3	wh3_main_nur_base_Shakes	ai_set_festus_shakes_3
wh3_plague_festus_recipe_shakes_4	wh3_main_nur_base_Shakes	ai_set_festus_shakes_4
wh3_plague_festus_recipe_shakes_5	wh3_main_nur_base_Shakes	ai_set_festus_shakes_5
wh3_plague_recipe_ague_1	wh3_main_nur_base_Ague	ai_set_ague_1
wh3_plague_recipe_ague_2	wh3_main_nur_base_Ague	ai_set_ague_2
wh3_plague_recipe_ague_3	wh3_main_nur_base_Ague	ai_set_ague_3
wh3_plague_recipe_ague_4	wh3_main_nur_base_Ague	ai_set_ague_4
wh3_plague_recipe_ague_5	wh3_main_nur_base_Ague	ai_set_ague_5
wh3_plague_recipe_base_ague	wh3_main_nur_base_Ague	
wh3_plague_recipe_base_buboes	wh3_main_nur_base_Buboes	
