ministerial_position	required_region
#ministerial_positions_to_region_restrictions_tables;0;db/ministerial_positions_to_region_restrictions_tables/data__	
wh2_main_minister_emp_averland	wh3_main_combi_region_averheim
wh2_main_minister_emp_hochland	wh3_main_combi_region_hergig
wh2_main_minister_emp_middenland	wh3_main_combi_region_middenheim
wh2_main_minister_emp_nordland	wh3_main_combi_region_salzenmund
wh2_main_minister_emp_ostermark	wh3_main_combi_region_bechafen
wh2_main_minister_emp_ostland	wh3_main_combi_region_wolfenburg
wh2_main_minister_emp_reikland	wh3_main_combi_region_altdorf
wh2_main_minister_emp_solland	wh3_main_combi_region_pfeildorf
wh2_main_minister_emp_stirland	wh3_main_combi_region_wurtbad
wh2_main_minister_emp_sylvania	wh3_main_combi_region_castle_drakenhof
wh2_main_minister_emp_talabecland	wh3_main_combi_region_talabheim
wh2_main_minister_emp_wasteland	wh3_main_combi_region_marienburg
wh2_main_minister_emp_wissenland	wh3_main_combi_region_nuln
