choice_key	dilemma_key	followup_dilemma_key
#cdir_events_dilemma_followup_dilemmas_tables;0;db/cdir_events_dilemma_followup_dilemmas_tables/data__		
FIRST	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_a
SECOND	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_1	wh2_main_dilemma_loyalty_skv_call_of_the_horned_rat_2_b
FIRST	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_1	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_a
SECOND	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_1	wh2_main_dilemma_loyalty_skv_moulder_and_scurry_2_b
FIRST	wh2_main_dilemma_loyalty_skv_pestilential_proposition_1	wh2_main_dilemma_loyalty_skv_pestilential_proposition_2_a
FIRST	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_a
SECOND	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_1	wh2_main_dilemma_loyalty_skv_rattus_ex_machina_2_b
FIRST	wh2_main_dilemma_loyalty_skv_shades_of_grey_1	wh2_main_dilemma_loyalty_skv_shades_of_grey_2_a
FIRST	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_1	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_a
SECOND	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_1	wh2_main_dilemma_loyalty_skv_skavenslave_revolt_2_b
SECOND	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_1	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_b
FIRST	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_1	wh2_main_dilemma_loyalty_skv_what_we_do_in_the_shadows_2_a
FIRST	wh3_dlc25_dwf_dilemma_malakai_caravan_detoured_1	wh3_dlc25_dwf_dilemma_malakai_caravan_detoured_2a
SECOND	wh3_dlc25_dwf_dilemma_malakai_caravan_detoured_1	wh3_dlc25_dwf_dilemma_malakai_caravan_detoured_2b
FIRST	wh3_dlc25_dwf_dilemma_malakai_dwarf_refugees_1	wh3_dlc25_dwf_dilemma_malakai_dwarf_refugees_2a
SECOND	wh3_dlc25_dwf_dilemma_malakai_dwarf_refugees_1	wh3_dlc25_dwf_dilemma_malakai_dwarf_refugees_2b
FIRST	wh3_dlc25_dwf_dilemma_malakai_manling_priorities_1	wh3_dlc25_dwf_dilemma_malakai_manling_priorities_2a
SECOND	wh3_dlc25_dwf_dilemma_malakai_manling_priorities_1	wh3_dlc25_dwf_dilemma_malakai_manling_priorities_2b
SECOND	wh3_main_dilemma_cth_9	wh3_main_dilemma_cth_10
SECOND	wh3_main_dilemma_dae_3	wh3_main_dilemma_dae_4
SECOND	wh3_main_dilemma_kho_2	wh3_main_dilemma_kho_2_a
SECOND	wh3_main_dilemma_ksl_7	wh3_main_dilemma_ksl_8
SECOND	wh3_main_dilemma_ogr_10	wh3_main_dilemma_ogr_11
SECOND	wh3_main_dilemma_sla_2	wh3_main_dilemma_sla_2_a
SECOND	wh3_main_dilemma_sla_5	wh3_main_dilemma_sla_5_a
SECOND	wh3_main_dilemma_tze_3	wh3_main_dilemma_tze_3_a
