first_event	second_event	max_turn_difference	value	exclusion_rule_set
#cai_diplomacy_complex_treacheries_tables;1;db/cai_diplomacy_complex_treacheries_tables/data__				
CLIENT_STATE_BROKEN	WAR	10	15.0000	CALL_TO_ARMS_JUSTIFIED
DEFENSIVE_ALLIANCE	DEFENSIVE_ALLIANCE_BROKEN	10	10.0000	CALL_TO_ARMS_JUSTIFIED
DEFENSIVE_ALLIANCE_BROKEN	WAR	10	25.0000	CALL_TO_ARMS_JUSTIFIED
MILITARY_ACCESS	MILITARY_ACCESS_BROKEN	10	10.0000	CALL_TO_ARMS_JUSTIFIED
MILITARY_ACCESS_BROKEN	WAR	10	15.0000	CALL_TO_ARMS_JUSTIFIED
MILITARY_ALLIANCE	MILITARY_ALLIANCE_BROKEN	10	10.0000	CALL_TO_ARMS_JUSTIFIED
MILITARY_ALLIANCE_BROKEN	WAR	10	25.0000	CALL_TO_ARMS_JUSTIFIED
NON_AGGRESSION_PACT	NON_AGGRESSION_PACT_BROKEN	10	10.0000	BREAK_TREATY_AGAINST_TRESPASSER_OR_CALL_TO_ARMS
NON_AGGRESSION_PACT_BROKEN	WAR	10	15.0000	BREAK_TREATY_AGAINST_TRESPASSER_OR_CALL_TO_ARMS
PEACE	WAR	10	30.0000	CALL_TO_ARMS_JUSTIFIED
STATE_GIFT_ACCEPTED	WAR	10	10.0000	CALL_TO_ARMS_JUSTIFIED
TRADE_AGREEMENT	TRADE_AGREEMENT_BROKEN	10	10.0000	BREAK_TREATY_AGAINST_TRESPASSER_OR_CALL_TO_ARMS
TRADE_AGREEMENT_BROKEN	WAR	10	15.0000	BREAK_TREATY_AGAINST_TRESPASSER_OR_CALL_TO_ARMS
VASSALAGE_BROKEN	WAR	10	25.0000	CALL_TO_ARMS_JUSTIFIED
