key	maximum	minimum	ai_ignored	default_factor	optional_icon_path	income_policy	reset_before_income	scope	has_persistent_factors	sort_order	battle_conversion	appy_income_on_creation	always_display_zero_factors	can_scale_effect_thresholds_per_unit
#pooled_resources_tables;2;db/pooled_resources_tables/data__														
brt_chivalry	10000	0	true	other	icon_chivalry.png	END_OF_ROUND	false	FACTION	false	0		false	false	false
bst_dread	999999	0	false	wh2_main_resource_factor_other	icon_dread.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
bst_herdstone_shard	9999	0	false	other	icon_herdstone_shard.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
bst_momentum	10	0	true	wh2_main_resource_factor_other	icon_momentum.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
bst_rampage	300	0	true	wh2_main_resource_factor_other	icon_rampage.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
bst_ruination	500	0	true	wh2_main_resource_factor_other	icon_ruination.png	END_OF_ROUND	false	FACTION	true	0		false	true	false
cst_infamy	1000000	0	true	other	icon_infamy.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
def_malus_sanity	10	-10	true	other	wh2_dlc14_def_posession.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
def_slaves	2147483647	0	false	other	icon_slaves.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_oathgold	2147483647	0	false	other	icon_oathgold.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_1a	5	0	false	other	icon_dwf_thorek_artifact_part_1a_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_1b	5	0	false	other	icon_dwf_thorek_artifact_part_1b_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_2a	5	0	false	other	icon_dwf_thorek_artifact_part_2a_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_2b	5	0	false	other	icon_dwf_thorek_artifact_part_2b_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_3a	5	0	false	other	icon_dwf_thorek_artifact_part_3a_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_3b	5	0	false	other	icon_dwf_thorek_artifact_part_3b_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_4a	5	0	false	other	icon_dwf_thorek_artifact_part_4a_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_4b	5	0	false	other	icon_dwf_thorek_artifact_part_4b_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_5a	5	0	false	other	icon_dwf_thorek_artifact_part_5a_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_5b	5	0	false	other	icon_dwf_thorek_artifact_part_5b_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_6a	5	0	false	other	icon_dwf_thorek_artifact_part_6a_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_6b	5	0	false	other	icon_dwf_thorek_artifact_part_6b_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_7a	5	0	false	other	icon_dwf_thorek_artifact_part_7a_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_7b	5	0	false	other	icon_dwf_thorek_artifact_part_7b_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_8a	5	0	false	other	icon_dwf_thorek_artifact_part_8a_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_thorek_artifact_part_8b	5	0	false	other	icon_dwf_thorek_artifact_part_8b_large.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
dwf_underdeeps	1000	0	false	other	icon_dwf_underdeep.png	END_OF_ROUND	true	FACTION	false	0		true	true	false
emp_imperial_authority	100	-10	false	other	imperial_authority_icon.png	END_OF_ROUND	false	FACTION	true	0		false	true	false
emp_imperial_authority_new	100	-1	false	other	imperial_authority_icon.png	END_OF_ROUND	false	FACTION	true	0		false	false	false
emp_loyalty	10	0	false	other	icon_infamy.png	END_OF_ROUND	false	FACTION	true	0		false	true	false
emp_prestige	1000000	0	false	other	icon_prestige.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
emp_progress	100	0	false	other	wulfhart_emperor_mandate_icon.png	END_OF_ROUND	false	FACTION	true	0		false	true	false
emp_wanted	60	0	false	other	wulfhart_wanted_skull_active.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
grn_salvage	10000	0	false	other	icon_grn_scrap.png	END_OF_ROUND	false	FACTION	false	0		false	true	false
