campaign	source	target	attitude_base	negative_attitude_multiplier	positive_attitude_multiplier
#campaign_cultural_relations_tables;0;db/campaign_cultural_relations_tables/data__					
	wh2_dlc09_sc_tmb_tomb_kings	wh2_dlc09_sc_tmb_tomb_kings	0.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh2_dlc11_sc_cst_vampire_coast	-40.0000	1.5000	0.7500
	wh2_dlc09_sc_tmb_tomb_kings	wh2_main_sc_def_dark_elves	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh2_main_sc_hef_high_elves	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh2_main_sc_lzd_lizardmen	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh2_main_sc_skv_skaven	-20.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_dlc23_sc_chd_chaos_dwarfs	-100.0000	2.0000	0.1000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_main_sc_cth_cathay	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_main_sc_dae_daemons	-100.0000	2.0000	0.1000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_main_sc_kho_khorne	-100.0000	2.0000	0.1000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_main_sc_ksl_kislev	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_main_sc_nur_nurgle	-100.0000	2.0000	0.1000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_main_sc_ogr_ogre_kingdoms	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_main_sc_sla_slaanesh	-100.0000	2.0000	0.1000
	wh2_dlc09_sc_tmb_tomb_kings	wh3_main_sc_tze_tzeentch	-100.0000	2.0000	0.1000
	wh2_dlc09_sc_tmb_tomb_kings	wh_dlc03_sc_bst_beastmen	-40.0000	1.5000	0.7500
	wh2_dlc09_sc_tmb_tomb_kings	wh_dlc05_sc_wef_wood_elves	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh_dlc08_sc_nor_norsca	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_brt_bretonnia	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_chs_chaos	-100.0000	2.0000	0.1000
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_dwf_dwarfs	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_emp_empire	-10.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_grn_greenskins	-20.0000	1.0000	1.0000
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_grn_savage_orcs	-40.0000	1.5000	0.7500
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_teb_teb	-40.0000	1.5000	0.7500
	wh2_dlc09_sc_tmb_tomb_kings	wh_main_sc_vmp_vampire_counts	-40.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	wh2_dlc09_sc_tmb_tomb_kings	-40.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	wh2_dlc11_sc_cst_vampire_coast	-10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh2_main_sc_def_dark_elves	-10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh2_main_sc_hef_high_elves	-40.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	wh2_main_sc_lzd_lizardmen	-100.0000	2.0000	0.5000
	wh2_dlc11_sc_cst_vampire_coast	wh2_main_sc_skv_skaven	-20.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh3_dlc23_sc_chd_chaos_dwarfs	-10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_cth_cathay	-40.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_dae_daemons	-10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_kho_khorne	-10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_ksl_kislev	-40.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_nur_nurgle	-10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_ogr_ogre_kingdoms	-40.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_sla_slaanesh	-10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh3_main_sc_tze_tzeentch	-10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	wh_dlc03_sc_bst_beastmen	-40.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	wh_dlc05_sc_wef_wood_elves	-40.0000	1.5000	0.7500
	wh2_dlc11_sc_cst_vampire_coast	wh_dlc08_sc_nor_norsca	-40.0000	1.5000	0.7500
