battle_context_key	ground_type_key
#campaign_bonus_value_battle_context_ground_type_junctions_tables;0;db/campaign_bonus_value_battle_context_ground_type_junctions_tables/data__	
fighting_force_status_yours_attacking_at_sea	sea_coast
fighting_force_status_yours_attacking_at_sea	sea_lake
fighting_force_status_yours_attacking_at_sea	sea_ocean
fighting_ground_type_desert	desert
fighting_ground_type_forest	dense_forest
fighting_ground_type_forest	hilly_light_forest
fighting_ground_type_forest	light_forest
fighting_ground_type_sea	sea_coast
fighting_ground_type_sea	sea_lake
fighting_ground_type_sea	sea_ocean
