member	ministerial_position
#campaign_group_member_criteria_ministerial_positions_tables;0;db/campaign_group_member_criteria_ministerial_positions_tables/data__	
wh2_dlc11_minister_cst_beast_master	wh2_dlc11_minister_cst_fleet_beast_master
wh2_dlc11_minister_cst_boatswain	wh2_dlc11_minister_cst_fleet_engineer
wh2_dlc11_minister_cst_deck_sargent	wh2_dlc11_minister_cst_fleet_warrant_admiral
wh2_dlc11_minister_cst_first_mate	wh2_dlc11_minister_cst_fleet_enforcement_admiral
wh2_dlc11_minister_cst_gunnery_chieftain	wh2_dlc11_minister_cst_fleet_gunnery_master
wh2_dlc11_minister_cst_log_keeper	wh2_dlc11_minister_cst_fleet_treasurer
wh2_dlc11_minister_cst_quartermaster	wh2_dlc11_minister_cst_fleet_secretary
wh2_dlc11_minister_cst_sailing_master	wh2_dlc11_minister_cst_fleet_sailing_admiral
wh2_dlc11_minister_vampire_coast_faction_leader	faction_leader
wh2_dlc16_minister_wef_drycha_faction_leader	faction_leader
wh2_dlc16_minister_wef_drycha_speaker_embittered	wh2_dlc16_minister_wef_drycha_speaker_embittered
wh2_dlc16_minister_wef_drycha_speaker_forgotten	wh2_dlc16_minister_wef_drycha_speaker_forgotten
wh2_dlc16_minister_wef_drycha_speaker_lost	wh2_dlc16_minister_wef_drycha_speaker_lost
wh2_dlc16_minister_wef_drycha_speaker_wild	wh2_dlc16_minister_wef_drycha_speaker_wild
wh2_dlc16_minister_wef_sisters_consort_to_the_queen	wh2_dlc16_minister_wef_sisters_consort_to_the_queen
wh2_dlc16_minister_wef_sisters_darkweaver	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_minister_wef_sisters_faction_leader	faction_leader
wh2_dlc16_minister_wef_sisters_highweaver	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_minister_wef_sisters_isha	wh2_dlc16_minister_wef_sisters_isha
wh2_dlc16_minister_wef_sisters_kurnous	wh2_dlc16_minister_wef_sisters_kurnous
wh2_dlc16_minister_wef_sisters_loec	wh2_dlc16_minister_wef_sisters_loec
wh2_main_minister_emp_averland	wh2_main_minister_emp_averland
wh2_main_minister_emp_hochland	wh2_main_minister_emp_hochland
wh2_main_minister_emp_middenland	wh2_main_minister_emp_middenland
wh2_main_minister_emp_nordland	wh2_main_minister_emp_nordland
wh2_main_minister_emp_ostermark	wh2_main_minister_emp_ostermark
wh2_main_minister_emp_ostland	wh2_main_minister_emp_ostland
wh2_main_minister_emp_reikland	wh2_main_minister_emp_reikland
wh2_main_minister_emp_solland	wh2_main_minister_emp_solland
wh2_main_minister_emp_stirland	wh2_main_minister_emp_stirland
wh2_main_minister_emp_sylvania	wh2_main_minister_emp_sylvania
wh2_main_minister_emp_talabecland	wh2_main_minister_emp_talabecland
wh2_main_minister_emp_wasteland	wh2_main_minister_emp_wasteland
wh2_main_minister_emp_wissenland	wh2_main_minister_emp_wissenland
wh_dlc05_minister_elf_elder_speaker	wh_dlc05_minister_wef_elf_elder_speaker
wh_dlc05_minister_elf_faction_leader	faction_leader
wh_dlc05_minister_elf_herald_of_the_hunt	wh_dlc05_minister_wef_elf_herald_of_the_hunt
wh_dlc05_minister_elf_protector_of_the_oak	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh_dlc05_minister_elf_starlight_craftsman	wh_dlc05_minister_wef_elf_starlight_craftsman
wh_dlc05_minister_elf_the_tricksters_masque	wh_dlc05_minister_wef_elf_the_tricksters_masque
wh_dlc05_minister_elf_warden_of_the_wildwood	wh_dlc05_minister_wef_elf_warden_of_the_wildwood
wh_dlc05_minister_tree_ancient_of_delliandra	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh_dlc05_minister_tree_ancient_of_druthandor	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh_dlc05_minister_tree_ancient_of_talrennic	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh_dlc05_minister_tree_ancient_of_threllock	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh_dlc05_minister_tree_faction_leader	faction_leader
wh_ministerial_faction_leader_emp	faction_leader
