item	set	initially_locked
#initiative_set_items_tables;1;db/initiative_set_items_tables/data__		
wh3_cp1_feature_initiatives_cth_ancillaries_armours	wh3_cp1_cth_initiative_set_aosy_ancillaries	false
wh3_cp1_feature_initiatives_cth_ancillaries_talisman	wh3_cp1_cth_initiative_set_aosy_ancillaries	false
wh3_cp1_feature_initiatives_cth_ancillaries_weapons	wh3_cp1_cth_initiative_set_aosy_ancillaries	false
wh3_cp1_feature_initiatives_cth_buildings_celestial	wh3_cp1_cth_initiative_set_aosy_military_buildings	false
wh3_cp1_feature_initiatives_cth_buildings_gun	wh3_cp1_cth_initiative_set_aosy_military_buildings	false
wh3_cp1_feature_initiatives_cth_buildings_jade	wh3_cp1_cth_initiative_set_aosy_military_buildings	false
wh3_cp1_feature_initiatives_cth_buildings_machines	wh3_cp1_cth_initiative_set_aosy_military_buildings	false
wh3_cp1_feature_initiatives_cth_court_decrees_bhashiva_1	wh3_cp1_cth_initiative_set_court_position_bhashiva	false
wh3_cp1_feature_initiatives_cth_court_decrees_bhashiva_2	wh3_cp1_cth_initiative_set_court_position_bhashiva	false
wh3_cp1_feature_initiatives_cth_court_decrees_military_1	wh3_cp1_cth_initiative_set_court_position_military	false
wh3_cp1_feature_initiatives_cth_court_decrees_military_2	wh3_cp1_cth_initiative_set_court_position_military	false
wh3_cp1_feature_initiatives_cth_court_decrees_spiritual_1	wh3_cp1_cth_initiative_set_court_position_spiritual	false
wh3_cp1_feature_initiatives_cth_court_decrees_spiritual_2	wh3_cp1_cth_initiative_set_court_position_spiritual	false
wh3_dlc20_character_initiative_chs_chaos_lord_kho_01	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_kho_02	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_kho_03	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_kho_04	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_kho_05	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_kho_06	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_kho_07	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_kho_08	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_kho_09	wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_01	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_02	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_03	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_04	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_05	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_06	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_07	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_08	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_sla_09	wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_01	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_02	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_03	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_04	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_05	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_06	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_07	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_08	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_lord_und_09	wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_01	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_02	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_03	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_04	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_05	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_06	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_07	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_08	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_09	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_nur_10	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_01	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_02	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_03	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_04	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_05	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_06	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_07	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_08	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_09	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_10	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_01	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_02	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_03	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_04	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_05	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_06	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_07	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_08	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_09	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_und_10	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_01	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_02	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_03	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_04	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_05	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_06	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_07	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_08	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_09	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_sla_10	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_01	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_02	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_03	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_04	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_05	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_06	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_07	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_08	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_09	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_tze_10	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_01	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_02	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_03	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_04	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_05	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_06	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_07	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_08	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_09	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_und_10	wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_01	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_02	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_03	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_04	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_05	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_06	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_07	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_08	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_kho_09	wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	true
wh3_dlc20_character_initiative_chs_daemon_prince_nur_01	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
wh3_dlc20_character_initiative_chs_daemon_prince_nur_02	wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	true
