member	attrition_type
#campaign_group_member_criteria_attrition_types_tables;0;db/campaign_group_member_criteria_attrition_types_tables/data__	
wh2_dlc09_event_feed_cult_tomb_kings_attrition_desertion	desertion
wh2_event_feed_cult_all_attrition_hostile_territory	hostile_territory
wh2_event_feed_cult_all_attrition_maelstrom	maelstrom
wh2_event_feed_cult_all_attrition_reef	reef
wh2_event_feed_cult_all_attrition_storm_level_1	storm_level_1
wh2_event_feed_cult_all_attrition_storm_level_2	storm_level_2
wh2_event_feed_cult_all_attrition_storm_level_3	storm_level_3
wh2_event_feed_cult_all_attrition_storm_level_4	storm_level_4
wh2_event_feed_cult_all_attrition_storm_level_5	storm_level_5
wh2_event_feed_cult_all_attrition_storm_sandstorm	storm_sandstorm
wh2_main_event_feed_cult_dark_elves_attrition_desertion	desertion
wh2_main_event_feed_cult_high_elves_attrition_desertion	desertion
wh2_main_event_feed_cult_lizardmen_attrition_desertion	desertion
wh2_main_event_feed_cult_skaven_attrition_desertion	desertion
wh3_dlc23_event_feed_cult_chaos_dwarfs_attrition_desertion	desertion
wh3_main_event_feed_cult_all_attrition_kislev_winter	kislev_winter
wh3_main_event_feed_cult_all_attrition_nurgle_realm	nurgle_realm
wh3_main_event_feed_cult_all_attrition_ogre_meat	ogre_meat
wh3_main_event_feed_cult_all_attrition_plague_nurgle	plague_nurgle
wh3_main_event_feed_cult_cathay_attrition_desertion	desertion
wh3_main_event_feed_cult_daemons_attrition_desertion	desertion
wh3_main_event_feed_cult_khorne_attrition_desertion	desertion
wh3_main_event_feed_cult_kislev_attrition_desertion	desertion
wh3_main_event_feed_cult_nurgle_attrition_desertion	desertion
wh3_main_event_feed_cult_ogre_kingdoms_attrition_desertion	desertion
wh3_main_event_feed_cult_slaanesh_attrition_desertion	desertion
wh3_main_event_feed_cult_tzeentch_attrition_desertion	desertion
wh_dlc03_event_feed_cult_beastmen_attrition_low_morale	low_morale
wh_dlc03_event_feed_cult_beastmen_attrition_very_low_morale	very_low_morale
wh_dlc07_feed_cult_bretonnia_attrition_desertion	desertion
wh_event_feed_cult_all_attrition_athel_loren	athel_loren
wh_event_feed_cult_all_attrition_chaos_territory	chaos_territory
wh_event_feed_cult_all_attrition_chaos_wastes	chaos_wastes
wh_event_feed_cult_all_attrition_desert	desert
wh_event_feed_cult_all_attrition_disease	disease
wh_event_feed_cult_all_attrition_high_sea	deep_sea
wh_event_feed_cult_all_attrition_non_vampire_territory	non_vampire_territory
wh_event_feed_cult_all_attrition_nurgle_plague	nurgle_plague
wh_event_feed_cult_all_attrition_snow	snow
wh_event_feed_cult_all_attrition_swamp	swamp
wh_event_feed_cult_all_attrition_vampire_territory	vampire_territory
wh_event_feed_cult_all_attrition_wasteland	wasteland
wh_event_feed_cult_chaos_attrition_desertion	desertion
wh_event_feed_cult_chaos_attrition_horde_infighting	horde_infighting
wh_event_feed_cult_dwarfs_attrition_desertion	desertion
wh_event_feed_cult_empire_attrition_desertion	desertion
wh_event_feed_cult_greenskins_attrition_desertion	desertion
wh_event_feed_cult_greenskins_attrition_low_morale	low_morale
wh_event_feed_cult_greenskins_attrition_very_low_morale	very_low_morale
wh_event_feed_cult_norsca_attrition_desertion	desertion
wh_event_feed_cult_vampire_counts_attrition_desertion	desertion
wh_event_feed_cult_wood_elves_attrition_desertion	desertion
