child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	visible_in_ui
#technology_node_links_tables;0;db/technology_node_links_tables/data__							
dlc05_tech_wef_0_1_0	dlc05_tech_wef_0_0_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_1_1_0	dlc05_tech_wef_0_0_0	0	2	4	0.0000	0.0000	true
dlc16_tech_wef_3_0	dlc05_tech_wef_0_0_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_0_1_1	dlc05_tech_wef_0_1_0	0	1	3	0.0000	0.0000	true
dlc05_tech_wef_0_2_0	dlc05_tech_wef_0_1_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_0_2_1	dlc05_tech_wef_0_2_0	0	1	3	0.0000	0.0000	true
dlc05_tech_wef_0_3_0	dlc05_tech_wef_0_2_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_0_3_1	dlc05_tech_wef_0_3_0	0	1	3	0.0000	0.0000	true
dlc05_tech_wef_0_4_0	dlc05_tech_wef_0_3_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_0_4_1	dlc05_tech_wef_0_4_0	0	1	3	0.0000	0.0000	true
dlc05_tech_wef_0_5_0	dlc05_tech_wef_0_4_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_0_5_1	dlc05_tech_wef_0_5_0	0	1	3	0.0000	0.0000	true
dlc05_tech_wef_0_6_0	dlc05_tech_wef_0_5_0	0	3	1	0.0000	0.0000	true
dlc05_tech_wef_0_6_1	dlc05_tech_wef_0_5_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_1_1_1	dlc05_tech_wef_1_1_0	0	3	1	0.0000	0.0000	true
dlc05_tech_wef_1_2_0	dlc05_tech_wef_1_1_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_1_2_1	dlc05_tech_wef_1_2_0	0	3	1	0.0000	0.0000	true
dlc05_tech_wef_1_3_0	dlc05_tech_wef_1_2_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_1_3_1	dlc05_tech_wef_1_3_0	0	3	1	0.0000	0.0000	true
dlc05_tech_wef_1_4_0	dlc05_tech_wef_1_3_0	0	2	4	0.0000	0.0000	true
dlc05_tech_wef_1_4_1	dlc05_tech_wef_1_4_0	0	3	1	0.0000	0.0000	true
