key	effect_bundle	order	icon_path	campaign_vfx_id
#provincial_initiative_records_tables;0;db/provincial_initiative_records_tables/data__				
wh2_dlc09_edict_tmb_worship_of_asaph	wh2_dlc09_edict_tmb_worship_of_asaph	2	UI/Campaign UI/edicts/wh2_dlc09_worship_of_asaph.png	
wh2_dlc09_edict_tmb_worship_of_djaf	wh2_dlc09_edict_tmb_worship_of_djaf	5	UI/Campaign UI/edicts/wh2_dlc09_worship_of_djaf.png	
wh2_dlc09_edict_tmb_worship_of_khsar	wh2_dlc09_edict_tmb_worship_of_khsar	4	UI/Campaign UI/edicts/wh2_dlc09_worship_of_khsar.png	
wh2_dlc09_edict_tmb_worship_of_phakth	wh2_dlc09_edict_tmb_worship_of_phakth	6	UI/Campaign UI/edicts/wh2_dlc09_worship_of_phakth.png	
wh2_dlc09_edict_tmb_worship_of_ptra	wh2_dlc09_edict_tmb_worship_of_ptra	1	UI/Campaign UI/edicts/wh2_dlc09_worship_of_ptra.png	
wh2_dlc11_edict_cst_bat_swarms	wh2_dlc11_edict_cst_bat_swarms	4	UI/Campaign UI/edicts/wh2_dlc11_edict_cst_bat_swarms.png	
wh2_dlc11_edict_cst_dredge_the_sea	wh2_dlc11_edict_cst_dredge_the_sea	1	UI/Campaign UI/edicts/wh2_dlc11_edict_cst_dredge_the_sea.png	
wh2_dlc11_edict_cst_even_more_powder	wh2_dlc11_edict_cst_even_more_powder	3	UI/Campaign UI/edicts/wh2_dlc11_edict_cst_even_more_powder.png	
wh2_dlc11_edict_cst_share_the_spoils	wh2_dlc11_edict_cst_share_the_spoils	2	UI/Campaign UI/edicts/wh2_dlc11_edict_cst_share_the_spoils.png	
wh2_main_edict_def_demand_hostages	wh2_main_edict_def_demand_hostages	1	UI/Campaign UI/edicts/def_demand_highborn_hostages.png	
wh2_main_edict_def_enforce_tribute	wh2_main_edict_def_enforce_tribute	2	UI/Campaign UI/edicts/def_enforce_tribute_payments.png	
wh2_main_edict_def_increase_production	wh2_main_edict_def_increase_production	4	UI/Campaign UI/edicts/def_increase_slave_production_quota.png	
wh2_main_edict_def_read_portents	wh2_main_edict_def_read_portents	5	UI/Campaign UI/edicts/def_read_dark_portents.png	
wh2_main_edict_def_sacrifices_for_khaine	wh2_main_edict_def_sacrifices_for_khaine	3	UI/Campaign UI/edicts/def_sacrifices_for_khaine.png	
wh2_main_edict_hef_banish_corruption	wh2_main_edict_hef_banish_corruption	5	UI/Campaign UI/edicts/hef_banish_corruption.png	
wh2_main_edict_hef_rally_citizen_militia	wh2_main_edict_hef_rally_citizen_militia	4	UI/Campaign UI/edicts/hef_rally_citizen_militia.png	
wh2_main_edict_hef_reaver_patrols	wh2_main_edict_hef_reaver_patrols	1	UI/Campaign UI/edicts/hef_reaver_patrol.png	
wh2_main_edict_hef_rebuild_lost_splendour	wh2_main_edict_hef_rebuild_lost_splendour	3	UI/Campaign UI/edicts/hef_rebuild_lost_splendour.png	
wh2_main_edict_hef_tribute_for_the_king	wh2_main_edict_hef_tribute_for_the_king	2	UI/Campaign UI/edicts/hef_tribute_to_the_phoenix_king.png	
wh2_main_edict_lzd_alignment_of_crafting	wh2_main_edict_lzd_alignment_of_crafting_1	5	UI/Campaign UI/edicts/lzd_alignment_of_building.png	
wh2_main_edict_lzd_alignment_of_monuments	wh2_main_edict_lzd_alignment_of_monuments_1	4	UI/Campaign UI/edicts/lzd_alignment_of_artisanry.png	
wh2_main_edict_lzd_alignment_of_order	wh2_main_edict_lzd_alignment_of_order_1	3	UI/Campaign UI/edicts/lzd_alignment_of_order.png	
wh2_main_edict_lzd_alignment_of_war	wh2_main_edict_lzd_alignment_of_war_1	2	UI/Campaign UI/edicts/lzd_alignment_of_war.png	
wh2_main_edict_skv_devious_planning	wh2_main_edict_skv_devious_planning	4	UI/Campaign UI/edicts/skv_food_scheme.png	
wh2_main_edict_skv_efficient_planning	wh2_main_edict_skv_efficient_planning	1	UI/Campaign UI/edicts/skv_efficient_scheming.png	
wh2_main_edict_skv_expansionist_planning	wh2_main_edict_skv_expansionist_planning	2	UI/Campaign UI/edicts/skv_expansionist_scheming.png	
wh2_main_edict_skv_martial_planning	wh2_main_edict_skv_martial_planning	3	UI/Campaign UI/edicts/skv_martial_scheming.png	
wh3_dlc20_edict_chs_azazal_dark_delights	wh3_dlc20_edict_chs_azazal_dark_delights	4	UI/Campaign UI/edicts/wh3_main_edict_sla_festival_of_drinking_and_delights.png	
wh3_dlc20_edict_chs_azazal_exploit_vassals	wh3_dlc20_edict_chs_azazal_exploit_vassals	2	UI/Campaign UI/edicts/wh3_dlc20_edict_coc_exploit_vassals.png	
wh3_dlc20_edict_chs_defence	wh3_dlc20_edict_chs_defence	3	UI/Campaign UI/edicts/wh3_dlc20_edict_coc_defence.png	
wh3_dlc20_edict_chs_festus_exploit_vassals	wh3_dlc20_edict_chs_festus_exploit_vassals	2	UI/Campaign UI/edicts/wh3_dlc20_edict_coc_exploit_vassals.png	
wh3_dlc20_edict_chs_festus_plague_apothecary	wh3_dlc20_edict_chs_festus_plague_apothecary	4	UI/Campaign UI/edicts/wh3_main_edict_nur_plague_gods_pasture.png	
wh3_dlc20_edict_chs_valkia_exploit_vassals	wh3_dlc20_edict_chs_valkia_exploit_vassals	2	UI/Campaign UI/edicts/wh3_dlc20_edict_coc_exploit_vassals.png	
wh3_dlc20_edict_chs_valkia_legion_of_hate	wh3_dlc20_edict_chs_valkia_legion_of_hate	4	UI/Campaign UI/edicts/wh3_main_edict_kho_kill.png	
wh3_dlc20_edict_chs_vilitch_exploit_vassals	wh3_dlc20_edict_chs_vilitch_exploit_vassals	2	UI/Campaign UI/edicts/wh3_dlc20_edict_coc_exploit_vassals.png	
wh3_dlc20_edict_chs_vilitch_insights_of_the_void	wh3_dlc20_edict_chs_vilitch_insights_of_the_void	4	UI/Campaign UI/edicts/wh3_main_edict_tze_egrimms_contrivance_algorithm.png	
wh3_dlc20_edict_woc_exploit_vassals	wh3_dlc20_edict_woc_exploit_vassals	2	UI/Campaign UI/edicts/wh3_dlc20_edict_coc_exploit_vassals.png	
wh3_dlc20_edict_woc_portent_of_doom	wh3_dlc20_edict_woc_portent_of_doom	4	UI/Campaign UI/edicts/wh3_dlc20_edict_woc_portent_of_doom.png	
wh3_dlc23_edict_chd_architects	wh3_dlc23_edict_chd_architects	1	UI/Campaign UI/edicts/wh3_dlc23_edict_chd_architects.png	
wh3_dlc23_edict_chd_armaments	wh3_dlc23_edict_chd_armaments	2	UI/Campaign UI/edicts/wh3_dlc23_edict_chd_armaments.png	
wh3_dlc23_edict_chd_higher_quotas	wh3_dlc23_edict_chd_higher_quotas	3	UI/Campaign UI/edicts/wh3_dlc23_edict_chd_higher_quotas.png	
wh3_dlc23_edict_chd_smoke_stacks	wh3_dlc23_edict_chd_smoke_stacks	4	UI/Campaign UI/edicts/wh3_dlc23_edict_chd_smoke_stacks.png	
wh3_dlc24_edict_ksl_anti_chaos	wh3_dlc24_edict_ksl_anti_chaos	5	UI/Campaign UI/edicts/wh3_dlc24_edict_ksl_anti_chaos.png	
wh3_main_edict_cth_the_fire_dragons_statute	wh3_main_edict_cth_the_fire_dragons_statute	4	UI/Campaign UI/edicts/wh3_main_edict_cth_the_fire_dragons_statute.png	
wh3_main_edict_cth_the_great_bastion_growth	wh3_main_edict_cth_the_great_bastion_growth_supplies	4	UI/Campaign UI/edicts/wh3_main_edict_cth_the_fire_dragons_statute.png	
wh3_main_edict_cth_the_great_bastion_patrol	wh3_main_edict_cth_the_great_bastion_patrols	3	UI/Campaign UI/edicts/wh3_main_edict_cth_the_jade_dragons_statute.png	
wh3_main_edict_cth_the_great_bastion_replenish	wh3_main_edict_cth_the_great_bastion_replenish	1	UI/Campaign UI/edicts/wh3_main_edict_cth_the_iron_dragons_statute.png	
wh3_main_edict_cth_the_great_bastion_train	wh3_main_edict_cth_the_great_bastion_training	2	UI/Campaign UI/edicts/wh3_main_edict_cth_the_sea_dragons_statute.png	
wh3_main_edict_cth_the_iron_dragons_statute	wh3_main_edict_cth_the_iron_dragons_statute	2	UI/Campaign UI/edicts/wh3_main_edict_cth_the_iron_dragons_statute.png	
wh3_main_edict_cth_the_jade_dragons_statute	wh3_main_edict_cth_the_jade_dragons_statute	1	UI/Campaign UI/edicts/wh3_main_edict_cth_the_jade_dragons_statute.png	
wh3_main_edict_cth_the_sea_dragons_statute	wh3_main_edict_cth_the_sea_dragons_statute	5	UI/Campaign UI/edicts/wh3_main_edict_cth_the_sea_dragons_statute.png	
wh3_main_edict_cth_the_storm_dragons_statute	wh3_main_edict_cth_the_storm_dragons_statute	3	UI/Campaign UI/edicts/wh3_main_edict_cth_the_storm_dragons_statute.png	
wh3_main_edict_dae_foster_cults	wh3_main_edict_dae_foster_cults	1	UI/Campaign UI/edicts/wh3_main_edict_dae_foster_cults.png	
wh3_main_edict_dae_khorne	wh3_main_edict_dae_khorne	2	UI/Campaign UI/edicts/wh3_main_edict_dae_khorne.png	
wh3_main_edict_dae_nurgle	wh3_main_edict_dae_nurgle	3	UI/Campaign UI/edicts/wh3_main_edict_dae_nurgle.png	
wh3_main_edict_dae_slaanesh	wh3_main_edict_dae_slaanesh	4	UI/Campaign UI/edicts/wh3_main_edict_dae_slaanesh.png	
wh3_main_edict_dae_tzeentch	wh3_main_edict_dae_tzeentch	5	UI/Campaign UI/edicts/wh3_main_edict_dae_tzeentch.png	
wh3_main_edict_kho_destroy	wh3_main_edict_kho_destroy	4	UI/Campaign UI/edicts/wh3_main_edict_kho_destroy.png	
wh3_main_edict_kho_foster_cults	wh3_main_edict_kho_foster_cults	1	UI/Campaign UI/edicts/wh3_main_edict_kho_foster_cults.png	
wh3_main_edict_kho_kill	wh3_main_edict_kho_kill	2	UI/Campaign UI/edicts/wh3_main_edict_kho_kill.png	
wh3_main_edict_kho_maim	wh3_main_edict_kho_maim	3	UI/Campaign UI/edicts/wh3_main_edict_kho_maim.png	
wh3_main_edict_ksl_awaken_the_land	wh3_main_edict_ksl_awaken_the_land	2	UI/Campaign UI/edicts/wh3_main_edict_ksl_awaken_the_land.png	
wh3_main_edict_ksl_purge_the_steppes	wh3_main_edict_ksl_purge_the_steppes	1	UI/Campaign UI/edicts/wh3_main_edict_ksl_purge_the_steppes.png	
