mission_key	weight
#mission_weights_tables;0;db/mission_weights_tables/data__	
wh2_dlc09_grudge_defeat_army_tmb	4
wh2_dlc09_grudge_defeat_raiding_army_tmb	2
wh2_dlc09_grudge_defeat_sacking_army_tmb	3
wh2_dlc09_grudge_recapture_settlement_tmb	3
wh2_dlc11_grudge_defeat_army_cst	4
wh2_dlc11_grudge_defeat_raiding_army_cst	2
wh2_dlc11_grudge_defeat_sacking_army_cst	3
wh2_dlc11_grudge_recapture_settlement_cst	3
wh2_dlc11_mission_harpoon	1
wh2_dlc11_mission_piece_of_eight_1	1
wh2_dlc11_mission_piece_of_eight_2	1
wh2_dlc11_mission_piece_of_eight_3	1
wh2_dlc11_mission_piece_of_eight_4	1
wh2_dlc11_mission_piece_of_eight_5	1
wh2_dlc11_mission_piece_of_eight_6	1
wh2_dlc11_mission_piece_of_eight_7	1
wh2_dlc17_grudge_legendary_enemy_dark_elves	10
wh2_dlc17_grudge_legendary_enemy_grimgor	6
wh2_dlc17_grudge_legendary_enemy_high_elves	5
wh2_dlc17_grudge_legendary_enemy_queek	5
wh2_dlc17_grudge_legendary_enemy_skarsnik	5
wh2_dlc17_grudge_legendary_enemy_snikch	6
wh2_dlc17_grudge_legendary_enemy_throt	10
wh2_dlc17_grudge_legendary_settlement_black_crag	10
wh2_dlc17_grudge_legendary_settlement_karak_azgal	6
wh2_dlc17_grudge_legendary_settlement_karak_ungor	10
wh2_dlc17_grudge_legendary_settlement_karak_vlag	7
wh2_dlc17_grudge_legendary_settlement_mount_gunbad	10
wh2_dlc17_grudge_legendary_settlement_mount_silverspear	10
wh2_dlc17_grudge_legendary_settlement_silver_pinnacle	10
wh2_dlc17_main_grudge_legendary_artefact_beard_rings_of_grimnir	6
wh2_dlc17_main_grudge_legendary_artefact_blessed_pick_of_grungni	6
wh2_dlc17_main_grudge_legendary_artefact_keepsake_of_gazuls_favoured	6
wh2_dlc17_main_grudge_legendary_artefact_lost_gifts_of_valaya	6
wh2_dlc17_main_grudge_legendary_artefact_morgrims_gears_of_war	6
wh2_dlc17_main_grudge_legendary_artefact_ratons_collar_of_bestial_control	6
wh2_dlc17_main_grudge_legendary_artefact_smednirs_metallurgy_cipher	6
wh2_dlc17_main_grudge_legendary_artefact_thungnis_tongs_of_the_runesmith	6
wh2_main_dwf_ungrim_start_mission	1
wh2_main_grudge_defeat_army_def	4
wh2_main_grudge_defeat_army_hef	4
wh2_main_grudge_defeat_army_lzd	4
wh2_main_grudge_defeat_army_skv	4
wh2_main_grudge_defeat_raiding_army_def	2
wh2_main_grudge_defeat_raiding_army_hef	2
wh2_main_grudge_defeat_raiding_army_lzd	2
wh2_main_grudge_defeat_raiding_army_skv	2
wh2_main_grudge_defeat_sacking_army_def	3
wh2_main_grudge_defeat_sacking_army_hef	3
wh2_main_grudge_defeat_sacking_army_lzd	3
wh2_main_grudge_defeat_sacking_army_skv	3
wh2_main_grudge_recapture_settlement_def	3
wh2_main_grudge_recapture_settlement_hef	3
wh2_main_grudge_recapture_settlement_lzd	3
wh3_dlc21_grudge_legendary_enemy_throt	10
wh3_main_grudge_defeat_army_cth	4
wh3_main_grudge_defeat_army_dae	4
wh3_main_grudge_defeat_army_ksl	4
wh3_main_grudge_defeat_army_ogr	4
wh3_main_grudge_defeat_raiding_army_cth	2
