faction_key	faction_group	is_major_faction	sort_order	show_in_frontend
#frontend_faction_groups_to_factions_tables;1;db/frontend_faction_groups_to_factions_tables/data__				
wh2_dlc09_skv_clan_rictus	destruction	false	152	false
wh2_dlc09_tmb_exiles_of_nehek	destruction	false	171	false
wh2_dlc09_tmb_followers_of_nagash	destruction	false	173	false
wh2_dlc09_tmb_khemri	destruction	true	170	true
wh2_dlc09_tmb_lybaras	destruction	false	172	false
wh2_dlc11_cst_noctilus	destruction	false	191	false
wh2_dlc11_cst_pirates_of_sartosa	destruction	false	192	false
wh2_dlc11_cst_the_drowned	destruction	false	193	false
wh2_dlc11_cst_vampire_coast	destruction	true	190	true
wh2_dlc11_def_the_blessed_dread	destruction	false	33	false
wh2_dlc11_vmp_the_barrow_legion	destruction	false	201	false
wh2_dlc12_lzd_cult_of_sotek	order	false	112	false
wh2_dlc13_emp_golden_order	order	false	51	false
wh2_dlc13_emp_the_huntmarshals_expedition	order	false	52	true
wh2_dlc13_lzd_spirits_of_the_jungle	order	false	115	false
wh2_dlc14_brt_chevaliers_de_lyonesse	order	false	13	true
wh2_dlc15_grn_bonerattlaz	destruction	false	71	false
wh2_dlc15_grn_broken_axe	destruction	true	74	true
wh2_dlc15_hef_imrik	order	false	85	false
wh2_dlc16_wef_drycha	order	false	223	false
wh2_dlc16_wef_sisters_of_twilight	order	false	222	true
wh2_dlc17_bst_malagor	destruction	false	1	false
wh2_dlc17_bst_taurox	destruction	false	3	true
wh2_dlc17_dwf_thorek_ironbrow	order	false	44	true
wh2_dlc17_lzd_oxyotl	order	false	116	false
wh2_main_def_cult_of_pleasure	destruction	false	31	false
wh2_main_def_hag_graef	destruction	false	34	false
wh2_main_def_har_ganeth	destruction	false	32	false
wh2_main_def_naggarond	destruction	true	30	true
wh2_main_hef_avelorn	order	false	82	false
wh2_main_hef_eataine	order	true	80	true
wh2_main_hef_nagarythe	order	false	83	false
wh2_main_hef_order_of_loremasters	order	false	81	false
wh2_main_hef_yvresse	order	false	84	false
wh2_main_lzd_hexoatl	order	true	110	true
wh2_main_lzd_itza	order	false	114	false
wh2_main_lzd_last_defenders	order	false	111	false
wh2_main_lzd_tlaqua	order	false	113	false
wh2_main_skv_clan_eshin	destruction	false	154	false
wh2_main_skv_clan_mors	destruction	true	150	true
wh2_main_skv_clan_moulder	destruction	false	155	false
wh2_main_skv_clan_pestilens	destruction	false	151	false
wh2_main_skv_clan_skryre	destruction	false	153	false
wh2_twa03_def_rakarth	destruction	false	35	false
wh3_dlc20_chs_azazel	destruction	false	220	false
wh3_dlc20_chs_festus	destruction	false	221	false
wh3_dlc20_chs_kholek	destruction	false	211	false
wh3_dlc20_chs_sigvald	destruction	false	212	false
wh3_dlc20_chs_valkia	destruction	false	222	false
wh3_dlc20_chs_vilitch	destruction	false	223	false
wh3_dlc24_cth_the_celestial_court	order	false	62	false
wh3_dlc24_ksl_daughters_of_the_forest	order	false	103	false
wh3_dlc24_tze_the_deceivers	order	true	181	false
wh3_dlc26_grn_gorbad_ironclaw	destruction	true	75	false
wh3_dlc26_kho_arbaal	order	true	92	false
wh3_dlc26_kho_skulltaker	order	true	91	false
wh3_dlc26_ogr_golgfag	order	false	142	false
wh3_dlc27_hef_aislinn	order	false	86	false
wh3_dlc27_nor_sayl	destruction	true	122	false
wh3_dlc27_sla_masque_of_slaanesh	order	false	666	false
wh3_dlc27_sla_the_tormentors	order	false	161	false
wh3_main_chs_shadow_legion	destruction	false	224	false
wh3_main_cth_the_northern_provinces	order	true	60	false
wh3_main_cth_the_western_provinces	order	false	61	false
wh3_main_dae_daemon_prince	order	true	20	false
wh3_main_dwf_the_ancestral_throng	order	false	43	false
wh3_main_emp_cult_of_sigmar	order	false	53	false
wh3_main_kho_exiles_of_khorne	order	true	90	false
wh3_main_ksl_the_great_orthodoxy	order	false	101	false
wh3_main_ksl_the_ice_court	order	true	100	false
wh3_main_ksl_ursun_revivalists	order	false	102	false
wh3_main_nur_poxmakers_of_nurgle	order	true	130	false
wh3_main_ogr_disciples_of_the_maw	order	false	141	false
wh3_main_ogr_goldtooth	order	true	140	false
wh3_main_sla_seducers_of_slaanesh	order	true	160	false
wh3_main_tze_oracles_of_tzeentch	order	true	180	false
wh3_main_vmp_caravan_of_blue_roses	destruction	false	203	false
wh3_prologue_kislev_expedition	order	true	909	false
wh_dlc03_bst_beastmen	destruction	true	0	true
wh_dlc05_bst_morghur_herd	destruction	false	2	false
wh_dlc05_wef_argwylon	order	false	221	false
wh_dlc05_wef_wood_elves	order	true	220	false
wh_dlc08_nor_norsca	destruction	true	120	true
wh_dlc08_nor_wintertooth	destruction	false	121	false
wh_main_brt_bordeleaux	order	false	11	false
wh_main_brt_bretonnia	order	true	10	false
wh_main_brt_carcassonne	order	false	12	false
wh_main_chs_chaos	destruction	true	210	false
wh_main_dwf_dwarfs	order	true	40	true
wh_main_dwf_karak_izor	order	false	42	false
wh_main_dwf_karak_kadrin	order	false	41	false
wh_main_emp_empire	order	true	50	false
wh_main_grn_crooked_moon	destruction	false	72	false
wh_main_grn_greenskins	destruction	true	70	false
wh_main_grn_orcs_of_the_bloody_hand	destruction	false	73	false
wh_main_vmp_schwartzhafen	destruction	false	202	false
wh_main_vmp_vampire_counts	destruction	true	200	true
