task_generator_group_key	task_generator_key	task_generator_variable_group	priority
#cai_task_management_system_task_generator_groups_generators_junctions_tables;1;db/cai_task_management_system_task_generator_groups_generators_junctions_tables/data__			
wh3_combi_tms_generator_group_aggressive_additive	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_RECENTLY_CAPTURED_TERRITORY	time_horizon_4	-3.0000
wh3_combi_tms_generator_group_aggressive_additive	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_FORCES		5.0000
wh3_combi_tms_generator_group_aggressive_additive	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_FORCES_NEAR_RECENTLY_LOST_REGIONS		-4.0000
wh3_combi_tms_generator_group_aggressive_additive	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_ENEMY_SETTLEMENTS		5.0000
wh3_combi_tms_generator_group_aggressive_additive	CAI_TMS_TASK_GENERATOR_RECAPTURE_RECENTLY_LOST_TERRITORY		-4.0000
wh3_combi_tms_generator_group_beastmen_brayherd	CAI_TMS_TASK_GENERATOR_WAAGH_ARMY_FOLLOW_LEADER		1.0000
wh3_combi_tms_generator_group_beastmen_brayherd	CAI_TMS_TASK_GENERATOR_WAR_COORDINATION_ATTACK_FORCES		1.0000
wh3_combi_tms_generator_group_beastmen_brayherd	CAI_TMS_TASK_GENERATOR_WAR_COORDINATION_ATTACK_REGIONS		1.0000
wh3_combi_tms_generator_group_beastmen_specific_additive	CAI_TMS_TASK_GENERATOR_BEASTMEN_ATTACK_POTENTIAL_HERDSTONE_SITES		4.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_CAPITAL		0.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_RECENTLY_CAPTURED_ALLIED_HUMAN_TERRITORY		0.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_RECENTLY_CAPTURED_TERRITORY	time_horizon_4	0.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_REGIONS_NEIGHBOURING_ENEMY_MAIN_THREAT		0.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_ACTIVELY_DEFEND_REGIONS_NEIGHBOURING_MAIN_THREAT		0.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_DEFEND_BESIEGED_SETTLEMENT		0.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_DEFEND_OWNED_REGIONS		0.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_DEFEND_REGIONS_AMBIENT		1.0000
wh3_combi_tms_generator_group_brutal_override	CAI_TMS_TASK_GENERATOR_DEFEND_REGIONS_NEIGHBOURING_ENEMY		0.0000
wh3_combi_tms_generator_group_cathay_gatecapture_additive	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_FLAGGED_REGIONS_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY		10.0000
wh3_combi_tms_generator_group_cathay_gatecapture_additive	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_FLAGGED_VICTORY_CONDITION_REGIONS		10.0000
wh3_combi_tms_generator_group_cathay_gatecapture_additive	CAI_TMS_TASK_GENERATOR_ATTACK_LOCAL_FLAGGED_VICTORY_CONDITION_REGIONS		10.0000
wh3_combi_tms_generator_group_cathay_specific_additive	CAI_TMS_GDS_TASK_GENERATOR_ATTACK_FORCES_IN_CATHAY_SHOULDNT_ENTER		-30.0000
wh3_combi_tms_generator_group_cathay_specific_additive	CAI_TMS_GDS_TASK_GENERATOR_ATTACK_REGIONS_IN_CATHAY_SHOULDNT_ENTER		-30.0000
wh3_combi_tms_generator_group_cathay_specific_additive	CAI_TMS_TASK_GENERATOR_DEFEND_FLAGGED_VICTORY_CONDITION_REGIONS		5.0000
wh3_combi_tms_generator_group_chaos_gatedestroyer	CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_NEARBY_SETTLEMENT_IF_FRIENDLY_ARMY_PRESENT		10.0000
wh3_combi_tms_generator_group_chaos_gatedestroyer	CAI_TMS_GDS_TASK_GENERATOR_AGENT_ATTACK_SETTLEMENTS_NEAR_FLAGGED_REGIONS_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY		1.0000
wh3_combi_tms_generator_group_chaos_gatedestroyer	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_FLAGGED_REGIONS_OWNED_BY_ANOTHER_SUBCULTURED_ENEMY		5.0000
wh3_combi_tms_generator_group_chaos_gatedestroyer	CAI_TMS_TASK_GENERATOR_ATTACK_ALL_FLAGGED_VICTORY_CONDITION_REGIONS		5.0000
wh3_combi_tms_generator_group_chaos_gatedestroyer	CAI_TMS_TASK_GENERATOR_ATTACK_LOCAL_FLAGGED_VICTORY_CONDITION_REGIONS		10.0000
wh3_combi_tms_generator_group_chaos_settled_belakor	CAI_TMS_GDS_TASK_GENERATOR_AGENT_DEPLOY_IN_UNDISCOVERED_FACTIONS_REGIONS_WHEN_HAVE_NO_PORTS	agent_deploy_to_region	15.0000
wh3_combi_tms_generator_group_chaos_settled_specific_additive	CAI_TMS_GDS_TASK_GENERATOR_ATTACK_DARK_FORTRESS		4.0000
wh3_combi_tms_generator_group_chaos_settled_specific_additive	CAI_TMS_GDS_TASK_GENERATOR_BAY_OF_BLADES_EARLY		-8.0000
wh3_combi_tms_generator_group_chaos_settled_specific_additive	CAI_TMS_GDS_TASK_GENERATOR_DONT_RECOLONISE_GATE_RUINS		-100.0000
wh3_combi_tms_generator_group_chaos_settled_specific_additive	CAI_TMS_GDS_TASK_GENERATOR_RECRUIT_WITH_MAIN_ARMY		-150.0000
