effect	bonus_value_id	building_chain
#effect_bonus_value_building_chain_junctions_tables;0;db/effect_bonus_value_building_chain_junctions_tables/data__		
wh3_dlc25_effect_construction_cost_emp_elspelth_buildings	mod_cost	wh3_dlc25_EMPIRE_shooting_range
wh3_dlc25_effect_construction_cost_emp_elspelth_buildings	mod_cost	wh_main_EMPIRE_forges
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_foreign_slot_discovery_kho
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_heavy_cav
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_infra_champion
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_walls_major
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_walls_minor
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_kho_warriors
wh3_dlc26_effect_building_construction_cost_mod_mortal_defence	mod_cost	wh3_main_prologue_kho_warriors
wh3_dlc26_effect_building_construction_mod_firemouth	mod_cost	wh3_main_ogr_settlement_corruption
wh3_dlc26_effect_building_construction_mod_spiders	mod_cost	wh_main_GREENSKIN_forest_beasts
wh3_dlc26_effect_building_construction_mod_squig	mod_cost	wh_dlc06_GREENSKIN_squigs
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_foreign_slot_discovery_kho
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_heavy_cav
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_infra_champion
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_walls_major
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_walls_minor
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_kho_warriors
wh3_dlc26_effect_building_construction_time_mod_mortal_defence	mod_build_time	wh3_main_prologue_kho_warriors
wh3_main_effect_building_construction_cost_mod_orthodoxy	mod_cost	wh3_main_ksl_gold
wh3_main_effect_building_construction_cost_mod_orthodoxy	mod_cost	wh3_main_ksl_kislev_city_temple
