building_level	ownership_content_pack
#building_level_ownership_content_pack_junctions_tables;0;db/building_level_ownership_content_pack_junctions_tables/data__	
wh2_dlc10_hef_hunters_3	wh2_dlc10_queen_crone
wh2_dlc12_lzd_terradons_2	wh2_dlc12_prophet
wh2_dlc12_lzd_terradons_2	wh2_dlc17_silence
wh3_dlc26_grn_squigs_2	wh3_dlc26_omens_of_destruction_grn
wh3_dlc26_kho_monster_5	wh3_dlc26_omens_of_destruction_kho
wh3_main_nur_2_5	wh3_dlc20_champions
wh3_main_nur_2_6	wh3_dlc20_champions
wh3_main_nur_4_7	wh3_dlc25_tod_and_coc_building_lock
wh3_main_nur_4_8	wh3_dlc25_tod_and_coc_building_lock
wh_dlc06_grn_squigs_1	wh3_dlc26_omens_or_king_squig_building_lock
