key	display_path	logic_file_override	collision_file_override	logic_file	collision_file
#models_building_tables;8;db/models_building_tables/data__					
beech_mushrooms_a	terrain_props/wh_foliage			rigidmodels\buildings\beech_mushrooms_a\beech_mushrooms_a_tech.cs2.parsed	rigidmodels\buildings\beech_mushrooms_a\beech_mushrooms_a_tech.cs2.collision
beech_mushrooms_b	terrain_props/wh_foliage			rigidmodels\buildings\beech_mushrooms_b\beech_mushrooms_b_tech.cs2.parsed	rigidmodels\buildings\beech_mushrooms_b\beech_mushrooms_b_tech.cs2.collision
beech_mushrooms_c	terrain_props/wh_foliage			rigidmodels\buildings\beech_mushrooms_c\beech_mushrooms_c_tech.cs2.parsed	rigidmodels\buildings\beech_mushrooms_c\beech_mushrooms_c_tech.cs2.collision
blk_barricade	buildings/blk			rigidmodels\buildings\blk_barricade\blk_barricade_tech.cs2.parsed	rigidmodels\buildings\blk_barricade\blk_barricade_tech.cs2.collision
blk_barricade_frost_pillar_01	buildings/blk			rigidmodels\buildings\blk_barricade_frost_pillar_01\blk_barricade_frost_pillar_01_tech.cs2.parsed	rigidmodels\buildings\blk_barricade_frost_pillar_01\blk_barricade_frost_pillar_01_tech.cs2.collision
blk_barricade_frostbite_01	buildings/blk			rigidmodels\buildings\blk_barricade_frostbite_01\blk_barricade_frostbite_01_tech.cs2.parsed	rigidmodels\buildings\blk_barricade_frostbite_01\blk_barricade_frostbite_01_tech.cs2.collision
blk_barricade_ice_01	buildings/blk			rigidmodels\buildings\blk_barricade_ice_01\blk_barricade_ice_01_tech.cs2.parsed	rigidmodels\buildings\blk_barricade_ice_01\blk_barricade_ice_01_tech.cs2.collision
blk_barricade_ice_block_01	buildings/ksl/infield			rigidmodels\buildings\blk_barricade_ice_block_01\blk_barricade_ice_block_01_tech.cs2.parsed	rigidmodels\buildings\blk_barricade_ice_block_01\blk_barricade_ice_block_01_tech.cs2.collision
blk_barricade_icicles_01	buildings/blk			rigidmodels\buildings\blk_barricade_icicles_01\blk_barricade_icicles_01_tech.cs2.parsed	rigidmodels\buildings\blk_barricade_icicles_01\blk_barricade_icicles_01_tech.cs2.collision
blk_barricade_sheet_of_ice_01	buildings/blk			rigidmodels\buildings\blk_barricade_sheet_of_ice_01\blk_barricade_sheet_of_ice_01_tech.cs2.parsed	rigidmodels\buildings\blk_barricade_sheet_of_ice_01\blk_barricade_sheet_of_ice_01_tech.cs2.collision
blk_bridge_01	buildings/blk			rigidmodels\buildings\blk_bridge_01\blk_bridge_01_tech.cs2.parsed	rigidmodels\buildings\blk_bridge_01\blk_bridge_01_tech.cs2.collision
blk_cube10x10_01	buildings/proxies/blk_sim			rigidmodels\buildings\blk_cube10x10_01\blk_cube10x10_01_tech.cs2.parsed	rigidmodels\buildings\blk_cube10x10_01\blk_cube10x10_01_tech.cs2.collision
blk_cube10x10_01_30m	proxies/blk_sim			rigidmodels\buildings\blk_cube10x10_01_30m\blk_cube10x10_01_30m_tech.cs2.parsed	rigidmodels\buildings\blk_cube10x10_01_30m\blk_cube10x10_01_30m_tech.cs2.collision
blk_platform_corner_45	buildings/blk/blk_platform			rigidmodels\buildings\blk_platform_corner_45\blk_platform_corner_45_tech.cs2.parsed	rigidmodels\buildings\blk_platform_corner_45\blk_platform_corner_45_tech.cs2.collision
blk_platform_corner_90	buildings/blk/blk_platform			rigidmodels\buildings\blk_platform_corner_90\blk_platform_corner_90_tech.cs2.parsed	rigidmodels\buildings\blk_platform_corner_90\blk_platform_corner_90_tech.cs2.collision
blk_platform_straight_01	buildings/blk/blk_platform			rigidmodels\buildings\blk_platform_straight_01\blk_platform_straight_01_tech.cs2.parsed	rigidmodels\buildings\blk_platform_straight_01\blk_platform_straight_01_tech.cs2.collision
blk_platform_tunnel	buildings/blk/blk_platform			rigidmodels\buildings\blk_platform_tunnel\blk_platform_tunnel_tech.cs2.parsed	rigidmodels\buildings\blk_platform_tunnel\blk_platform_tunnel_tech.cs2.collision
blk_tower_17m_01	buildings/blk			rigidmodels\buildings\blk_tower_17m_01\blk_tower_17m_01_tech.cs2.parsed	rigidmodels\buildings\blk_tower_17m_01\blk_tower_17m_01_tech.cs2.collision
blk_triangle10x10_01	proxies/blk_sim			rigidmodels\buildings\blk_triangle10x10_01\blk_triangle10x10_01_tech.cs2.parsed	rigidmodels\buildings\blk_triangle10x10_01\blk_triangle10x10_01_tech.cs2.collision
blk_watch_tower_01	buildings/blk			rigidmodels\buildings\blk_watch_tower_01\blk_watch_tower_01_tech.cs2.parsed	rigidmodels\buildings\blk_watch_tower_01\blk_watch_tower_01_tech.cs2.collision
brt_alpha_bunting	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_bunting\brt_alpha_bunting_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_bunting\brt_alpha_bunting_tech.cs2.collision
brt_alpha_bunting_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_bunting_01\brt_alpha_bunting_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_bunting_01\brt_alpha_bunting_01_tech.cs2.collision
brt_alpha_bunting_short_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_bunting_short_01\brt_alpha_bunting_short_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_bunting_short_01\brt_alpha_bunting_short_01_tech.cs2.collision
brt_alpha_cup_01	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_cup_01\brt_alpha_cup_01_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_cup_01\brt_alpha_cup_01_tech.cs2.collision
brt_alpha_dove	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_dove\brt_alpha_dove_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_dove\brt_alpha_dove_tech.cs2.collision
brt_alpha_dragon	buildings/brt/hero_buildings/alphas			rigidmodels\buildings\brt_alpha_dragon\brt_alpha_dragon_tech.cs2.parsed	rigidmodels\buildings\brt_alpha_dragon\brt_alpha_dragon_tech.cs2.collision
