component_id	treaty	initial_value	value1	turn1	value2	turn2
#cai_personality_diplomatic_treaty_values_tables;3;db/cai_personality_diplomatic_treaty_values_tables/data__						
wh3_default	CLIENT_STATE_CLIENT	40.0000	40.0000	1.0000	25.0000	50.0000
wh3_default	CLIENT_STATE_PROTECTOR	40.0000	40.0000	1.0000	25.0000	50.0000
wh3_default	DEFENSIVE_ALLIANCE	30.0000	50.0000	50.0000	50.0000	50.0000
wh3_default	MILITARY_ACCESS	10.0000	15.0000	50.0000	15.0000	50.0000
wh3_default	MILITARY_ALLIANCE	45.0000	60.0000	50.0000	60.0000	50.0000
wh3_default	NON_AGGRESSION_PACT	15.0000	30.0000	50.0000	30.0000	50.0000
wh3_default	TRADE_AGREEMENT	10.0000	20.0000	50.0000	20.0000	50.0000
wh3_default	VASSALAGE_MASTER	100.0000	100.0000	1.0000	25.0000	50.0000
wh3_default	VASSALAGE_VASSAL	100.0000	100.0000	1.0000	15.0000	50.0000
wh3_default	WAR	-30.0000	-30.0000	1.0000	-10.0000	50.0000
wh3_holds_grudges	CLIENT_STATE_CLIENT	40.0000	40.0000	1.0000	25.0000	50.0000
wh3_holds_grudges	CLIENT_STATE_PROTECTOR	40.0000	40.0000	1.0000	25.0000	50.0000
wh3_holds_grudges	DEFENSIVE_ALLIANCE	30.0000	50.0000	50.0000	50.0000	50.0000
wh3_holds_grudges	MILITARY_ACCESS	10.0000	15.0000	50.0000	15.0000	50.0000
wh3_holds_grudges	MILITARY_ALLIANCE	45.0000	60.0000	50.0000	60.0000	50.0000
wh3_holds_grudges	NON_AGGRESSION_PACT	15.0000	30.0000	50.0000	30.0000	50.0000
wh3_holds_grudges	TRADE_AGREEMENT	10.0000	20.0000	50.0000	20.0000	50.0000
wh3_holds_grudges	VASSALAGE_MASTER	100.0000	100.0000	1.0000	25.0000	50.0000
wh3_holds_grudges	VASSALAGE_VASSAL	100.0000	100.0000	1.0000	15.0000	50.0000
wh3_holds_grudges	WAR	-30.0000	-30.0000	1.0000	-10.0000	50.0000
wh3_tomb_kings	CLIENT_STATE_CLIENT	20.0000	40.0000	20.0000	10.0000	50.0000
wh3_tomb_kings	CLIENT_STATE_PROTECTOR	20.0000	40.0000	20.0000	10.0000	50.0000
wh3_tomb_kings	DEFENSIVE_ALLIANCE	10.0000	20.0000	10.0000	50.0000	20.0000
wh3_tomb_kings	MILITARY_ACCESS	5.0000	10.0000	10.0000	5.0000	20.0000
wh3_tomb_kings	MILITARY_ALLIANCE	20.0000	30.0000	10.0000	50.0000	50.0000
wh3_tomb_kings	NON_AGGRESSION_PACT	5.0000	10.0000	10.0000	0.0000	20.0000
wh3_tomb_kings	TRADE_AGREEMENT	10.0000	15.0000	10.0000	40.0000	50.0000
wh3_tomb_kings	VASSALAGE_MASTER	50.0000	100.0000	1.0000	25.0000	50.0000
wh3_tomb_kings	VASSALAGE_VASSAL	50.0000	100.0000	1.0000	15.0000	50.0000
wh3_tomb_kings	WAR	-30.0000	-30.0000	1.0000	-10.0000	50.0000
