bonus_value_id	effect	missile_weapon_junction
#effect_bonus_value_missile_weapon_junctions_tables;0;db/effect_bonus_value_missile_weapon_junctions_tables/data__		
enable	wh2_dlc11_effect_character_ammunition_type_blunderbuss_shot	1277265313
enable	wh2_dlc11_effect_character_ammunition_type_blunderbuss_shot	1495614411
enable	wh2_dlc11_effect_character_ammunition_type_blunderbuss_shot	1846671182
enable	wh2_dlc11_effect_character_ammunition_type_blunderbuss_shot	2071118437
enable	wh2_dlc11_effect_character_ammunition_type_blunderbuss_shot	404375395
enable	wh2_dlc11_effect_character_ammunition_type_blunderbuss_shot	45159837
enable	wh2_dlc11_effect_character_ammunition_type_blunderbuss_shot	503577128
enable	wh2_dlc11_effect_character_ammunition_type_blunderbuss_shot	786100440
enable	wh2_dlc11_effect_character_ammunition_type_explosive_bullets	916785152
enable	wh2_dlc12_effect_character_ammunition_type_concentrated_flame_warpfire_thrower	372262727
enable	wh2_dlc12_effect_character_ammunition_type_concentrated_flame_warpfire_thrower	46423016
enable	wh2_dlc12_effect_character_ammunition_type_concentrated_flame	1383871299
enable	wh2_dlc12_effect_character_ammunition_type_double_shot_doomwheel_mounts	1726722356
enable	wh2_dlc12_effect_character_ammunition_type_double_shot_doomwheel_mounts	1861605367
enable	wh2_dlc12_effect_character_ammunition_type_double_shot_doomwheel	1846947701
enable	wh2_dlc13_anti_large_projectile_huntsmen_archers	1002418642
enable	wh2_dlc13_anti_large_projectile_huntsmen_archers	1167145313
enable	wh2_dlc13_anti_large_projectile_huntsmen_archers	1216980259
enable	wh2_dlc13_anti_large_projectile_huntsmen_archers	763358415
enable	wh2_dlc13_anti_large_projectile_huntsmen_archers	959777913
enable	wh2_dlc13_emp_extra_projectile_wulfhart_hunters	1143610294
enable	wh2_dlc13_emp_extra_projectile_wulfhart_hunters	2128977314
enable	wh2_dlc13_emp_extra_projectile_wulfhart_hunters	631139443
enable	wh2_dlc14_effect_faction_effect_snikch_upgraded_runner_missiles	1090643988
enable	wh2_dlc14_effect_faction_effect_snikch_upgraded_runner_missiles	1486285833
enable	wh2_dlc14_effect_faction_effect_snikch_upgraded_runner_missiles	1834313589
enable	wh2_dlc14_effect_faction_effect_snikch_upgraded_runner_missiles	454295057
enable	wh2_dlc14_effect_faction_effect_snikch_upgraded_runner_missiles	67635849
enable	wh2_dlc14_effect_faction_effect_snikch_upgraded_runner_missiles	831285982
enable	wh2_dlc14_projectile_replacement_poison_wind_mortar_alt	511267213
enable	wh2_dlc14_projectile_replacement_poison_wind_mortar_alt	661463756
enable	wh2_dlc14_skv_anti_large_projectile_posion_wind_globaldier	1579995501
enable	wh2_dlc14_skv_anti_large_projectile_posion_wind_globaldier	846140530
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	1000112097
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	100672891
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	1843896389
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	187094290
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	206936404
enable	wh2_dlc15_projectile_replacement_goblin_anti_large_arrow	545973590
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	172761926
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	311581993
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	536970774
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	622155568
enable	wh2_dlc15_projectile_replacement_goblin_ap_arrow	627992334
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	1746359633
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	235136589
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	472412660
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	525674534
enable	wh2_dlc15_projectile_replacement_goblin_explosive_arrow	681851786
