member	effect
#campaign_group_member_criteria_unit_purchasable_effects_tables;0;db/campaign_group_member_criteria_unit_purchasable_effects_tables/data__	
wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction	wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction
wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection	wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection
wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel	wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel
wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction
wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_2	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_2
wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_3	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_3
wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal
wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save	wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save
wh2_dlc16_throt_flesh_lab_instability	wh2_dlc16_throt_flesh_lab_instability
wh2_dlc16_throt_flesh_lab_instability_1	wh2_dlc16_throt_flesh_lab_instability_1
wh2_dlc16_throt_flesh_lab_instability_2	wh2_dlc16_throt_flesh_lab_instability_2
wh2_dlc16_throt_flesh_lab_instability_3	wh2_dlc16_throt_flesh_lab_instability_3
wh2_dlc16_throt_flesh_lab_instability_4	wh2_dlc16_throt_flesh_lab_instability_4
wh2_dlc16_throt_flesh_lab_instability_5	wh2_dlc16_throt_flesh_lab_instability_5
wh2_dlc16_throt_flesh_lab_instability_6	wh2_dlc16_throt_flesh_lab_instability_6
