key	ambience_start_event	ambience_stop_event	ambience_only_play_if_primary	ambience_only_play_if_port	one_shot_event	one_shot_min_time	one_shot_max_time	one_shot_only_play_if_primary	one_shot_only_play_if_port	selected_event	reverb	obstruction	ambience_culling_distance	one_shot_culling_distance	construction_event	raze_event
#audio_campaign_buildings_tables;5;db/audio_campaign_buildings_tables/data__																
Wh_Cam_Settlement_Port_Bretonnia	Campaign_Environment_Bretonnia_Settlement_Port_Play	Campaign_Environment_Bretonnia_Settlement_Port_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_Bretonnia_Settlement_Port_Selection_Play	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
Wh_Cam_Settlement_Port_Chaos	Campaign_Environment_Chaos_Settlement_Port_Play	Campaign_Environment_Chaos_Settlement_Port_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_Chaos_Settlement_Port_Selection_Play	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
Wh_Cam_Settlement_Port_Dark_Elves	Campaign_Environment_Dark_Elves_Settlement_Port_Play	Campaign_Environment_Dark_Elves_Settlement_Port_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_Dark_Elves_Settlement_Port_Selection_Play	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
Wh_Cam_Settlement_Port_Dwarf	Campaign_Environment_Dwarf_Settlement_Port_Play	Campaign_Environment_Dwarf_Settlement_Port_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_Dwarf_Settlement_Port_Selection_Play	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
Wh_Cam_Settlement_Port_Empire	Campaign_Environment_Empire_Settlement_Port_Play	Campaign_Environment_Empire_Settlement_Port_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_Empire_Settlement_Port_Selection_Play	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
Wh_Cam_Settlement_Port_Generic	Campaign_Environment_Generic_Port_Settlement_Loop_Play	Campaign_Environment_Generic_Port_Settlement_Loop_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_Generic_Port_Settlement_Selection	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
Wh_Cam_Settlement_Port_Greenskin	Campaign_Environment_Greenskin_Settlement_Port_Play	Campaign_Environment_Greenskin_Settlement_Port_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_Greenskin_Settlement_Port_Selection_Play	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
Wh_Cam_Settlement_Port_High_Elves	Campaign_Environment_High_Elves_Settlement_Port_Play	Campaign_Environment_High_Elves_Settlement_Port_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_High_Elves_Settlement_Port_Selection_Play	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
Wh_Cam_Settlement_Port_Lizardmen	Campaign_Environment_Lizardmen_Settlement_Port_Play	Campaign_Environment_Lizardmen_Settlement_Port_Stop	true	true		2.0000	4.0000	true	true	Campaign_Environment_Lizardmen_Settlement_Port_Selection_Play	true	false	30.0000	30.0000		Campaign_Environment_Generic_Settlement_Raze
