video_name	still_path
#campaign_videos_tables;3;db/campaign_videos_tables/data__	
gam_int	ui/movies/gam_intro.png
warhammer3/adv_int	ui/movies/adv_intro.png
warhammer3/belakor_1	ui/movies/belakor_1.png
warhammer3/belakor_2	ui/movies/belakor_2.png
warhammer3/belakor_3	ui/movies/belakor_3.png
warhammer3/belakor_4	ui/movies/belakor_4.png
warhammer3/champions/dlc20_azazel_intro	ui/movies/dlc20_azazel_intro.png
warhammer3/champions/dlc20_azazel_win	ui/movies/dlc20_azazel_win.png
warhammer3/champions/dlc20_festus_intro	ui/movies/dlc20_festus_intro.png
warhammer3/champions/dlc20_festus_win	ui/movies/dlc20_festus_win.png
warhammer3/champions/dlc20_valkia_intro	ui/movies/dlc20_valkia_intro.png
warhammer3/champions/dlc20_valkia_win	ui/movies/dlc20_valkia_win.png
warhammer3/champions/dlc20_vilitch_intro	ui/movies/dlc20_vilitch_intro.png
warhammer3/champions/dlc20_vilitch_win	ui/movies/dlc20_vilitch_win.png
warhammer3/chd/dlc23_astragoth_intro	ui/movies/dlc23_astragoth_intro.png
warhammer3/chd/dlc23_astragoth_win	ui/movies/dlc23_astragoth_win.png
warhammer3/chd/dlc23_drazhoath_intro	ui/movies/dlc23_drazhoath_intro.png
warhammer3/chd/dlc23_drazhoath_win	ui/movies/dlc23_drazhoath_win.png
warhammer3/chd/dlc23_zhatan_intro	ui/movies/dlc23_zhatan_intro.png
warhammer3/chd/dlc23_zhatan_win	ui/movies/dlc23_zhatan_win.png
warhammer3/cth/cth_intro	ui/movies/cth_intro.png
warhammer3/cth/cth_win	ui/movies/cth_win.png
warhammer3/dae/dae_intro	ui/movies/dae_intro.png
warhammer3/dae/dae_win	ui/movies/dae_win.png
warhammer3/journey_to_forge	ui/movies/journey_to_forge.png
warhammer3/kho/kho_intro_ska	ui/movies/kho_intro_ska.png
warhammer3/kho/kho_win_ska	ui/movies/kho_win_ska.png
warhammer3/ksl/ksl_intro_bor	ui/movies/ksl_intro_bor.png
warhammer3/ksl/ksl_intro_kat	ui/movies/ksl_intro_kat.png
warhammer3/ksl/ksl_intro_kot	ui/movies/ksl_intro_kot.png
warhammer3/ksl/ksl_win_bor	ui/movies/ksl_win_bor.png
warhammer3/ksl/ksl_win_kat	ui/movies/ksl_win_kat.png
warhammer3/ksl/ksl_win_kot	ui/movies/ksl_win_kot.png
warhammer3/nur/nur_intro_plg	ui/movies/nur_intro_plg.png
warhammer3/nur/nur_win_plg	ui/movies/nur_win_plg.png
warhammer3/ogr/ogr_intro	ui/movies/ogr_intro.png
warhammer3/ogr/ogr_win_gre	ui/movies/ogr_win_gre.png
warhammer3/ogr/ogr_win_skg	ui/movies/ogr_win_skg.png
warhammer3/prologue/pro_int	ui/movies/pro_intro.png
warhammer3/prologue/pro_win	ui/movies/pro_win.png
warhammer3/sla/sla_intro_nka	ui/movies/sla_intro_nka.png
warhammer3/sla/sla_win_nka	ui/movies/sla_win_nka.png
warhammer3/tze/tze_intro_fat	ui/movies/tze_intro_fat.png
warhammer3/tze/tze_win_fat	ui/movies/tze_win_fat.png
