payload	unit_list	capacity
#ritual_payload_change_unit_allowance_capacities_tables;0;db/ritual_payload_change_unit_allowance_capacities_tables/data__		
empty	wh2_dlc14_ritual_def_warmaster	1
wh3_cp1_ritual_cth_group_1_jade_archers_capacity_payload	wh3_cp1_cth_bhashiva_jade_archers	1
wh3_cp1_ritual_cth_group_1_jade_cavalry_capacity_payload	wh3_cp1_cth_bhashiva_jade_cavalry	1
wh3_cp1_ritual_cth_group_1_jade_infantry_capacity_payload	wh3_cp1_cth_bhashiva_jade_infantry	1
wh3_cp1_ritual_cth_group_2_artillery_capacity_payload	wh3_cp1_cth_bhashiva_artillery	1
wh3_cp1_ritual_cth_group_2_gunpowder_infantry_capacity_payload	wh3_cp1_cth_bhashiva_gunpowder_infantry	1
wh3_cp1_ritual_cth_group_3_celestial_beasts_capacity_payload	wh3_cp1_cth_bhashiva_celestial_beasts	1
wh3_cp1_ritual_cth_group_3_celestial_machines_capacity_payload	wh3_cp1_cth_bhashiva_celestial_machines	1
wh3_cp1_ritual_cth_group_3_specialist_cavalry_capacity_payload	wh3_cp1_cth_bhashiva_specialist_cavalry	1
wh3_cp1_ritual_cth_group_4_flying_machines_capacity_payload	wh3_cp1_cth_bhashiva_flying_machines	1
wh3_dlc29_ritual_nag_unit_capacity_animated_hulks	wh2_dlc11_cst_mon_animated_hulks_0	1
wh3_dlc29_ritual_nag_unit_capacity_black_knights	wh3_unit_cap_vmp_cav_black_knights	1
wh3_dlc29_ritual_nag_unit_capacity_blood_knights	wh3_unit_cap_vmp_cav_blood_knights	1
wh3_dlc29_ritual_nag_unit_capacity_bone_giant	wh2_pro06_tmb_mon_bone_giant_0	1
wh3_dlc29_ritual_nag_unit_capacity_corpse_carts	wh3_unit_cap_vmp_veh_corpse_cart	1
wh3_dlc29_ritual_nag_unit_capacity_crypt_ghoul	wh_main_vmp_inf_crypt_ghouls	1
wh3_dlc29_ritual_nag_unit_capacity_deck_droppers	wh2_dlc11_cst_cav_deck_droppers	1
wh3_dlc29_ritual_nag_unit_capacity_deck_gunner	wh2_dlc11_cst_inf_deck_gunners_0	1
wh3_dlc29_ritual_nag_unit_capacity_depth_guard	wh2_dlc11_cst_inf_depth_guard	1
wh3_dlc29_ritual_nag_unit_capacity_dire_wolves	wh_main_vmp_mon_dire_wolves	1
wh3_dlc29_ritual_nag_unit_capacity_drakenhof_knights	wh3_dlc29_vmp_cav_drakenhof_templars	1
wh3_dlc29_ritual_nag_unit_capacity_ethereal_infantry	wh3_dlc29_nag_ethereal_infantry	1
wh3_dlc29_ritual_nag_unit_capacity_grave_guard	wh3_unit_cap_vmp_inf_grave_guard	1
wh3_dlc29_ritual_nag_unit_capacity_gunnery_mobs	wh2_dlc11_cst_inf_zombie_gunnery_mobs	1
wh3_dlc29_ritual_nag_unit_capacity_gunpowder_artillery	wh2_dlc11_cst_art_all	1
wh3_dlc29_ritual_nag_unit_capacity_hexwraiths	wh_main_vmp_cav_hexwraiths	1
wh3_dlc29_ritual_nag_unit_capacity_hierotitan	wh2_dlc09_tmb_mon_heirotitan_0	1
